Transaction_ID,Customer_ID,Transaction_Date,Amount_Spent,Discount_Percentage,Quantity_Purchased,Shipping_Cost,Delivery_Date,Return_Date
149,125,2024-06-03,1239.25,14.86,11,13.67,2024-06-10,
150,574,2026-09-04,1441.48,0.12,2,28.09,2026-09-09,
151,129,2024-06-08,1340.74,9.52,14,17.17,2024-06-16,2024-06-29 00:00:00
152,214,2025-09-02,1427.09,9.21,2,44.78,2025-09-08,
153,320,2026-09-01,1903.65,6.8,14,9.99,2026-09-09,2026-09-15 00:00:00
154,196,2023-01-28,1474.69,2.89,5,45.38,2023-02-05,
155,356,2023-02-09,1411.91,14.99,8,14.88,2023-02-17,
156,336,2023-09-02,1718.13,-6.72,0,39.7,2023-09-04,2023-09-18 00:00:00
157,161,2024-01-08,1786.29,0.31,10,42.82,2024-01-12,
158,375,2023-09-04,352.71,13.59,3,26.06,2023-09-11,2023-09-20 00:00:00
159,326,2026-01-13,505.3,5.94,3,14.53,2026-01-20,2026-01-29 00:00:00
160,413,2024-10-22,934.34,16.85,7,33.13,2024-10-26,2024-10-29 00:00:00
161,324,2023-02-15,952.82,18.91,7,8.98,2023-02-22,
162,176,2023-03-09,1268.96,18.68,7,35.71,2023-03-13,
163,408,2024-05-05,558.39,5.47,8,18.46,2024-05-07,
164,287,2026-11-22,1817.82,-9.38,1,14.43,2026-11-26,2026-12-01 00:00:00
165,303,2025-07-14,1863.93,-7.32,9,27.91,2025-07-18,
166,284,2024-03-20,1652.02,13.79,6,37.75,2024-03-27,
167,398,2024-03-23,964.17,19.92,13,31.13,2024-03-28,2024-04-08 00:00:00
168,564,2023-08-25,0.0,-1.21,8,23.38,2023-08-30,
169,112,2025-05-02,1059.93,16.36,5,14.61,2025-05-08,2025-05-13 00:00:00
170,432,2024-08-16,499.66,-13.46,8,6.02,2024-08-24,2024-09-05 00:00:00
171,584,2026-12-06,1211.47,11.79,4,43.87,2026-12-12,2026-12-15 00:00:00
172,273,2023-08-05,1591.51,-2.19,5,30.78,2023-08-08,
173,331,2026-10-27,573.73,-4.8,5,19.03,2026-10-29,
174,522,2025-07-03,1365.18,-3.22,14,35.68,2025-07-05,
175,256,2023-06-05,282.53,10.37,1,9.97,2023-06-12,
176,591,2023-09-24,1855.16,-10.69,14,25.75,2023-10-02,2023-10-16 00:00:00
177,101,2023-11-17,1625.78,-10.5,7,18.67,2023-11-23,2023-12-02 00:00:00
178,267,2025-03-21,1794.19,-13.73,7,24.23,2025-03-29,2025-04-12 00:00:00
179,437,2026-04-10,178.43,-4.65,6,23.82,2026-04-16,
180,243,2024-09-19,482.05,4.89,7,49.06,2024-09-24,2024-10-02 00:00:00
181,199,2026-11-02,258.73,-0.16,10,5.05,2026-11-10,2026-11-15 00:00:00
182,248,2025-12-06,1531.22,-7.89,12,18.94,2025-12-09,
183,188,2026-02-01,1498.75,-14.78,9,31.9,2026-02-05,2026-02-13 00:00:00
184,383,2025-05-23,277.72,4.49,6,46.54,2025-05-26,2025-06-10 00:00:00
185,285,2024-06-12,407.18,3.82,9,44.15,2024-06-17,2024-06-24 00:00:00
186,309,2025-05-05,655.28,9.02,10,22.67,2025-05-07,2025-05-16 00:00:00
187,269,2024-06-02,149.25,15.69,11,35.82,2024-06-08,
188,192,2026-12-05,1773.17,18.28,2,26.3,2026-12-08,2026-12-14 00:00:00
189,142,2023-06-19,1057.33,0.17,1,49.35,2023-06-24,
190,546,2026-12-18,1807.25,-11.84,12,42.54,2026-12-21,2027-01-05 00:00:00
191,328,2023-05-02,1838.69,-8.44,9,28.67,2023-05-08,2023-05-12 00:00:00
192,345,2024-10-12,781.32,-5.83,9,26.49,2024-10-18,
193,116,2024-01-18,288.72,12.35,6,6.73,2024-01-23,
194,535,2025-03-04,1999.49,-6.93,4,13.33,2025-03-06,2025-03-15 00:00:00
195,125,2025-09-19,1613.73,16.71,10,6.3,2025-09-21,
196,572,2025-07-15,1273.55,13.32,14,47.94,2025-07-20,
197,364,2026-12-01,965.21,2.91,3,37.85,2026-12-08,2026-12-21 00:00:00
198,471,2024-12-07,116.76,16.06,11,25.44,2024-12-13,
199,198,2023-10-15,742.31,-12.51,14,38.38,2023-10-20,
200,570,2024-12-21,892.59,-0.75,4,39.22,2024-12-29,2025-01-04 00:00:00
201,362,2024-04-02,1324.52,16.54,10,49.4,2024-04-06,2024-04-19 00:00:00
202,221,2026-09-09,1053.21,-7.28,2,36.72,2026-09-12,2026-09-15 00:00:00
203,318,2023-01-01,1023.7,7.99,2,40.42,2023-01-04,2023-01-19 00:00:00
204,315,2024-05-17,1741.78,1.99,11,25.59,2024-05-25,2024-06-02 00:00:00
205,335,2024-06-12,987.2,2.96,8,34.87,2024-06-14,2024-06-27 00:00:00
206,445,2024-08-14,1449.94,-13.65,9,45.28,2024-08-22,
207,139,2023-09-02,981.42,-12.03,11,27.31,2023-09-07,2023-09-17 00:00:00
208,267,2024-07-28,1359.69,-11.14,12,12.75,2024-08-03,
209,583,2024-08-16,805.35,13.24,7,8.09,2024-08-18,2024-08-24 00:00:00
210,149,2025-06-11,729.22,3.92,7,17.74,2025-06-18,2025-06-22 00:00:00
211,535,2023-03-11,1590.75,-8.32,9,28.53,2023-03-18,
212,418,2025-07-16,1467.6,10.01,13,42.9,2025-07-24,2025-08-01 00:00:00
213,477,2023-04-10,1582.65,8.5,13,18.85,2023-04-18,2023-04-23 00:00:00
214,322,2024-11-28,1309.39,-11.44,7,40.53,2024-12-02,2024-12-11 00:00:00
215,394,2023-04-13,0.0,-11.02,11,40.7,2023-04-15,2023-04-26 00:00:00
216,534,2025-11-11,1808.81,-5.57,14,28.77,2025-11-18,
217,171,2024-04-28,363.24,-3.56,13,48.55,2024-04-30,
218,287,2023-11-06,1516.64,10.65,5,32.32,2023-11-14,
219,399,2026-12-04,1297.22,14.78,2,37.49,2026-12-10,
220,511,2024-03-26,318.99,4.34,9,45.21,2024-03-31,
221,368,2025-12-18,120.82,5.45,12,44.13,2025-12-23,
222,422,2023-10-22,1390.56,17.3,9,33.65,2023-10-29,2023-11-02 00:00:00
223,600,2024-02-18,406.1,7.59,14,40.66,2024-02-26,2024-03-04 00:00:00
224,211,2024-04-08,58.05,14.77,10,11.63,2024-04-10,2024-04-24 00:00:00
225,270,2023-03-12,111.03,-5.3,7,40.7,2023-03-17,
226,241,2023-04-11,458.2,0.4,4,36.56,2023-04-15,2023-04-27 00:00:00
227,432,2024-08-27,1013.7,-8.71,3,27.93,2024-09-01,2024-09-13 00:00:00
228,155,2024-02-18,550.33,-3.52,14,47.16,2024-02-25,2024-03-07 00:00:00
229,158,2024-06-01,1817.9,-13.29,10,30.53,2024-06-06,
230,408,2026-06-20,1093.95,14.04,5,28.35,2026-06-23,2026-07-06 00:00:00
231,222,2024-06-01,916.84,7.57,9,23.92,2024-06-04,
232,182,2026-12-19,1579.83,-13.75,4,40.91,2026-12-23,
233,532,2023-12-22,942.87,-9.53,4,15.43,2023-12-25,
234,570,2025-07-12,1727.14,4.18,9,15.45,2025-07-14,2025-07-24 00:00:00
235,539,2025-03-31,364.67,2.26,13,13.21,2025-04-08,
236,505,2026-11-13,1836.98,-8.33,7,8.67,2026-11-21,2026-12-04 00:00:00
237,454,2024-08-12,0.0,17.93,5,28.9,2024-08-20,2024-08-24 00:00:00
238,358,2026-11-09,1793.98,15.26,2,30.16,2026-11-17,2026-11-24 00:00:00
239,516,2025-11-28,1711.74,-5.9,4,17.19,2025-11-30,2025-12-10 00:00:00
240,403,2023-07-06,87.91,19.99,6,43.43,2023-07-08,2023-07-23 00:00:00
241,460,2024-10-07,1937.18,3.0,5,32.66,2024-10-14,2024-10-29 00:00:00
242,161,2024-02-27,1323.3,2.65,8,20.46,2024-03-02,2024-03-08 00:00:00
243,530,2025-09-20,1371.73,0.34,2,24.97,2025-09-28,2025-10-01 00:00:00
244,126,2026-06-12,739.06,1.95,9,40.26,2026-06-17,2026-06-27 00:00:00
245,557,2025-05-26,1846.39,-12.05,8,20.88,2025-06-03,2025-06-12 00:00:00
246,337,2023-08-05,937.8,5.04,10,34.61,2023-08-12,
247,531,2025-02-27,1380.35,-3.48,3,20.49,2025-03-03,
248,213,2026-06-11,1391.2,2.93,6,27.6,2026-06-13,
249,588,2024-03-25,1308.8,-8.03,5,18.23,2024-04-01,
250,189,2025-05-06,623.22,-4.76,8,36.83,2025-05-08,2025-05-22 00:00:00
251,329,2025-10-16,0.0,-6.15,2,25.91,2025-10-21,
252,556,2023-02-23,153.55,-9.94,11,39.01,2023-02-28,2023-03-07 00:00:00
253,577,2026-08-29,1179.32,16.75,5,33.02,2026-09-06,2026-09-13 00:00:00
254,512,2025-09-17,86.94,0.6,13,5.82,2025-09-23,
255,495,2024-08-08,521.2,17.77,11,42.13,2024-08-15,2024-08-28 00:00:00
256,532,2026-03-13,785.72,18.66,7,6.28,2026-03-20,
257,435,2026-09-25,783.83,12.9,13,7.35,2026-09-28,2026-10-10 00:00:00
258,403,2023-06-14,1282.13,13.01,4,38.85,2023-06-19,
259,268,2025-02-17,167.28,-2.27,10,35.86,2025-02-21,
260,172,2025-01-31,1715.96,6.61,11,10.34,2025-02-05,2025-02-08 00:00:00
261,291,2025-02-24,722.11,6.9,6,33.15,2025-03-04,
262,470,2025-09-27,815.14,15.02,1,16.04,2025-09-29,
263,592,2024-03-28,866.81,7.45,10,39.23,2024-04-05,2024-04-09 00:00:00
264,318,2024-09-17,1022.62,1.88,8,23.1,2024-09-22,2024-09-27 00:00:00
265,218,2023-01-11,508.07,12.89,6,22.19,2023-01-18,2023-01-24 00:00:00
266,456,2024-09-29,173.91,-12.56,12,15.86,2024-10-07,
267,573,2025-06-25,1241.34,3.02,6,17.1,2025-06-27,2025-07-09 00:00:00
268,543,2024-03-14,1809.73,-9.04,9,19.06,2024-03-20,2024-03-31 00:00:00
269,575,2023-12-31,1646.09,5.19,7,10.31,2024-01-02,2024-01-11 00:00:00
270,247,2025-05-23,601.39,8.69,6,45.46,2025-05-31,
271,562,2023-01-25,1599.3,-14.11,6,39.1,2023-02-01,2023-02-05 00:00:00
272,441,2023-02-23,1130.09,-7.12,6,41.42,2023-02-26,
273,133,2025-11-02,365.81,-14.69,10,15.12,2025-11-05,2025-11-18 00:00:00
274,332,2026-06-01,620.4,1.15,13,5.91,2026-06-08,2026-06-19 00:00:00
275,429,2024-11-20,1977.87,6.43,13,30.77,2024-11-25,2024-12-09 00:00:00
276,521,2026-06-30,1986.16,-10.33,2,28.08,2026-07-07,2026-07-11 00:00:00
277,377,2025-01-21,1586.71,1.87,7,30.4,2025-01-28,
278,290,2023-12-29,212.03,-1.93,5,31.44,2024-01-04,
279,242,2023-10-24,1656.92,1.84,10,48.57,2023-11-01,
280,146,2025-04-19,854.15,-5.56,14,27.91,2025-04-23,2025-05-04 00:00:00
281,153,2024-08-24,605.93,10.98,1,44.54,2024-08-26,2024-09-06 00:00:00
282,549,2023-04-10,1283.15,16.46,10,9.99,2023-04-16,
283,163,2024-12-12,1409.69,1.31,8,16.45,2024-12-15,2024-12-19 00:00:00
284,577,2026-03-17,1250.21,-2.69,6,27.29,2026-03-21,2026-03-25 00:00:00
285,288,2026-10-09,1760.08,19.39,11,15.75,2026-10-14,2026-10-19 00:00:00
286,209,2024-02-07,1223.22,17.37,0,7.86,2024-02-13,
287,502,2025-12-23,1267.45,3.68,11,46.21,2025-12-28,2026-01-11 00:00:00
288,197,2024-08-05,119.49,13.3,3,24.48,2024-08-08,2024-08-14 00:00:00
289,483,2026-10-14,258.48,18.97,1,30.48,2026-10-20,2026-10-27 00:00:00
290,574,2026-11-30,1277.0,-10.83,5,24.75,2026-12-08,
291,403,2023-03-24,909.82,-6.91,10,18.47,2023-03-26,
292,382,2025-08-29,1662.58,2.05,5,12.04,2025-09-02,
293,430,2026-08-21,1790.98,13.78,14,17.78,2026-08-29,2026-09-12 00:00:00
294,479,2023-11-30,0.0,-4.06,12,16.07,2023-12-07,
295,147,2023-01-09,443.86,-4.74,6,42.79,2023-01-16,
296,263,2024-04-22,353.69,15.45,5,38.65,2024-04-24,
297,189,2023-09-05,677.04,2.63,7,13.48,2023-09-13,
298,548,2025-11-12,285.99,-2.18,11,16.23,2025-11-17,2025-11-27 00:00:00
299,567,2026-12-10,0.0,-9.89,6,42.29,2026-12-18,
300,499,2025-03-19,1680.2,1.95,2,11.19,2025-03-27,
301,179,2025-11-24,1962.47,-12.19,14,24.0,2025-11-30,2025-12-08 00:00:00
302,505,2024-03-18,288.16,3.54,14,17.75,2024-03-20,2024-04-04 00:00:00
303,235,2024-04-24,603.62,6.15,6,41.91,2024-04-26,2024-05-04 00:00:00
304,434,2024-08-31,0.0,-3.97,5,5.09,2024-09-02,2024-09-08 00:00:00
305,232,2026-07-14,156.25,-5.78,2,48.42,2026-07-17,2026-07-31 00:00:00
306,207,2024-05-31,304.09,-10.69,11,28.63,2024-06-05,
307,433,2023-06-04,1112.66,10.82,4,27.88,2023-06-12,2023-06-19 00:00:00
308,495,2023-04-16,1371.18,16.24,13,30.79,2023-04-18,2023-04-28 00:00:00
309,134,2023-06-29,367.92,18.57,5,11.61,2023-07-01,2023-07-07 00:00:00
310,498,2023-09-08,1035.98,17.98,9,29.08,2023-09-11,2023-09-25 00:00:00
311,160,2026-04-17,384.22,12.7,4,19.43,2026-04-19,2026-05-03 00:00:00
312,496,2026-07-14,216.32,10.92,8,5.74,2026-07-20,2026-07-29 00:00:00
313,237,2023-01-28,996.37,-5.14,9,48.23,2023-02-03,2023-02-15 00:00:00
314,567,2024-03-14,833.1,15.2,13,28.54,2024-03-21,2024-03-26 00:00:00
315,136,2023-02-25,1490.66,17.71,3,41.69,2023-03-04,2023-03-14 00:00:00
316,292,2025-12-19,1250.24,11.36,5,25.94,2025-12-22,
317,597,2024-05-21,909.51,-0.9,5,45.66,2024-05-25,2024-06-04 00:00:00
318,266,2024-06-16,554.16,-2.78,1,20.0,2024-06-19,
319,468,2026-01-03,228.09,14.18,11,14.54,2026-01-10,2026-01-20 00:00:00
320,366,2025-10-04,1321.05,1.85,13,29.11,2025-10-08,
321,130,2024-02-23,1852.54,5.12,3,8.04,2024-03-01,2024-03-16 00:00:00
322,425,2025-07-22,205.95,13.73,11,34.49,2025-07-29,
323,224,2026-08-01,1715.79,7.83,9,8.45,2026-08-07,2026-08-19 00:00:00
324,343,2026-07-11,1961.65,-14.65,0,33.5,2026-07-13,2026-07-19 00:00:00
325,495,2025-12-30,1394.83,-2.41,0,27.62,2026-01-03,
326,138,2024-06-26,1736.8,-5.85,1,47.35,2024-07-01,2024-07-10 00:00:00
327,247,2026-01-23,601.05,15.01,4,40.92,2026-01-26,2026-02-01 00:00:00
328,510,2023-03-11,1581.96,2.81,11,5.09,2023-03-13,
329,311,2024-08-18,358.08,-9.89,6,44.97,2024-08-26,2024-09-03 00:00:00
330,261,2023-06-30,471.2,17.05,14,17.11,2023-07-07,
331,289,2023-06-01,881.98,18.93,9,40.85,2023-06-09,
332,344,2025-02-20,1300.12,-6.61,5,24.17,2025-02-22,
333,142,2024-01-03,183.55,15.34,4,22.84,2024-01-07,2024-01-22 00:00:00
334,167,2023-07-03,1008.1,-11.35,12,31.0,2023-07-07,2023-07-13 00:00:00
335,160,2026-01-02,479.31,-11.76,9,48.4,2026-01-05,
336,330,2026-10-28,192.13,-2.09,8,41.51,2026-10-31,2026-11-13 00:00:00
337,582,2024-05-02,1614.24,5.48,4,43.95,2024-05-10,2024-05-17 00:00:00
338,489,2026-08-12,1959.72,16.8,2,32.7,2026-08-15,
339,245,2025-04-01,1050.59,15.14,13,13.13,2025-04-09,2025-04-23 00:00:00
