ITEM_ID,ORDER_ID,PRODUCT_ID,QUANTITY,UNIT_PRICE,DISCOUNT_AMOUNT,LINE_TOTAL
78,8857,1498,4,133781.74,61296.13,473830.83
79,5778,5031,11,61020.37,70989.52,600234.55
80,7538,5153,3,77587.72,8081.4,224681.76
81,9651,4147,15,129775.46,0,1946631.9
82,6503,4902,11,175521.23,167341.08,1763392.45
83,10053,705,7,176939.03,153854.85,1084718.36
84,7779,2034,14,35451.34,31490.67,464828.09
85,5933,1402,11,156461.48,0,1721076.28
86,9299,3561,14,112705.57,0,1577877.98
87,10094,455,2,198505.12,39058.31,357951.93
88,6765,4572,8,199882.38,0,1599059.04
89,6844,2522,10,181839.38,0,1818393.8
90,9402,4093,9,53733.89,0,483605.01
91,6022,1884,13,198674.09,0,2582763.17
92,5366,1095,12,127666.21,67890.25,1464104.27
93,7004,1126,8,4622.98,1547.8,35436.04
94,8514,4923,5,49183.17,0,245915.85
95,9907,790,10,81768.3,7211.26,810471.74
96,7313,3765,11,170153.85,34498.83,1837193.52
97,8005,218,11,139384.13,0,1533225.43
98,8158,2977,1,4275.01,303.75,3971.26
99,9082,1701,8,37706.19,29921.11,271728.41
100,6232,2056,14,28396.41,28606.85,368942.89
101,8201,1796,4,5017.52,0,20070.08
102,6574,2855,2,172561.61,0,345123.22
103,7878,2250,9,23143.19,738.3,207550.41
104,7597,2596,9,27656.89,36422.45,212489.56
105,10158,4051,5,19451.19,0,97255.95
106,8620,4335,2,10334.63,1661.72,19007.54
107,8592,3574,2,9345.19,2632.12,16058.26
108,9792,2143,12,72858.25,105218.85,769080.15
109,6133,2904,5,33832.27,0,169161.35
110,7062,2767,7,60138.47,34682.85,386286.44
111,5979,2339,8,25340.96,15035.18,187692.5
112,8835,3737,11,163716.61,122513.26,1678369.45
113,6779,4813,4,98961.7,29082.2,366764.6
114,10062,4314,9,67735.98,0,609623.82
115,5454,4211,7,96694.51,64331.33,612530.24
116,6914,3836,1,187947.46,22660.58,165286.88
117,5123,2465,10,74445.22,68489.16,675963.04
118,7715,2148,15,24439.41,0,366591.15
119,6182,3352,3,116490.65,27543.96,321927.99
120,5229,3185,3,62380.68,0,187142.04
121,6973,5149,8,11340.54,2144.86,88579.46
122,9859,1357,11,88559.92,0,974159.12
123,6375,4546,11,104357.24,121308.83,1026620.81
124,8933,1262,8,81414.64,0,651317.12
125,6956,3690,1,54770.1,6245.45,48524.65
126,9460,4381,4,66450.23,0,265800.92
127,8007,4220,13,87838.4,112578.94,1029320.26
128,6839,2999,1,53414.27,0,53414.27
129,8181,2919,6,125832.13,2044.26,752948.52
130,8760,204,15,115016.9,0,1725253.5
131,9656,2098,9,67944.87,16452.0,595051.83
132,5699,2454,1,125175.41,5194.44,119980.97
133,9903,4013,8,103942.4,0,831539.2
134,8582,357,3,185521.36,0,556564.08
135,8798,2530,12,109466.86,163477.56,1150124.76
136,10067,4238,12,74613.31,0,895359.72
137,10071,3415,13,10647.56,18933.54,119484.74
138,7413,1051,1,143402.81,13638.89,129763.92
139,5074,1683,11,110032.65,171254.68,1039104.47
140,8054,5115,4,12197.04,5957.63,42830.53
141,6747,2389,15,141633.0,284621.32,1839873.68
142,5546,648,11,135929.09,88411.8,1406808.19
143,7819,1668,11,134108.21,214854.74,1260335.57
144,7910,2046,12,54546.07,5071.31,649481.53
145,9827,3886,11,36839.07,0,405229.77
146,8600,3706,4,5510.14,951.72,21088.84
147,5147,3402,13,134932.96,0,1754128.48
148,7796,585,15,28201.43,0,423021.45
149,6039,4600,14,72398.29,113695.85,899880.21
150,5599,2304,5,9603.47,0,48017.35
151,9505,1575,1,69942.06,7454.21,62487.85
152,10416,3269,10,190575.1,51486.14,1854264.86
153,10360,4268,13,142385.45,0,1851010.85
154,5394,1705,5,23511.6,0,117558.0
155,9767,2837,1,64275.29,3100.53,61174.76
156,7043,5291,7,148127.67,0,1036893.69
157,8961,4117,10,198538.2,0,1985382.0
158,5813,4268,15,156658.82,224708.01,2125174.29
159,9979,4886,12,173966.87,0,2087602.44
160,8940,905,7,105747.89,153.4,740081.83
161,8984,3736,13,160949.01,85165.92,2007171.21
162,6070,2335,12,154673.3,86437.76,1769641.84
163,7850,1734,3,54934.84,0,164804.52
164,9136,4364,15,90921.53,96963.89,1266859.06
165,10140,2365,13,108386.98,48491.22,1360539.52
166,8159,2378,12,54367.64,16575.92,635835.76
167,9170,3313,13,93717.18,0,1218323.34
168,8591,4820,7,6415.65,0,44909.55
169,6062,1309,11,94830.63,0,1043136.93
170,9245,2254,4,26016.26,11810.29,92254.75
171,7534,4580,2,192747.75,0,385495.5
172,10165,2117,7,42398.95,0,296792.65
173,8313,531,3,87789.03,0,263367.09
174,6590,4594,14,148007.34,306686.77,1765415.99
175,5966,2787,7,23647.1,4231.85,161297.85
176,5321,3448,6,148421.48,0,890528.88
177,9772,4466,3,139707.34,9774.38,409347.64
178,5711,1341,14,25630.38,15147.84,343677.48
179,9359,1935,2,48008.76,11230.77,84786.75
180,9628,2562,1,38817.05,1956.7,36860.35
181,9841,2733,13,94474.53,146992.45,1081176.44
182,7240,351,6,75639.67,0,453838.02
183,5829,2883,6,88239.05,37043.18,492391.12
184,6755,3602,2,195842.77,17914.67,373770.87
185,6951,1246,15,153791.53,0,2306872.95
186,5301,932,12,47889.77,85745.25,488931.99
187,5851,3507,5,125924.7,81989.89,547633.61
188,5706,552,1,168622.69,0,168622.69
189,8768,940,9,77842.1,0,700578.9
190,9644,2939,13,179917.75,12535.72,2326395.03
191,6330,3147,2,100271.27,0,200542.54
192,9406,1611,14,42076.83,55663.25,533412.37
193,5884,4284,14,192848.46,0,2699878.44
194,9504,4938,12,100132.32,0,1201587.84
195,7343,4346,3,46046.98,8795.99,129344.95
196,8599,3273,4,112498.36,8099.16,441894.28
197,6154,4744,1,21804.67,620.94,21183.73
198,8364,471,12,81840.28,0,982083.36
199,6102,3541,12,124516.22,56762.92,1437431.72
200,10488,2088,10,163594.34,101591.51,1534351.89
201,9992,199,14,102328.83,59791.84,1372811.78
202,9492,1075,3,167020.04,0,501060.12
203,9675,1337,10,62655.75,84422.25,542135.25
204,5518,2681,5,51101.1,11868.82,243636.68
205,9410,3765,6,126262.46,0,757574.76
206,5060,3464,9,118811.28,66566.89,1002734.63
207,9743,1040,7,150111.78,0,1050782.46
208,8066,3432,1,52796.28,2485.15,50311.13
209,7029,5065,9,82717.42,8169.55,736287.23
210,10183,2595,13,140757.01,60885.53,1768955.6
211,7522,3377,2,12432.24,883.73,23980.75
212,9411,2365,2,64476.91,0,128953.82
213,9982,2880,2,154405.47,0,308810.94
214,10476,979,10,142174.15,109513.22,1312228.28
215,7197,3521,13,191874.78,0,2494372.14
216,6288,2365,3,196199.62,21655.7,566943.16
217,8063,1689,15,40509.16,38728.48,568908.92
218,6488,1212,10,181254.49,0,1812544.9
219,9072,526,13,54452.18,0,707878.34
220,5521,1972,10,149895.14,0,1498951.4
221,6522,1660,12,129875.86,145729.61,1412780.71
222,7967,3483,3,91695.8,10548.83,264538.57
223,9418,905,13,175352.53,0,2279582.89
224,7268,2104,14,96875.17,197838.72,1158413.66
225,9193,1629,7,44925.37,40149.26,274328.33
226,7448,5102,13,188532.78,153960.53,2296965.61
227,10290,622,2,180420.97,10747.9,350094.04
228,5310,1284,15,136119.77,0,2041796.55
229,6736,410,3,169766.27,36150.46,473148.35
230,7513,4951,8,136657.14,144252.59,949004.53
231,7218,2700,15,125642.3,21885.4,1862749.1
232,9270,4112,10,65517.42,74559.34,580614.86
233,5457,2222,2,54427.31,0,108854.62
234,8925,1806,12,36089.14,46850.85,386218.83
235,6149,899,3,186128.28,0,558384.84
236,10034,1896,6,70695.92,0,424175.52
237,9227,1547,1,17461.53,0,17461.53
238,10227,1662,15,77152.23,0,1157283.45
239,5585,511,14,164975.9,161715.53,2147947.07
240,10477,4995,15,168102.96,196479.11,2325065.29
241,5281,4667,8,889.41,555.61,6559.67
242,6465,1159,14,197887.08,222997.86,2547421.26
243,5284,478,5,78585.64,40226.96,352701.24
244,6315,257,11,46301.36,0,509314.96
245,8390,4934,13,75695.73,30980.41,953064.08
246,5859,263,11,4820.38,6824.31,46199.87
247,7054,3845,12,112001.47,27465.99,1316551.65
248,8775,4013,3,115497.32,0,346491.96
249,9174,4439,12,87319.27,75367.79,972463.45
250,8021,230,7,59661.87,16842.11,400790.98
251,8540,5087,14,189670.41,119409.52,2535976.22
252,8661,2400,14,1487.26,0,20821.64
253,5405,355,9,81695.09,27015.12,708240.69
254,9417,5054,9,179409.02,5131.35,1609549.83
255,7543,3681,11,104421.02,0,1148631.22
256,9919,2419,2,151327.3,4267.61,298386.99
257,10373,3023,3,64379.97,26809.48,166330.43
258,7731,2182,12,61676.51,0,740118.12
259,9269,1284,10,145559.95,80536.92,1375062.58
260,6539,4341,6,146666.49,0,879998.94
261,5587,3969,13,177724.3,160777.26,2149638.64
262,6269,4651,9,39788.12,0,358093.08
263,9069,3926,3,12631.54,4160.67,33733.95
264,9566,4822,8,78633.36,90883.7,538183.18
265,8689,5037,13,177759.97,92009.44,2218870.17
266,8365,2825,10,52186.69,76954.43,444912.47
267,5442,4705,12,7395.26,0,88743.12
268,6568,1092,12,91810.28,158817.75,942905.61
269,5372,572,5,94401.14,4103.47,467902.23
270,9616,4056,10,100644.69,0,1006446.9
271,6595,3923,10,77064.33,47002.29,723641.01
272,7898,3340,1,184162.12,0,184162.12
273,7722,945,4,71821.12,0,287284.48
274,8848,3508,12,141116.62,143280.35,1550119.09
275,5122,3944,3,152867.52,19199.05,439403.51
276,6004,1662,11,131896.81,0,1450864.91
277,10285,3622,6,121029.04,0,726174.24
278,5447,4132,10,145226.48,175866.67,1276398.13
279,6266,3202,7,189303.71,140583.38,1184542.59
280,6893,3121,1,83389.68,8300.32,75089.36
281,5915,1957,3,26616.01,0,79848.03
282,7159,2642,13,1896.94,70.57,24589.65
283,7233,2041,10,138126.53,0,1381265.3
284,7547,3918,2,20371.57,0,40743.14
285,7406,4561,6,178153.39,0,1068920.34
286,9682,2496,1,35394.87,756.55,34638.32
287,10115,4246,5,96507.78,56912.26,425626.64
288,5728,954,7,159920.09,75873.39,1043567.24
289,8364,2802,14,101363.66,0,1419091.24
290,8782,4686,15,20393.67,28786.08,277118.97
291,9329,1955,3,68273.76,0,204821.28
292,7753,3857,10,86676.88,0,866768.8
293,7210,2936,5,50687.43,26437.48,226999.67
294,9952,3091,5,158957.79,75546.83,719242.12
295,7756,223,9,78799.59,11131.13,698065.18
296,5363,2533,5,108260.75,0,541303.75
297,5027,1407,14,147487.43,0,2064824.02
298,7093,2856,1,44999.81,0,44999.81
299,9846,1258,14,159040.6,69411.11,2157157.29
300,6898,940,12,123928.27,0,1487139.24
301,8032,793,15,147109.88,0,2206648.2
302,9390,3620,11,136169.23,0,1497861.53
303,5899,2809,8,53136.08,52588.72,372499.92
304,9375,299,2,128586.88,13109.93,244063.83
305,7115,2202,11,96903.33,15495.57,1050441.06
306,8607,2173,3,79326.11,0,237978.33
307,8249,5296,1,111066.13,0,111066.13
308,5733,5138,4,128699.35,0,514797.4
309,8373,2398,11,141719.66,130852.49,1428063.77
310,5681,2016,7,119324.6,51367.99,783904.21
311,6454,3167,5,176523.23,56934.45,825681.7
312,7303,849,1,132226.82,0,132226.82
313,8623,4152,11,129225.14,38912.96,1382563.58
314,9982,3347,11,45419.64,28908.61,470707.43
315,6033,4790,11,116143.43,34433.98,1243143.75
316,8825,1716,11,192556.32,210995.96,1907123.56
317,5804,4702,5,155712.94,93257.95,685306.75
318,6047,3516,8,155135.36,0,1241082.88
319,9186,2326,14,77499.47,0,1084992.58
320,9067,3571,11,41674.99,41491.47,416933.42
321,5693,3456,3,86244.29,37385.72,221347.15
322,10424,4258,11,86456.59,56707.85,894314.64
323,5905,1488,4,113529.7,0,454118.8
324,5802,3963,3,15576.71,2101.2,44628.93
325,8402,3660,1,145448.24,14042.65,131405.59
326,8837,425,5,134818.35,0,674091.75
327,7456,782,6,178166.92,0,1069001.52
328,9136,334,14,57675.59,22418.08,785040.18
329,9679,4202,10,178724.82,170004.47,1617243.73
330,10241,1124,13,169990.41,0,2209875.33
331,8434,3669,4,43533.66,0,174134.64
332,5723,663,13,195610.51,316755.84,2226180.79
333,10116,2580,5,86913.08,0,434565.4
334,8038,3273,15,174834.24,318385.91,2304127.69
335,5804,5102,7,145517.3,10705.7,1007915.4
336,5067,981,13,112285.23,54593.31,1405114.68
337,10200,3580,7,102065.14,48803.89,665652.09
338,9762,3615,1,5137.6,132.72,5004.88
339,6435,4388,13,18007.16,0,234093.08
340,10339,4820,9,1924.94,1223.51,16100.95
341,8748,799,13,75168.1,31154.22,946031.08
342,10202,1563,4,82114.57,10433.78,318024.5
343,9407,2297,12,147432.36,0,1769188.32
344,9789,2227,10,23324.8,9484.58,223763.42
345,9375,1795,3,89758.19,0,269274.57
346,9982,2895,9,81130.6,0,730175.4
347,7351,450,1,127691.0,0,127691.0
348,9989,3566,2,63606.75,4619.45,122594.05
349,10152,2453,4,119977.06,1370.66,478537.58
350,9288,2673,2,56042.97,7585.51,104500.43
351,7044,444,12,31832.11,30917.74,351067.58
352,9047,5203,10,140984.44,0,1409844.4
353,8705,5080,13,114037.24,0,1482484.12
354,6053,2188,9,6736.33,0,60626.97
355,8226,4587,8,113305.61,102864.88,803580.0
356,8795,2391,13,192240.31,252714.22,2246409.81
357,7677,1576,10,145405.43,0,1454054.3
358,8882,1108,15,24580.09,0,368701.35
359,6362,1848,13,173686.24,0,2257921.12
360,6428,4782,5,26149.39,0,130746.95
361,5074,4293,11,155330.34,0,1708633.74
362,10036,3783,11,79442.33,0,873865.63
363,9547,3777,9,35021.73,8481.04,306714.53
364,6602,2611,3,168376.08,71444.28,433683.96
365,6490,4218,3,79409.43,0,238228.29
366,9807,2936,4,125810.94,0,503243.76
367,5649,3147,15,46524.23,0,697863.45
368,9950,606,2,133593.71,0,267187.42
369,7422,4704,15,182325.86,288474.65,2446413.25
370,6583,4640,11,16603.8,23026.58,159615.22
371,10033,2767,14,86307.64,0,1208306.96
372,5764,1117,1,99458.63,10234.39,89224.24
373,6423,1101,15,72886.91,36763.66,1056539.99
374,5272,3928,7,88293.88,83649.57,534407.59
375,10081,4649,14,133503.54,96318.09,1772731.47
376,7662,5160,12,40919.01,0,491028.12
377,6444,5114,3,78121.36,17288.12,217075.96
378,10032,2019,15,126974.79,0,1904621.85
379,7655,3027,12,168087.18,0,2017046.16
380,8725,4981,8,171603.22,82193.35,1290632.41
381,8899,2925,15,3139.27,5510.21,41578.84
382,10252,1532,5,15036.14,0,75180.7
383,5728,4908,3,107315.97,0,321947.91
384,6415,3495,14,8390.26,11455.87,106007.77
385,8011,1771,3,87077.65,0,261232.95
386,8884,2638,11,135212.0,90462.5,1396869.5
387,9913,2419,6,146787.06,129570.02,751152.34
388,6528,2002,15,52684.48,14820.91,775446.29
389,9009,4015,5,30798.22,7630.86,146360.24
390,8028,2912,12,75296.81,74985.81,828575.91
391,8180,4603,1,42736.31,393.06,42343.25
392,7051,2822,11,141911.67,0,1561028.37
393,6864,3228,8,176409.52,120327.05,1290949.11
394,8221,1672,4,149880.22,53449.23,546071.65
395,6485,148,8,123939.37,63176.43,928338.53
396,5867,2901,8,30102.81,0,240822.48
397,9172,252,2,45874.22,428.05,91320.39
398,5613,3123,2,32796.04,4008.06,61584.02
399,8188,864,4,50214.08,15047.69,185808.63
400,5824,3127,1,81398.92,0,81398.92
401,8689,2363,13,20759.85,0,269878.05
402,7341,3957,12,161486.78,245299.32,1692542.04
403,7797,720,1,171774.21,23504.46,148269.75
404,5869,246,13,20709.26,0,269220.38
405,6185,2400,11,17149.76,1600.78,187046.58
406,7087,3100,7,122224.44,52162.04,803409.04
407,7178,521,14,8699.0,3832.41,117953.59
408,5014,2711,1,174127.9,12361.94,161765.96
409,5601,295,7,69709.84,25456.84,462512.04
410,5041,3689,10,85522.61,48451.69,806774.41
411,8800,2009,1,173966.39,0,173966.39
412,7014,1771,11,84036.7,0,924403.7
413,6408,2215,13,116475.49,129978.16,1384203.21
414,6565,4641,4,72921.43,0,291685.72
415,5336,2628,11,117358.06,0,1290938.66
416,6399,1689,14,141858.8,0,1986023.2
417,8594,3913,9,168711.65,0,1518404.85
418,6723,1088,8,188183.77,186468.19,1319001.97
419,10074,1710,15,146765.46,31246.9,2170235.0
420,10055,4539,5,5622.37,0,28111.85
421,5192,2215,4,61361.8,0,245447.2
422,8858,3113,15,65788.62,0,986829.3
423,7119,2627,9,54349.97,0,489149.73
424,10272,3819,2,79634.08,0,159268.16
425,10056,2528,10,184823.15,67034.88,1781196.62
426,9841,5001,5,12479.68,3691.45,58706.95
427,8954,4990,4,61260.38,0,245041.52
428,7820,3786,4,132892.2,24156.47,507412.33
429,8662,3012,1,193488.29,0,193488.29
430,9554,3644,5,168828.3,0,844141.5
431,10102,2563,6,133834.47,67707.72,735299.1
432,9684,2404,7,135264.23,1385.07,945464.54
433,6585,3144,7,83838.02,0,586866.14
434,9073,809,8,46047.52,26635.34,341744.82
435,8826,2365,8,186839.56,0,1494716.48
436,7714,2255,4,193891.1,0,775564.4
437,7911,3860,8,52459.43,15567.49,404107.95
438,8621,3684,9,166087.99,0,1494791.91
439,9267,4787,15,149017.31,0,2235259.65
440,5512,4937,12,13766.7,0,165200.4
441,7681,4561,4,79926.37,0,319705.48
442,8620,5071,13,124845.81,0,1622995.53
443,10034,721,7,5985.01,615.13,41279.94
444,7504,2911,8,122207.85,0,977662.8
445,8743,4833,2,73693.36,293.42,147093.3
446,6809,2830,14,179390.57,129329.34,2382138.64
447,9338,861,7,19568.52,0,136979.64
448,8755,3751,11,167854.54,0,1846399.94
449,7706,3916,8,67631.97,62794.75,478261.01
450,9582,1022,14,273.56,0,3829.84
451,9455,4457,13,91926.05,148332.37,1046706.28
452,8823,193,15,102559.06,127169.43,1411216.47
453,10043,3331,4,95268.92,7123.39,373952.29
454,8092,5002,2,79809.58,0,159619.16
455,8049,2282,4,79246.02,0,316984.08
456,9434,2121,8,22822.04,16710.82,165865.5
457,10438,1866,15,168186.19,137861.74,2384931.11
458,5353,3491,9,53611.03,7236.75,475262.52
459,9766,959,14,2416.93,0,33837.02
460,6028,3154,6,179383.75,25481.26,1050821.24
461,10302,4866,8,38357.41,0,306859.28
462,8899,1012,2,14438.49,3533.63,25343.35
463,8144,2978,15,150427.17,182785.41,2073622.14
464,9091,493,5,6011.79,0,30058.95
465,9201,307,15,55622.92,0,834343.8
466,9434,1523,14,11303.31,0,158246.34
467,8106,371,1,126300.75,378.87,125921.88
468,5363,4575,5,32398.95,13432.16,148562.59
469,6040,2002,3,79797.24,1116.15,238275.57
470,8764,4310,10,102933.51,0,1029335.1
471,8965,2398,7,128317.31,0,898221.17
472,8154,1914,3,58176.85,0,174530.55
473,9968,5007,1,105806.76,0,105806.76
474,6603,2743,8,159377.73,0,1275021.84
475,6144,1852,1,122191.64,14167.54,108024.1
476,9259,3501,7,79694.44,0,557861.08
477,7112,2412,12,139131.37,235407.4,1434169.04
478,6203,2607,5,128137.12,0,640685.6
479,6286,3240,5,196748.62,0,983743.1
480,7738,5110,10,178568.71,0,1785687.1
481,8711,2815,8,84756.57,55670.89,622381.67
482,8322,2755,4,91083.46,17750.57,346583.27
483,5532,4918,15,167993.79,0,2519906.85
484,9332,3417,15,7649.79,0,114746.85
485,5293,1636,3,164945.8,34549.95,460287.45
486,9717,3310,15,14441.54,26251.5,190371.6
487,9438,3775,12,65260.26,0,783123.12
488,5639,1608,13,81195.18,0,1055537.34
489,6929,3023,7,194614.63,0,1362302.41
490,7842,822,4,94116.32,45217.59,331247.69
491,5265,800,5,189496.29,125200.07,822281.38
492,6277,1741,9,82568.92,34122.39,708997.89
493,9834,758,9,21471.15,0,193240.35
494,5099,1049,1,190873.24,0,190873.24
495,7457,3969,6,55244.08,41960.88,289503.6
496,7872,1923,1,160978.08,9387.12,151590.96
497,5504,270,15,125177.84,92978.93,1784688.67
498,8181,2987,13,64605.82,0,839875.66
499,7346,1571,1,172444.53,13894.26,158550.27
500,7576,3117,12,530.73,488.78,5879.98
501,9678,2658,15,23661.7,0,354925.5
502,9342,926,10,8206.14,9409.01,72652.39
503,7928,953,14,178313.61,239347.47,2257043.07
504,10360,1713,4,144993.69,57690.99,522283.77
505,5133,5204,8,33061.99,37661.03,226834.89
506,9585,630,8,119148.23,0,953185.84
507,8315,3972,14,161163.32,0,2256286.48
508,5061,2619,15,175052.21,119246.07,2506537.08
509,8460,886,9,136099.62,138956.25,1085940.33
510,7817,5032,6,44623.37,0,267740.22
511,6380,2483,7,190477.66,130338.91,1203004.71
512,8738,3376,10,42292.7,58669.65,364257.35
513,7196,2984,12,123839.81,0,1486077.72
514,10110,783,5,38308.48,0,191542.4
515,5846,3827,15,196243.5,0,2943652.5
516,7587,4855,7,9120.78,0,63845.46
517,5141,2182,15,131831.59,0,1977473.85
518,5376,4343,14,41999.86,70378.1,517619.94
519,9640,1109,3,86640.52,13025.99,246895.57
520,10152,3454,2,61204.54,16598.33,105810.75
521,8261,4571,9,188201.58,0,1693814.22
522,9972,533,4,108529.1,6607.78,427508.62
523,7826,2659,1,186216.02,21605.78,164610.24
524,10015,2906,7,63345.04,0,443415.28
525,6273,3255,6,35750.36,0,214502.16
526,8188,580,9,119462.28,91080.69,984079.83
527,5231,1471,4,57051.89,0,228207.56
528,5333,5015,12,8706.2,9833.06,94641.34
529,9609,827,8,122093.6,0,976748.8
530,10265,1404,13,118762.21,180243.51,1363665.22
531,5622,3117,11,90846.85,0,999315.35
532,8495,4074,1,107366.56,0,107366.56
533,10392,1511,4,184639.34,0,738557.36
534,9583,1340,15,118781.87,175191.99,1606536.06
535,9830,3729,2,101928.83,16866.07,186991.59
536,5590,265,11,56667.89,0,623346.79
537,10349,4431,11,83917.5,34144.48,888948.02
538,7479,557,12,56652.92,0,679835.04
539,8295,2719,8,147376.42,152892.13,1026119.23
540,6701,1831,4,141950.56,0,567802.24
541,9899,774,6,48472.99,35101.77,255736.17
542,7353,1407,12,45363.85,14126.1,530240.1
543,8217,5157,9,180376.96,0,1623392.64
544,5566,4849,6,106751.45,61618.27,578890.43
545,8405,2965,8,24731.28,24695.48,173154.76
546,6927,3026,5,144617.81,41975.78,681113.27
547,7804,2260,12,113256.11,113550.08,1245523.24
548,9494,4091,4,27795.94,11489.58,99694.18
549,8859,4581,15,121022.4,250367.93,1564968.07
550,6757,2237,5,64120.96,2904.14,317700.66
551,7401,1547,14,172871.6,0,2420202.4
552,9745,4306,12,32637.39,0,391648.68
553,5802,1691,3,189273.75,31307.18,536514.07
554,7911,1869,15,67392.42,100454.29,910432.01
555,8574,650,15,118002.05,0,1770030.75
556,9882,4176,14,161393.86,312085.71,1947428.33
557,5469,5039,12,24467.28,37487.91,256119.45
558,7181,4000,6,146475.26,33100.2,845751.36
559,5482,4598,9,199303.45,0,1793731.05
560,5368,2063,11,174197.36,0,1916170.96
561,6620,5067,10,108573.3,54672.74,1031060.26
562,9742,4079,4,23702.34,0,94809.36
563,7211,4540,6,82240.6,63629.05,429814.55
564,6866,4104,9,114698.89,126020.52,906269.49
565,7226,1426,2,87365.29,19637.73,155092.85
566,7371,5286,9,101271.49,20927.76,890515.65
567,6780,3421,1,31347.22,0,31347.22
568,9743,4798,9,39867.38,20493.61,338312.81
569,5491,1099,9,81784.81,0,736063.29
570,5079,1242,13,119699.46,50298.21,1505794.77
571,7212,4549,10,151960.41,86100.42,1433503.68
572,8309,405,2,8650.94,512.87,16789.01
573,8990,1414,9,142376.92,112441.14,1168951.14
574,9604,5012,1,152084.19,13513.88,138570.31
575,5288,2120,12,49105.02,16125.28,573134.96
576,6203,302,9,105472.71,2987.03,946267.36
577,6462,4357,8,88010.67,0,704085.36
578,7128,3937,1,80897.14,2275.62,78621.52
579,8122,3737,5,37740.87,13802.94,174901.41
580,7734,5188,2,31669.48,2087.94,61251.02
