AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,household_key
35-44,U,50-74K,Probable Renter,Single Male,3,3+,120
35-44,U,125-149K,Probable Owner,Unknown,5+,1,121
25-34,U,175-199K,Probable Owner,Single Male,1,2,122
65+,U,150-174K,Unknown,Single Male,4,3+,123
35-44,U,200-249K,Homeowner,2 Adults Kids,2,1,124
19-24,B,100-124K,Probable Renter,Single Female,1,3+,125
45-54,A,200-249K,Homeowner,1 Adult Kids,2,1,126
19-24,U,200-249K,Probable Renter,Single Male,3,1,127
45-54,B,75-99K,Renter,Unknown,1,1,128
35-44,A,100-124K,Unknown,Unknown,2,3+,129
45-54,A,100-124K,Probable Renter,2 Adults Kids,1,2,130
35-44,U,35-49K,Probable Renter,2 Adults No Kids,2,2,131
45-54,U,150-174K,Probable Renter,Unknown,4,3+,132
45-54,A,75-99K,Unknown,2 Adults Kids,1,1,133
55-64,A,15-24K,Unknown,Unknown,3,3+,134
55-64,A,175-199K,Unknown,2 Adults Kids,4,1,135
19-24,U,15-24K,Probable Owner,Unknown,4,3+,136
65+,U,50-74K,Probable Renter,Single Male,3,1,137
55-64,U,125-149K,Probable Owner,Unknown,1,None/Unknown,138
19-24,U,100-124K,Probable Owner,Single Female,1,3+,139
65+,A,50-74K,Homeowner,Unknown,2,1,140
19-24,U,15-24K,Unknown,2 Adults Kids,4,3+,141
35-44,U,15-24K,Unknown,Single Male,3,1,142
65+,A,50-74K,Unknown,Unknown,5+,None/Unknown,143
55-64,B,250K+,Renter,1 Adult Kids,1,None/Unknown,144
65+,B,125-149K,Probable Renter,2 Adults No Kids,1,3+,145
25-34,A,100-124K,Homeowner,2 Adults Kids,2,None/Unknown,146
65+,A,15-24K,Probable Owner,Single Male,5+,None/Unknown,147
19-24,A,25-34K,Probable Renter,Single Male,1,3+,148
25-34,A,25-34K,Homeowner,2 Adults Kids,3,2,149
35-44,U,100-124K,Homeowner,2 Adults No Kids,5+,None/Unknown,150
55-64,U,100-124K,Unknown,Unknown,1,1,151
35-44,U,75-99K,Probable Owner,Single Male,1,2,152
19-24,A,125-149K,Unknown,Single Female,5+,2,153
35-44,B,15-24K,Probable Renter,Unknown,4,3+,154
55-64,A,75-99K,Renter,1 Adult Kids,3,1,155
19-24,B,125-149K,Renter,Single Male,5+,None/Unknown,156
55-64,A,15-24K,Probable Renter,2 Adults Kids,3,2,157
45-54,A,15-24K,Renter,2 Adults No Kids,4,3+,158
55-64,U,125-149K,Renter,2 Adults No Kids,2,2,159
25-34,A,200-249K,Renter,2 Adults Kids,3,3+,160
65+,U,175-199K,Probable Renter,2 Adults No Kids,1,3+,161
55-64,A,25-34K,Probable Renter,Single Female,2,None/Unknown,162
65+,B,50-74K,Homeowner,2 Adults No Kids,1,2,163
25-34,B,50-74K,Renter,2 Adults Kids,4,2,164
19-24,A,15-24K,Probable Renter,2 Adults Kids,2,2,165
35-44,B,35-49K,Probable Renter,Single Male,3,1,166
55-64,B,150-174K,Homeowner,1 Adult Kids,3,None/Unknown,167
25-34,A,15-24K,Renter,Single Female,1,2,168
25-34,B,150-174K,Unknown,Unknown,5+,None/Unknown,169
65+,A,Under 15K,Probable Owner,Unknown,3,2,170
55-64,B,15-24K,Homeowner,Single Female,5+,2,171
55-64,U,15-24K,Probable Owner,Single Female,3,2,172
35-44,A,50-74K,Renter,Single Female,3,None/Unknown,173
45-54,U,50-74K,Probable Renter,2 Adults Kids,5+,None/Unknown,174
19-24,A,125-149K,Probable Renter,2 Adults No Kids,1,3+,175
35-44,U,175-199K,Unknown,Unknown,3,2,176
45-54,U,125-149K,Homeowner,Single Male,3,1,177
25-34,A,100-124K,Renter,1 Adult Kids,1,3+,178
19-24,U,200-249K,Probable Renter,2 Adults No Kids,3,2,179
55-64,U,75-99K,Probable Owner,2 Adults No Kids,2,1,180
19-24,A,15-24K,Probable Owner,1 Adult Kids,4,2,181
25-34,A,75-99K,Unknown,2 Adults No Kids,1,1,182
25-34,B,50-74K,Unknown,2 Adults Kids,4,None/Unknown,183
19-24,U,35-49K,Probable Renter,2 Adults No Kids,5+,3+,184
35-44,B,15-24K,Renter,Unknown,4,1,185
45-54,U,35-49K,Renter,2 Adults Kids,5+,2,186
55-64,U,150-174K,Unknown,2 Adults No Kids,3,1,187
35-44,A,25-34K,Probable Owner,1 Adult Kids,2,None/Unknown,188
19-24,U,15-24K,Probable Renter,Unknown,5+,None/Unknown,189
35-44,U,15-24K,Renter,Single Male,5+,3+,190
55-64,A,75-99K,Unknown,2 Adults Kids,2,1,191
25-34,U,75-99K,Unknown,Single Female,5+,1,192
65+,B,250K+,Probable Owner,1 Adult Kids,2,1,193
45-54,U,175-199K,Probable Owner,Single Male,2,2,194
65+,B,15-24K,Probable Owner,Unknown,2,3+,195
25-34,U,15-24K,Unknown,Unknown,2,1,196
35-44,A,Under 15K,Unknown,Single Female,5+,1,197
19-24,U,200-249K,Probable Renter,2 Adults Kids,1,1,198
55-64,U,15-24K,Probable Renter,1 Adult Kids,1,None/Unknown,199
25-34,U,100-124K,Probable Renter,2 Adults No Kids,1,1,200
25-34,A,75-99K,Probable Renter,1 Adult Kids,1,3+,201
45-54,A,100-124K,Renter,Single Male,3,2,202
25-34,B,125-149K,Homeowner,Unknown,1,2,203
45-54,U,100-124K,Renter,1 Adult Kids,4,3+,204
25-34,A,175-199K,Renter,2 Adults Kids,4,3+,205
55-64,A,Under 15K,Unknown,2 Adults Kids,1,3+,206
35-44,U,125-149K,Probable Owner,Single Male,4,1,207
25-34,A,25-34K,Homeowner,Unknown,3,3+,208
45-54,A,175-199K,Homeowner,1 Adult Kids,4,3+,209
25-34,A,50-74K,Probable Owner,2 Adults Kids,5+,1,210
65+,B,75-99K,Probable Owner,2 Adults No Kids,5+,2,211
19-24,B,175-199K,Unknown,Single Female,1,2,212
25-34,B,75-99K,Probable Renter,1 Adult Kids,1,3+,213
35-44,U,35-49K,Probable Owner,Unknown,1,2,214
35-44,U,150-174K,Probable Owner,Single Male,4,3+,215
19-24,A,175-199K,Renter,1 Adult Kids,3,2,216
55-64,U,50-74K,Probable Renter,2 Adults No Kids,3,1,217
45-54,A,15-24K,Probable Renter,1 Adult Kids,2,2,218
25-34,A,75-99K,Probable Owner,Single Female,5+,1,219
19-24,U,75-99K,Probable Owner,1 Adult Kids,1,2,220
65+,A,50-74K,Homeowner,2 Adults No Kids,5+,3+,221
55-64,U,125-149K,Probable Renter,2 Adults No Kids,1,None/Unknown,222
19-24,U,Under 15K,Unknown,1 Adult Kids,5+,2,223
45-54,A,35-49K,Probable Owner,2 Adults Kids,3,3+,224
55-64,A,250K+,Probable Renter,1 Adult Kids,4,1,225
65+,U,125-149K,Homeowner,Unknown,3,3+,226
19-24,A,15-24K,Homeowner,Single Female,4,1,227
65+,U,200-249K,Renter,2 Adults No Kids,3,None/Unknown,228
25-34,B,100-124K,Homeowner,Unknown,1,2,229
55-64,B,200-249K,Unknown,2 Adults Kids,1,None/Unknown,230
45-54,B,125-149K,Probable Renter,1 Adult Kids,4,1,231
45-54,A,250K+,Unknown,2 Adults Kids,4,1,232
19-24,A,75-99K,Unknown,Single Female,4,1,233
55-64,U,200-249K,Probable Owner,Single Male,2,2,234
25-34,B,35-49K,Renter,Single Male,2,1,235
45-54,A,200-249K,Homeowner,Single Female,3,1,236
55-64,B,100-124K,Unknown,Single Female,1,3+,237
45-54,U,25-34K,Renter,Single Male,3,3+,238
45-54,B,100-124K,Probable Owner,1 Adult Kids,5+,2,239
55-64,B,50-74K,Unknown,Single Female,3,None/Unknown,240
45-54,U,35-49K,Probable Owner,2 Adults Kids,1,3+,241
35-44,U,50-74K,Probable Owner,2 Adults Kids,1,2,242
45-54,A,15-24K,Renter,1 Adult Kids,3,2,243
45-54,A,125-149K,Homeowner,Unknown,4,1,244
35-44,U,100-124K,Probable Renter,Single Female,5+,1,245
55-64,U,125-149K,Probable Renter,2 Adults Kids,4,None/Unknown,246
35-44,U,175-199K,Probable Renter,2 Adults No Kids,4,2,247
25-34,B,125-149K,Probable Owner,Single Male,4,None/Unknown,248
65+,A,Under 15K,Renter,Single Male,4,1,249
55-64,U,200-249K,Probable Renter,Single Male,1,None/Unknown,250
25-34,B,100-124K,Renter,Single Female,5+,1,251
35-44,U,150-174K,Probable Renter,2 Adults Kids,4,None/Unknown,252
25-34,B,25-34K,Probable Owner,Single Female,2,None/Unknown,253
55-64,A,50-74K,Probable Owner,2 Adults Kids,2,None/Unknown,254
55-64,B,250K+,Probable Owner,Unknown,5+,1,255
25-34,U,50-74K,Unknown,Single Female,3,None/Unknown,256
45-54,U,150-174K,Homeowner,2 Adults No Kids,3,None/Unknown,257
55-64,B,125-149K,Homeowner,1 Adult Kids,4,None/Unknown,258
55-64,A,100-124K,Probable Owner,1 Adult Kids,5+,3+,259
35-44,A,250K+,Renter,2 Adults No Kids,5+,None/Unknown,260
45-54,B,150-174K,Probable Owner,Unknown,1,3+,261
25-34,U,250K+,Renter,1 Adult Kids,5+,3+,262
65+,U,Under 15K,Unknown,Single Male,5+,1,263
65+,B,75-99K,Probable Owner,Unknown,3,None/Unknown,264
19-24,A,75-99K,Renter,Single Female,4,3+,265
45-54,U,25-34K,Probable Owner,Unknown,5+,2,266
19-24,U,25-34K,Homeowner,Single Female,2,1,267
25-34,U,250K+,Renter,2 Adults Kids,1,2,268
55-64,A,15-24K,Renter,1 Adult Kids,3,3+,269
55-64,A,15-24K,Probable Owner,Single Female,4,None/Unknown,270
19-24,A,150-174K,Probable Renter,1 Adult Kids,3,1,271
45-54,B,25-34K,Renter,2 Adults Kids,5+,None/Unknown,272
35-44,U,Under 15K,Unknown,Single Male,3,2,273
45-54,A,35-49K,Unknown,Single Male,2,2,274
19-24,B,175-199K,Unknown,2 Adults No Kids,3,None/Unknown,275
35-44,U,150-174K,Renter,2 Adults Kids,4,2,276
19-24,B,Under 15K,Probable Owner,Unknown,1,3+,277
19-24,B,175-199K,Probable Renter,Unknown,4,1,278
65+,B,200-249K,Probable Owner,1 Adult Kids,4,2,279
45-54,B,50-74K,Homeowner,2 Adults No Kids,3,2,280
25-34,A,Under 15K,Renter,2 Adults Kids,3,2,281
55-64,A,50-74K,Renter,Unknown,4,None/Unknown,282
55-64,B,175-199K,Probable Owner,Single Male,2,None/Unknown,283
19-24,B,150-174K,Homeowner,2 Adults Kids,3,None/Unknown,284
25-34,U,Under 15K,Unknown,Single Female,5+,2,285
25-34,B,150-174K,Renter,Single Female,1,2,286
25-34,A,Under 15K,Probable Owner,Unknown,5+,2,287
35-44,B,250K+,Probable Owner,2 Adults Kids,4,1,288
35-44,A,50-74K,Probable Renter,1 Adult Kids,5+,1,289
55-64,U,200-249K,Unknown,Unknown,3,None/Unknown,290
25-34,A,125-149K,Probable Owner,Unknown,1,2,291
25-34,A,150-174K,Probable Renter,Unknown,1,3+,292
55-64,B,75-99K,Probable Owner,Single Female,5+,None/Unknown,293
65+,U,15-24K,Probable Owner,1 Adult Kids,2,2,294
25-34,U,100-124K,Probable Renter,1 Adult Kids,3,1,295
25-34,B,75-99K,Homeowner,Unknown,3,3+,296
65+,B,50-74K,Unknown,Single Female,1,1,297
65+,B,75-99K,Homeowner,Single Female,2,3+,298
35-44,B,150-174K,Renter,2 Adults Kids,5+,2,299
35-44,A,175-199K,Homeowner,2 Adults Kids,3,3+,300
45-54,B,Under 15K,Homeowner,Unknown,5+,2,301
55-64,B,200-249K,Renter,2 Adults Kids,1,2,302
35-44,B,150-174K,Probable Renter,1 Adult Kids,3,None/Unknown,303
45-54,A,100-124K,Renter,Unknown,1,3+,304
55-64,U,200-249K,Homeowner,Single Male,1,None/Unknown,305
45-54,U,35-49K,Renter,1 Adult Kids,3,2,306
65+,A,150-174K,Probable Owner,2 Adults No Kids,5+,3+,307
19-24,B,100-124K,Homeowner,Single Male,1,1,308
35-44,U,100-124K,Probable Owner,Single Male,3,None/Unknown,309
25-34,U,200-249K,Unknown,Single Male,1,3+,310
65+,B,Under 15K,Probable Owner,Single Female,5+,2,311
55-64,U,50-74K,Homeowner,Single Male,2,3+,312
35-44,U,35-49K,Probable Renter,Single Male,5+,2,313
45-54,U,Under 15K,Unknown,Unknown,2,3+,314
65+,B,175-199K,Homeowner,Single Female,5+,1,315
35-44,U,75-99K,Probable Renter,2 Adults No Kids,1,2,316
55-64,U,Under 15K,Homeowner,2 Adults Kids,4,2,317
25-34,A,Under 15K,Renter,1 Adult Kids,2,None/Unknown,318
25-34,B,100-124K,Unknown,Single Male,2,None/Unknown,319
45-54,A,50-74K,Renter,1 Adult Kids,1,3+,320
65+,U,100-124K,Homeowner,1 Adult Kids,1,1,321
35-44,A,75-99K,Unknown,1 Adult Kids,1,1,322
25-34,B,125-149K,Homeowner,Single Male,2,3+,323
25-34,B,175-199K,Renter,1 Adult Kids,5+,3+,324
65+,A,35-49K,Probable Owner,Single Female,2,3+,325
65+,A,150-174K,Unknown,2 Adults No Kids,2,1,326
55-64,B,15-24K,Unknown,2 Adults No Kids,3,2,327
45-54,U,75-99K,Probable Renter,1 Adult Kids,2,2,328
55-64,U,50-74K,Unknown,2 Adults No Kids,2,2,329
55-64,U,Under 15K,Probable Owner,1 Adult Kids,3,2,330
65+,U,100-124K,Probable Renter,1 Adult Kids,5+,2,331
45-54,A,175-199K,Probable Renter,1 Adult Kids,4,None/Unknown,332
65+,U,50-74K,Probable Renter,Unknown,3,None/Unknown,333
25-34,B,100-124K,Unknown,2 Adults No Kids,3,1,334
55-64,B,100-124K,Renter,Single Male,1,1,335
65+,A,250K+,Homeowner,Single Female,3,None/Unknown,336
35-44,B,75-99K,Probable Renter,Single Female,2,3+,337
19-24,U,125-149K,Probable Renter,Single Male,5+,None/Unknown,338
25-34,A,100-124K,Probable Owner,Single Female,3,None/Unknown,339
45-54,B,Under 15K,Probable Renter,Single Female,3,1,340
55-64,A,175-199K,Probable Owner,Single Male,1,3+,341
25-34,A,75-99K,Renter,Unknown,3,2,342
45-54,B,125-149K,Renter,Unknown,4,3+,343
55-64,A,125-149K,Homeowner,Single Male,1,1,344
25-34,U,100-124K,Unknown,Single Male,2,None/Unknown,345
45-54,U,125-149K,Probable Owner,2 Adults No Kids,3,None/Unknown,346
25-34,B,Under 15K,Renter,Single Male,1,3+,347
65+,B,75-99K,Probable Renter,1 Adult Kids,5+,1,348
19-24,A,175-199K,Renter,Single Female,3,None/Unknown,349
35-44,U,175-199K,Unknown,Single Male,1,3+,350
55-64,B,175-199K,Homeowner,2 Adults Kids,3,3+,351
19-24,U,175-199K,Renter,Unknown,3,1,352
55-64,B,250K+,Probable Renter,Single Female,5+,2,353
35-44,U,125-149K,Homeowner,Single Male,2,None/Unknown,354
19-24,B,35-49K,Unknown,Single Female,4,1,355
25-34,U,250K+,Probable Renter,Single Male,5+,3+,356
65+,U,200-249K,Homeowner,Unknown,2,2,357
55-64,U,150-174K,Unknown,2 Adults No Kids,2,1,358
35-44,B,200-249K,Homeowner,2 Adults No Kids,2,3+,359
35-44,U,35-49K,Homeowner,2 Adults Kids,4,2,360
35-44,B,50-74K,Homeowner,2 Adults No Kids,2,1,361
25-34,A,175-199K,Renter,2 Adults No Kids,3,1,362
35-44,U,Under 15K,Homeowner,2 Adults Kids,3,None/Unknown,363
65+,B,Under 15K,Probable Owner,Single Female,4,None/Unknown,364
45-54,A,250K+,Renter,2 Adults No Kids,2,1,365
65+,A,50-74K,Renter,2 Adults Kids,2,2,366
55-64,A,75-99K,Homeowner,Single Female,4,None/Unknown,367
55-64,U,250K+,Unknown,Single Male,1,1,368
55-64,A,35-49K,Probable Owner,Single Male,4,3+,369
19-24,U,15-24K,Unknown,Single Male,4,1,370
55-64,B,15-24K,Unknown,2 Adults Kids,5+,None/Unknown,371
19-24,U,125-149K,Renter,Unknown,2,None/Unknown,372
25-34,A,100-124K,Probable Renter,2 Adults No Kids,4,2,373
65+,B,35-49K,Unknown,2 Adults No Kids,4,1,374
19-24,U,250K+,Unknown,Single Male,3,2,375
45-54,U,250K+,Probable Owner,Single Male,5+,2,376
35-44,U,175-199K,Probable Owner,2 Adults Kids,1,None/Unknown,377
25-34,A,Under 15K,Probable Renter,2 Adults No Kids,4,2,378
35-44,U,Under 15K,Unknown,2 Adults No Kids,2,1,379
45-54,A,175-199K,Unknown,1 Adult Kids,4,3+,380
55-64,A,150-174K,Probable Renter,Unknown,1,None/Unknown,381
35-44,B,125-149K,Renter,2 Adults Kids,4,None/Unknown,382
55-64,U,15-24K,Probable Owner,2 Adults No Kids,4,2,383
25-34,A,175-199K,Renter,Unknown,4,None/Unknown,384
55-64,A,Under 15K,Probable Renter,2 Adults No Kids,1,1,385
35-44,B,100-124K,Renter,Single Female,1,2,386
55-64,A,100-124K,Homeowner,Unknown,2,1,387
35-44,A,250K+,Probable Owner,2 Adults No Kids,5+,2,388
35-44,A,50-74K,Probable Renter,Single Female,1,1,389
45-54,U,25-34K,Probable Owner,Unknown,5+,None/Unknown,390
35-44,A,200-249K,Renter,2 Adults No Kids,1,None/Unknown,391
45-54,A,125-149K,Unknown,2 Adults No Kids,3,3+,392
25-34,U,175-199K,Renter,Single Male,3,None/Unknown,393
35-44,U,200-249K,Probable Owner,Single Male,4,3+,394
55-64,A,100-124K,Renter,1 Adult Kids,1,3+,395
55-64,A,250K+,Probable Owner,2 Adults No Kids,4,1,396
65+,A,15-24K,Homeowner,2 Adults Kids,1,2,397
35-44,U,25-34K,Renter,Single Female,5+,2,398
55-64,A,35-49K,Homeowner,Single Female,4,2,399
19-24,A,75-99K,Unknown,2 Adults No Kids,5+,None/Unknown,400
25-34,A,15-24K,Homeowner,2 Adults Kids,5+,2,401
19-24,U,35-49K,Homeowner,Single Female,2,2,402
55-64,A,250K+,Homeowner,1 Adult Kids,3,2,403
25-34,B,175-199K,Homeowner,Single Male,5+,3+,404
19-24,U,50-74K,Probable Renter,2 Adults No Kids,3,1,405
55-64,A,Under 15K,Probable Owner,1 Adult Kids,1,3+,406
55-64,A,Under 15K,Unknown,Single Female,3,3+,407
35-44,A,150-174K,Homeowner,Single Female,1,1,408
65+,A,125-149K,Renter,Single Female,3,2,409
19-24,A,15-24K,Homeowner,Unknown,3,2,410
55-64,U,250K+,Probable Renter,1 Adult Kids,3,1,411
65+,B,50-74K,Homeowner,Single Female,2,3+,412
55-64,A,250K+,Unknown,2 Adults Kids,5+,3+,413
19-24,B,35-49K,Probable Owner,Unknown,1,3+,414
25-34,U,175-199K,Renter,Unknown,5+,None/Unknown,415
45-54,U,150-174K,Probable Owner,Single Male,4,3+,416
45-54,B,25-34K,Probable Owner,Unknown,3,1,417
35-44,A,25-34K,Renter,2 Adults No Kids,1,3+,418
25-34,A,150-174K,Probable Owner,Unknown,2,None/Unknown,419
45-54,U,175-199K,Probable Owner,Unknown,5+,1,420
65+,B,15-24K,Renter,Single Male,1,3+,421
55-64,U,125-149K,Homeowner,Unknown,4,3+,422
55-64,A,125-149K,Homeowner,Single Female,4,None/Unknown,423
55-64,U,250K+,Renter,Unknown,5+,None/Unknown,424
45-54,U,250K+,Renter,2 Adults No Kids,5+,None/Unknown,425
55-64,A,250K+,Homeowner,Unknown,1,2,426
45-54,U,75-99K,Renter,Single Female,1,1,427
19-24,A,50-74K,Probable Renter,Unknown,5+,1,428
35-44,B,15-24K,Unknown,Unknown,4,2,429
19-24,A,200-249K,Renter,Single Female,5+,None/Unknown,430
25-34,B,150-174K,Unknown,Unknown,1,2,431
45-54,B,Under 15K,Probable Owner,Single Male,5+,None/Unknown,432
19-24,A,25-34K,Probable Renter,2 Adults Kids,4,1,433
25-34,A,Under 15K,Unknown,Unknown,1,1,434
35-44,A,125-149K,Probable Renter,Single Female,1,None/Unknown,435
25-34,A,200-249K,Renter,1 Adult Kids,3,2,436
19-24,B,25-34K,Probable Owner,1 Adult Kids,3,1,437
35-44,A,35-49K,Homeowner,2 Adults Kids,4,None/Unknown,438
35-44,B,250K+,Unknown,2 Adults No Kids,5+,3+,439
35-44,B,200-249K,Unknown,Unknown,3,None/Unknown,440
65+,U,100-124K,Probable Owner,2 Adults Kids,4,2,441
