COUPON_UPC,PRODUCT_ID,CAMPAIGN
90126492,280897,12
95211038,697982,12
14767641,648826,4
64942372,784144,10
43296194,193544,23
63723642,825211,20
37184676,301157,3
17950317,799207,17
63332975,971974,15
65354170,405931,24
48903129,474853,5
10582221,381477,23
60334980,317898,25
61903237,555881,12
61964470,342469,7
53015080,616247,19
38799611,908670,29
64601382,810626,24
89676484,258957,6
42143249,208355,24
92148522,571130,26
76386817,724985,18
12005494,351952,23
12196134,996796,23
18940766,288512,10
89790750,610432,16
39559157,494142,20
60116182,371045,29
87898322,532500,3
87965607,832431,2
91345470,908400,2
40289852,844003,19
69140039,949757,6
62927219,547196,3
21726602,305570,4
62393952,613225,20
34698357,625899,20
29941992,193544,20
47154051,572347,18
15817722,680624,3
62128331,509201,14
88767917,478246,17
39380585,328359,25
68533694,624787,18
47034864,708851,2
97872505,475420,28
66348014,844003,4
60222403,480436,16
76389309,378043,1
81188521,843454,15
82925760,305750,24
42315697,557599,6
93679529,225468,14
67857450,763131,18
52545229,702550,13
47885971,900680,20
96365729,364012,28
11940814,900032,4
83546586,470916,6
46390502,200224,1
16626185,742910,21
41752196,901397,2
23598670,889791,30
63858190,755498,23
18031755,427013,21
19159695,163208,23
98347614,717194,6
35703552,717254,8
14812207,979648,21
80169736,981638,10
67621465,447960,3
18477558,402540,12
85364456,597045,16
31339429,650018,6
26710019,218026,6
78209733,901690,4
23881299,752185,7
17976634,699333,3
89173898,168823,12
55310750,489340,5
18657956,267485,22
43079743,548175,6
88874062,954561,6
74977859,616171,9
63658848,195622,3
65258749,583341,29
85038269,852360,17
64221206,477722,24
52936621,168607,6
30068192,744165,20
69580839,920928,17
23561861,372376,4
64100894,401173,1
20985854,386819,21
40670600,982673,19
18501093,556041,27
72361609,424439,14
65021590,328238,20
48089931,573116,27
28564257,242673,18
16255043,119658,22
49648217,814219,18
49574170,716620,2
16650712,600052,21
38038859,150226,3
83301524,141992,27
11295525,662307,25
55921604,593802,19
86528419,826001,6
72304648,724985,16
39739572,948231,6
23645567,863477,24
24873183,393692,3
53210235,444561,10
77564794,889138,29
96375243,360735,2
96632409,514658,2
23549189,708142,13
57454945,988401,6
79594797,567388,1
59960185,313765,19
63746424,301975,26
32035191,648064,16
79284754,461664,9
60294699,440854,17
82307326,708326,23
57204530,584442,12
83346301,561962,9
59670845,211232,20
16329460,143420,12
75974714,416889,28
98662463,902055,16
13178194,503788,1
92041407,884897,27
85095670,265322,24
73735416,154834,3
31000928,211232,12
82231735,639085,3
47894297,824273,2
77903411,245913,14
78590314,655891,18
91581158,453448,2
65349624,305431,22
11687894,855269,18
37697801,702193,17
56479297,834563,1
85079435,978225,10
82160427,378387,17
92155524,559228,12
39157815,994759,22
76975133,369068,10
99671224,711547,8
64320884,859288,2
29101799,191024,16
97475121,332689,20
50114102,997626,28
91213443,742910,30
94232038,435393,28
12026684,254402,29
25164611,476342,23
12615988,609299,23
17662303,622069,23
97363432,665699,28
13480400,584362,17
83944810,145123,3
50691073,189236,5
96259023,623304,22
45370465,397584,10
11771298,838746,23
52839531,775309,29
86532627,182005,6
23818080,415672,4
71323232,179460,24
32330484,174493,2
23263692,252700,30
83686331,378112,5
62328329,870503,7
17006918,854555,15
67545229,677361,11
46536672,918133,20
85421464,762272,17
95122761,360000,19
17459492,308084,4
70709762,391462,22
51961334,213190,6
30102883,706765,18
49664226,281929,12
81692694,223579,22
91434541,579996,4
15355978,932042,6
14789845,235605,3
24978685,489464,18
35732928,375078,11
51389362,464690,26
63117166,722229,5
87368046,570025,12
29708726,301157,10
50446455,547202,29
12061469,545665,15
50392548,135851,28
10476379,920928,21
46361372,463760,13
47838445,291252,6
39104259,838949,13
10127248,551049,30
51757665,788292,3
53830780,409218,3
47327489,426905,9
72507268,462339,25
45615182,593415,13
29810932,393827,19
47470132,600713,23
36134541,882450,16
30495154,389903,24
81704329,402540,26
68700508,564035,3
51019551,232708,2
94048825,495402,30
58666281,761686,2
27936614,263540,28
15877811,620808,8
80715054,859497,6
34762255,778718,29
21998556,498099,30
89949242,631375,8
34527218,701021,23
42231499,266939,8
29475975,887390,10
37833946,223356,16
33942346,464097,27
61853188,455134,18
90775254,213837,16
51659076,433445,20
27005645,941278,8
74090297,205273,3
36248973,176760,3
44079767,608391,20
29964767,185677,20
27111948,151902,5
54729019,146106,29
45703757,620502,12
99021363,585553,15
21348892,827224,19
45597766,692079,21
57527025,842066,3
20751667,490578,29
14325989,574977,9
87039714,184992,27
32968272,976676,28
72583314,826726,25
52585877,582572,13
52555887,942915,11
63399749,488720,30
38840969,592289,28
70681018,782836,25
62773404,871047,13
43951012,212107,1
12008103,965608,13
32107862,426905,23
61639687,305539,24
12405056,223356,6
77336511,857025,21
82791401,368909,14
63831528,790433,30
88692634,293435,9
95766298,440363,24
30022515,452618,4
11731890,245897,10
41791304,737488,17
31873388,209798,17
24917671,789575,28
85511472,497872,11
61121255,404517,16
56795690,397898,10
52659552,743363,29
86621860,605566,30
54150431,829636,30
42813143,745931,2
97580735,771459,2
75366748,944223,11
34884145,532923,29
41933930,667785,4
42228070,568959,16
28997617,398279,6
73393648,507269,20
41447763,129808,28
54888543,478648,8
15001585,318095,23
83857560,203855,12
11775996,619199,19
43701352,705800,25
62461647,264359,6
59485949,239469,8
32040164,193066,1
16836397,619339,12
28462203,704725,21
57196857,556122,4
44449382,664975,7
59511176,319879,16
73690070,369871,15
22913506,936012,21
53430685,644813,28
26051638,201052,4
32551451,709539,24
91255809,618023,30
84470023,656281,5
41096888,942744,5
75561035,505873,14
24583296,484490,25
32062176,407718,24
18506875,979295,13
13946754,427161,26
74150981,783209,9
96780072,193858,18
43444448,112134,3
97083121,101300,14
89920043,899848,20
15739994,368396,17
65518265,769091,8
28062313,312834,24
14994476,754347,5
15147249,838454,2
21725687,898805,27
10358260,104716,20
48269563,172252,22
97095425,334493,3
67164367,888471,16
51344970,780915,22
69117963,993500,2
25554456,558992,22
53234025,472520,15
97221093,815882,16
94107337,896470,12
88816213,638421,11
87056241,259488,26
81090558,433970,20
35567527,212196,10
75457218,618075,11
69366316,244210,3
40390554,738820,14
56599584,180197,7
49443482,246925,8
70062048,223415,16
24371339,501563,14
93138468,143336,17
99172267,609455,16
83141640,798603,6
19534593,883761,29
36736310,826253,17
33133650,213605,10
22984923,964138,29
23487061,341624,12
85108501,204136,18
13247283,321250,24
59243883,928699,12
51132337,639165,19
22943487,415122,4
13288545,578867,3
99381332,848039,30
93734225,103144,20
13750400,631493,28
50046395,576838,11
50486691,258957,17
39782438,961449,8
99660181,626163,16
67032677,297039,9
17346933,377324,2
55830846,334751,18
12866937,198145,29
94256894,375398,10
57343998,997037,20
29508426,485719,2
57632965,700447,26
96000163,607969,26
82438003,916450,29
28020461,134116,15
81218284,721934,2
86484794,917895,29
58593418,714366,18
87286314,570506,8
57874661,410553,25
74911967,293530,2
90877001,554362,26
83708540,522224,25
11863321,167391,6
28929394,236828,20
36807608,730978,23
91843018,428113,4
23765915,150296,19
87588257,346719,24
62706423,440204,27
35514306,621058,30
47929683,178670,12
12796274,780306,2
52155765,453911,19
11133241,907294,9
82043986,423983,23
38693368,746054,8
24027108,747882,30
27914151,195363,21
31573963,339838,11
40518228,682421,27
40020948,474956,30
12436397,453033,14
49703207,657019,3
66278158,461162,1
59738410,555419,26
71887753,996265,8
31207963,527329,15
32235426,588758,26
17799410,691608,20
73364449,155935,5
47289097,524454,27
16545445,592006,17
50591367,717194,12
30355625,843454,5
34648257,125308,22
52715364,512007,5
56538436,199962,3
86904270,817467,1
12965777,895177,10
22184706,158144,21
75109930,556614,6
33882991,259053,6
29133249,401325,25
27354222,389744,30
90609918,305659,13
13884067,858035,18
83283898,353959,27
97676932,980174,10
69353585,947138,23
26800984,450041,24
92335055,872817,1
58126510,389373,5
43924657,758786,26
81024356,424087,19
68405548,900382,30
63085861,297177,8
37942421,255350,27
32294395,606066,21
91140558,251540,18
32901705,947540,17
85505126,940647,24
70966864,400452,24
86450617,130314,30
24682598,488975,27
59674021,806960,29
95127509,743941,11
89720135,616171,11
83073123,583838,12
25828498,736575,24
29967037,584442,30
96929453,847844,7
49340212,929043,28
18352631,606152,19
22140757,772422,14
52985215,818250,8
78529017,741910,29
31263029,945406,20
21870961,349686,24
36187716,346613,18
35625592,540062,16
15814733,674620,12
98263226,136832,25
72779366,878360,5
48457309,394041,16
94375670,317856,6
81770312,526070,23
37893699,980472,16
70256517,317102,2
94326450,414216,4
79586336,536528,6
50910502,941066,28
87351839,780943,5
86580969,211025,25
68741851,567171,26
30916246,137122,26
93827451,116176,28
64854175,911320,22
87735693,856183,6
66913971,147358,6
94811987,659380,14
25937301,221616,29
86594532,303422,7
30361835,719277,21
53418810,241291,7
35181853,110387,17
56349034,275423,7
57814960,764674,8
57380705,484054,23
28447978,957303,1
35702180,772158,17
77248988,347710,15
80098754,484054,7
54875113,109181,27
88945274,912138,16
89381279,900569,7
98496687,764640,3
87692210,158160,28
78396892,156584,10
44038142,564209,28
19019175,254982,12
83949230,314161,27
69809135,804426,15
43280738,318051,20
35700029,500569,13
69655508,564239,30
94494139,609559,9
55711661,408153,7
94071233,673959,29
11536105,377938,17
32531353,186937,17
16046221,748758,26
55666075,218918,4
76128950,990918,18
40584992,424439,25
80965718,312014,9
57205617,383306,27
14747839,484517,15
61790024,514259,5
89573784,281164,12
52280571,240346,7
31109835,205653,6
31813882,599083,21
65073504,176282,25
79314699,889364,1
51280213,923590,18
43023901,146552,19
68504609,982555,18
23335823,484539,3
52308063,808539,26
55311530,668991,18
39831223,497798,22
65175571,354931,13
80182335,656291,5
44021119,617834,9
37997953,940743,23
48614320,862251,1
85937674,142619,4
49896730,283702,11
53463328,699577,27
61209507,792012,12
28669830,537532,14
51993479,907203,1
11680133,200474,29
10758906,999946,6
91495828,710890,27
11793200,959800,15
81336974,269461,18
61461010,853445,11
12510764,637131,21
55927352,890398,9
84661402,917961,26
17525916,664975,21
81558765,388366,7
85447179,660372,19
92165206,844623,6
24766136,476534,9
59498710,912405,5
82839092,276990,7
57910222,730058,21
88702143,947593,13
43052482,359403,10
54516736,696368,17
13376666,496440,24
40333095,275708,8
93932521,116083,27
23975470,451938,16
67472794,570210,29
89471192,220835,19
95741198,686988,16
50096897,477722,14
65941545,613957,8
28506422,720561,19
88801268,424976,19
12251335,588734,23
27251867,398063,7
13200281,466530,26
83444237,972845,30
34506198,933926,21
77624531,776791,25
44743507,542206,27
23513458,988682,5
10228393,983940,21
35269253,224710,23
19418888,937036,12
99132912,264528,27
63668351,450041,2
38510039,784144,19
68860314,618933,19
78007577,125102,10
27731106,614903,14
73252968,654712,9
85192354,466393,28
92518396,578073,3
24999029,692298,12
25216874,275423,29
53884594,415997,9
18510972,404517,17
25127264,935823,15
23902211,391506,5
77218274,801178,8
61013251,881242,5
65096780,421331,7
85919616,495402,24
46191891,376762,29
92346777,918281,29
71525277,940667,18
73322421,172133,18
10169476,207659,12
35107591,868348,15
38299201,138988,15
79581024,219032,22
76199504,453115,17
96080494,588330,3
90002912,247768,19
21270355,979465,17
41393782,942069,30
47255727,850466,29
25767448,988682,30
20931862,271160,1
30689371,527117,24
43551804,299471,24
71617733,554362,2
15203354,890429,23
58980260,530428,30
11275669,277792,23
56527747,252043,21
79590491,837158,29
69228019,197760,7
94994654,925291,12
59514993,141955,9
34653746,917961,20
76550579,490680,2
84613327,994875,17
80911965,839361,15
20986897,622217,23
76129932,242328,11
61729810,607362,18
18218976,746386,1
78976139,867728,26
49050317,367855,4
89508694,355169,14
29401356,500135,18
67757389,676668,27
37026867,139928,23
72486958,205149,15
20276648,110963,13
94033920,271393,5
94785551,384047,24
48083604,307398,15
69790715,551821,22
82218964,585088,24
12014134,639188,30
99493182,576166,6
55946577,328170,16
16906511,128202,20
30145931,714330,10
44569934,544965,24
60785445,971795,25
92069818,219101,9
60269805,553700,7
66691573,608121,10
56955268,254402,4
26061363,788292,4
96112472,954197,1
51528034,511760,6
15361472,112075,21
34250940,131888,11
20033897,528033,17
84331686,788954,25
52776051,276339,27
82520536,240400,25
63520738,274529,27
72194817,642425,28
17226261,146106,24
56223164,713980,22
93295065,498099,7
11771389,787927,7
34586919,549276,29
89787097,860370,11
14744874,445971,11
85651831,471207,18
98306528,908400,20
92523133,786566,30
62526863,738787,28
99997442,177393,26
36018029,107204,6
70307334,521523,11
12092074,956828,3
23027604,764140,26
24471088,920234,28
27441971,360735,27
47201376,736447,27
74778598,877170,21
35956155,488688,29
80889430,296663,19
17085591,646264,29
80776915,933285,23
40344203,400459,16
80526406,966188,18
79077146,596264,19
45611853,370506,3
89367905,115476,24
78703875,583326,20
75756803,830626,23
72446266,710083,21
50792012,228733,10
55459190,116176,17
51181010,648529,17
51915844,325304,8
26691744,341176,12
15529979,813183,20
70392854,244382,7
70717444,732185,6
45396299,277792,22
15764697,525490,26
48703145,390792,29
11302496,862783,30
40608148,934544,27
20640097,221450,12
90057584,702042,28
67469121,629174,17
31302505,225468,13
79421675,176167,12
99423159,135065,29
24066672,462961,9
52667445,492498,27
93234021,879838,15
73174528,655719,11
45816192,853540,5
48067137,476534,21
92566814,597910,4
86080984,608760,6
72331966,638177,17
36234399,447947,25
31645883,917648,7
68645537,692016,2
27064120,758233,24
17144465,555402,30
73404919,708025,29
19925949,576631,6
83645744,741350,19
85931894,808904,24
46915055,641728,27
74976802,336943,14
65262895,941066,9
42474430,345896,1
88711007,546092,9
50423202,247091,27
45947533,114229,16
90296561,277386,6
49440668,665140,10
58475022,629075,16
43012961,494142,27
54342030,120067,25
98551551,480303,3
38657143,842227,15
62749794,167049,27
12638852,121172,2
51136492,394265,30
36732061,975481,12
25032844,139189,7
70765586,459222,29
50683769,584977,20
47097924,639682,4
66264235,752678,18
65581302,801094,8
93805695,144557,30
92087571,903361,5
73448958,830858,24
69021497,877962,26
68664951,321487,28
10960664,425733,22
88083171,791745,14
97913477,564239,15
99419926,900382,1
38256207,485058,27
98274361,949757,1
40535648,247233,11
33638463,222685,9
47269075,894089,28
50564071,948463,16
58669723,280576,29
10143279,886113,8
74126784,251137,25
57931949,164533,1
95100501,577858,16
95316409,730600,27
15368815,588301,17
68523191,303715,29
36314961,880870,5
88890337,589940,16
57479412,270569,15
72355796,583843,9
64764260,531015,19
49907457,943988,15
33133651,868348,23
54643105,314841,8
46610372,259070,2
90237572,150296,3
92973540,563010,16
68204297,312773,30
48782524,235605,15
25731744,548342,5
85441188,149331,27
77330470,303072,2
57749300,619072,16
51781710,876339,15
62813838,235252,11
35761070,787262,26
97088804,881136,14
42173192,758606,4
22701786,761654,25
13605179,990666,22
89084623,545466,27
82095762,461246,5
75325213,356108,7
47830805,650345,16
89386173,852647,10
44180055,337930,7
81935257,838517,17
47378123,475423,1
62559775,906785,6
66676053,836926,30
14696497,843601,17
97213731,449052,14
63141902,386901,24
36038052,341357,21
65653676,797985,9
97174335,434776,4
37092577,491242,25
14416824,791351,15
85281903,934643,19
57171107,484442,25
64912427,920916,17
11351367,910327,11
52771961,834248,6
46088508,624685,4
45230863,194988,7
53781287,553409,28
65846828,392019,23
18422647,911448,6
98520157,972841,6
93842561,730144,19
48457331,705800,26
83709489,289380,24
78964451,993897,15
76730377,285751,6
55127746,168887,19
93366462,504654,2
78693102,625895,2
20582081,885079,18
22602329,918976,4
53778772,257388,22
96468870,844462,28
93584249,683739,14
23864987,459507,8
67031493,641229,11
85900003,414292,14
96957173,125966,17
69962538,198005,17
33579426,739035,15
42485425,765307,29
32998112,424217,23
23857774,931761,17
26261124,237988,20
58957357,119107,25
99458055,901445,16
49230861,845045,20
78779807,346814,4
98503085,926307,20
86216035,713576,12
66553451,123446,7
16853776,713281,19
51673623,382600,25
93945478,945428,13
76901281,680774,24
57741347,115432,25
83695496,756063,8
92861735,899346,22
24006102,718429,28
13234438,210431,1
88373872,789818,4
37829465,250417,14
11154061,813412,11
53480338,309463,14
14172331,226082,24
43234356,544118,23
38726556,690228,22
34613985,304997,29
41530704,478246,29
16496277,345416,22
51178625,306606,8
88429707,762272,13
46601073,171899,10
42753364,877416,28
97357211,380997,2
15132972,679402,23
87144674,232200,21
73693225,123865,6
26800733,919023,26
99418834,995571,17
81333815,561215,21
90308249,968071,6
86675697,563941,10
58205639,340138,27
10957206,778125,13
28943669,141464,11
93039616,335924,18
19359075,315293,10
53203084,295554,2
59240466,799951,4
56894977,253398,7
87512298,233235,30
20508904,159128,20
38514028,352903,9
87542313,959586,11
16969107,272175,10
55513803,814721,23
31179809,666650,24
70894398,328359,29
48428527,542031,28
25091897,254976,25
66096960,739117,1
37444684,789267,11
63958662,757836,18
78956386,609732,26
46207190,666251,24
95221694,397219,8
94678363,766898,16
68132324,457114,10
62257868,526421,29
12518043,291214,21
72263001,346740,28
36276770,544286,24
90116441,678636,26
85421931,415319,20
97309041,494321,1
19757581,242673,17
37372875,868348,27
90704880,407767,15
23300462,994694,24
18375052,108431,11
83290909,549277,30
67125178,254280,22
66504318,323405,11
34773125,993164,22
81607923,257336,18
61792920,536528,30
82080990,328170,8
24058890,186622,21
69403270,397150,29
90451878,747942,21
21483348,678771,11
78439090,853397,6
55856459,465012,2
14386031,851970,10
56227086,716167,17
51720198,277814,9
50876879,762478,15
79577905,925824,27
54107177,525766,12
23434389,924180,3
34847047,646264,27
65977830,161887,13
29328777,665699,23
19533215,604567,20
47353150,630066,2
82806864,285512,27
93285523,488684,5
37047020,176760,13
70893434,108431,22
84005266,770837,18
10789561,948888,14
87261484,772014,7
93483994,676558,9
35649644,399631,29
22000674,618041,5
41223462,269701,5
83552443,664470,17
44079194,295967,23
29906105,739312,25
31418302,151326,25
90148235,565932,14
39467756,287715,25
82996272,554375,26
34586339,626086,16
67658273,881365,17
77708631,380396,16
11245485,977150,14
77378120,276639,6
20024688,315751,26
70995204,263607,22
45727504,540261,22
42939721,648045,20
70595938,506129,16
23467533,333478,16
48131453,557194,13
83482231,441437,3
20169888,497477,10
71999450,496557,22
19422325,534421,23
55910795,400815,29
88951362,285450,3
55966197,260616,1
66112043,941835,7
97251252,994027,29
16391637,359144,23
90831155,311356,3
88991842,766605,5
65083656,992494,29
15834162,109554,29
50252461,468821,5
60065156,362340,22
63888493,644863,23
89036561,193861,15
20059264,677361,20
62850945,751507,6
65807647,605571,12
87366738,618643,3
54756121,842557,16
82079926,160535,6
30524230,720917,11
97106489,370506,30
81544322,225706,17
64471017,369656,19
35192537,207299,5
31093172,231064,17
30203712,942744,25
88268990,667950,2
66954656,759437,13
13737596,191436,13
34726914,717424,29
25846513,221430,29
69452613,422974,13
27072176,636772,10
45067290,290189,3
59818806,414216,4
59862873,712932,18
53051235,478849,1
88405586,678636,5
69191555,253757,3
14349451,602889,14
99282025,196794,4
57940059,447474,16
55051809,600052,3
64015662,622362,20
16851812,927149,11
49271273,747430,12
48222681,951627,20
97460252,139928,12
74389908,446333,8
42756468,375889,15
21117270,439546,8
69544818,557535,25
13394788,138693,27
69823471,991425,3
29668380,876938,3
14952859,575728,4
52600451,357912,15
49285642,114085,24
48199703,783652,5
25396073,486655,15
59029697,109468,22
52465677,801094,18
57234295,586277,10
19556288,937019,19
80018092,192011,27
81225128,731729,10
88512946,321450,11
88721123,736848,21
10387675,332287,30
80000343,431609,20
78633666,699164,2
69045210,630101,4
13012927,752923,16
24026745,510318,23
33397962,372772,3
79996322,930923,25
47031195,347413,3
71852060,431783,29
71087086,793660,26
69470886,150666,26
26284456,410653,21
74560479,169191,16
78981647,336943,21
93772949,324730,23
32207104,497768,30
69115350,890340,13
51805387,453518,15
20033401,940647,10
20718462,945406,24
38008121,710980,28
56557871,642439,27
20212701,890411,24
38839404,759571,14
90631357,629174,27
10796742,731326,7
95318541,716329,25
83835625,152305,4
31680166,376035,21
56927817,549277,14
15547047,565932,28
11501930,736848,29
71913814,604923,10
21344043,335089,26
25282207,139441,8
17525547,403215,8
17348505,374490,6
45396487,915295,12
38826965,407767,23
97875584,318728,30
77782016,525932,24
13325839,168073,13
29466579,219101,4
25177138,990666,26
40818266,975280,25
11430631,727835,3
96480313,752787,2
42321643,715157,19
80460005,604404,23
96103727,224676,16
43984498,452275,9
35156706,557280,17
28144989,186153,8
26582861,889239,14
52661840,181390,27
12063408,910942,6
34335657,887673,29
75920693,795260,16
54344965,293461,13
62099729,646214,11
11613584,884253,24
55395933,631170,13
30000440,870488,1
51876038,579916,23
47841762,602889,20
50521187,996096,27
12629456,531015,8
