DESCRIPTION,CAMPAIGN,START_DAY,END_DAY
T00357,27,172,191
T00358,28,578,627
T00359,29,588,617
T00360,30,557,584
T00361,1,327,377
T00362,2,236,250
T00363,3,77,116
T00364,4,520,550
T00365,5,579,621
T00366,6,63,105
T00367,7,68,119
T00368,8,602,624
T00369,9,371,415
T00370,10,335,356
T00371,11,106,149
T00372,12,80,110
T00373,13,303,361
T00374,14,26,52
T00375,15,293,318
T00376,16,550,593
T00377,17,327,381
T00378,18,415,457
T00379,19,207,265
T00380,20,116,176
T00381,21,109,126
T00382,22,128,171
T00383,23,394,432
T00384,24,3,28
T00385,25,451,504
T00386,26,94,151
T00387,27,136,176
T00388,28,78,114
T00389,29,284,300
T00390,30,635,681
T00391,1,674,711
T00392,2,411,463
T00393,3,85,99
T00394,4,235,286
T00395,5,207,240
T00396,6,573,594
T00397,7,60,77
T00398,8,249,275
T00399,9,320,374
T00400,10,349,376
T00401,11,588,614
T00402,12,114,168
T00403,13,488,521
T00404,14,133,156
T00405,15,96,137
T00406,16,371,422
T00407,17,514,534
T00408,18,87,124
T00409,19,489,539
T00410,20,93,119
T00411,21,397,454
T00412,22,455,511
T00413,23,535,590
T00414,24,614,649
T00415,25,254,296
T00416,26,622,645
T00417,27,554,571
T00418,28,400,429
T00419,29,633,671
T00420,30,686,734
T00421,1,137,167
T00422,2,535,553
T00423,3,505,559
T00424,4,191,244
T00425,5,505,525
T00426,6,223,241
T00427,7,95,152
T00428,8,336,382
T00429,9,173,207
T00430,10,52,100
T00431,11,299,326
T00432,12,286,342
T00433,13,189,208
T00434,14,121,145
T00435,15,98,156
T00436,16,560,620
T00437,17,188,236
T00438,18,538,562
T00439,19,602,622
T00440,20,266,302
T00441,21,319,362
T00442,22,45,100
T00443,23,677,711
T00444,24,290,319
T00445,25,215,240
T00446,26,96,119
T00447,27,329,380
T00448,28,368,423
T00449,29,301,327
T00450,30,145,203
T00451,1,283,315
T00452,2,221,274
T00453,3,188,213
T00454,4,62,105
T00455,5,527,582
T00456,6,657,678
T00457,7,26,61
T00458,8,31,80
T00459,9,598,647
T00460,10,679,731
T00461,11,277,337
T00462,12,54,102
T00463,13,85,124
T00464,14,644,687
T00465,15,165,194
T00466,16,220,259
T00467,17,599,628
T00468,18,382,402
T00469,19,45,88
T00470,20,223,269
T00471,21,383,401
T00472,22,325,352
T00473,23,296,350
T00474,24,218,255
T00475,25,435,479
T00476,26,607,639
T00477,27,74,110
T00478,28,295,351
T00479,29,7,60
T00480,30,309,349
T00481,1,98,140
T00482,2,284,321
T00483,3,327,367
T00484,4,201,246
T00485,5,569,585
T00486,6,124,171
T00487,7,497,517
T00488,8,334,353
T00489,9,233,247
T00490,10,6,45
T00491,11,194,226
T00492,12,37,88
T00493,13,429,449
T00494,14,180,235
T00495,15,602,652
T00496,16,169,207
T00497,17,153,210
T00498,18,234,272
T00499,19,113,161
T00500,20,114,151
T00501,21,450,501
T00502,22,478,520
T00503,23,417,449
T00504,24,135,161
T00505,25,479,526
T00506,26,514,548
T00507,27,38,80
T00508,28,577,636
T00509,29,31,86
T00510,30,649,682
T00511,1,472,509
T00512,2,357,381
T00513,3,202,216
T00514,4,250,277
T00515,5,321,375
T00516,6,21,41
T00517,7,183,211
T00518,8,172,222
T00519,9,6,23
T00520,10,106,127
T00521,11,167,198
T00522,12,630,659
T00523,13,287,307
T00524,14,646,682
T00525,15,519,542
T00526,16,143,162
T00527,17,171,190
T00528,18,380,398
T00529,19,106,122
T00530,20,565,613
T00531,21,1,59
T00532,22,619,667
T00533,23,580,615
T00534,24,51,89
T00535,25,417,454
T00536,26,616,675
T00537,27,232,267
T00538,28,406,426
T00539,29,277,294
T00540,30,25,74
T00541,1,101,134
T00542,2,692,728
T00543,3,133,188
T00544,4,565,604
T00545,5,12,51
T00546,6,549,600
T00547,7,160,179
T00548,8,496,529
T00549,9,269,314
T00550,10,17,61
T00551,11,258,310
T00552,12,685,745
T00553,13,341,366
T00554,14,143,175
T00555,15,622,675
T00556,16,271,327
T00557,17,621,676
T00558,18,560,611
T00559,19,454,493
T00560,20,235,285
T00561,21,124,162
T00562,22,31,48
T00563,23,460,499
T00564,24,583,615
T00565,25,85,143
T00566,26,429,463
T00567,27,696,745
T00568,28,476,491
T00569,29,75,111
T00570,30,130,183
T00571,1,357,374
T00572,2,428,457
T00573,3,345,378
T00574,4,113,167
T00575,5,444,486
T00576,6,539,593
T00577,7,341,369
T00578,8,27,58
T00579,9,312,346
T00580,10,397,440
T00581,11,354,409
T00582,12,593,639
T00583,13,698,716
T00584,14,569,623
T00585,15,414,443
T00586,16,140,194
T00587,17,308,368
T00588,18,215,241
T00589,19,327,341
T00590,20,550,605
T00591,21,362,381
T00592,22,118,140
T00593,23,476,506
T00594,24,525,580
T00595,25,103,141
T00596,26,147,187
T00597,27,640,687
T00598,28,377,402
T00599,29,26,61
T00600,30,438,494
T00601,1,424,438
T00602,2,342,400
T00603,3,590,640
T00604,4,585,645
T00605,5,199,222
T00606,6,660,678
T00607,7,591,634
T00608,8,279,318
T00609,9,384,423
T00610,10,212,266
T00611,11,544,567
T00612,12,381,421
T00613,13,614,630
T00614,14,162,209
T00615,15,455,509
T00616,16,403,422
T00617,17,637,679
T00618,18,424,472
T00619,19,96,124
T00620,20,519,569
T00621,21,120,135
T00622,22,134,189
T00623,23,41,89
T00624,24,512,571
T00625,25,319,335
T00626,26,180,228
T00627,27,604,655
T00628,28,239,279
T00629,29,341,396
T00630,30,19,35
T00631,1,684,713
T00632,2,66,119
T00633,3,22,70
T00634,4,324,367
T00635,5,570,619
T00636,6,163,197
T00637,7,537,568
T00638,8,145,170
T00639,9,20,66
T00640,10,656,694
T00641,11,365,387
T00642,12,55,98
T00643,13,511,543
T00644,14,536,574
T00645,15,50,75
T00646,16,363,403
T00647,17,238,282
T00648,18,521,540
T00649,19,92,150
T00650,20,677,731
T00651,21,398,449
T00652,22,55,112
T00653,23,623,665
T00654,24,153,195
T00655,25,249,274
T00656,26,672,718
T00657,27,380,417
T00658,28,505,548
T00659,29,604,648
T00660,30,274,323
T00661,1,261,275
T00662,2,535,572
T00663,3,169,194
T00664,4,537,577
T00665,5,89,141
T00666,6,541,563
T00667,7,450,473
T00668,8,419,433
T00669,9,387,422
T00670,10,490,531
T00671,11,522,546
T00672,12,634,686
T00673,13,447,491
T00674,14,151,198
T00675,15,183,216
T00676,16,108,168
T00677,17,640,683
T00678,18,514,574
T00679,19,413,459
T00680,20,45,75
T00681,21,173,220
T00682,22,552,597
T00683,23,524,581
T00684,24,611,635
T00685,25,336,386
T00686,26,538,577
T00687,27,451,509
T00688,28,159,217
T00689,29,304,325
T00690,30,621,657
T00691,1,296,317
T00692,2,641,678
T00693,3,485,503
T00694,4,487,528
T00695,5,175,214
T00696,6,584,622
T00697,7,474,499
T00698,8,548,598
T00699,9,141,178
T00700,10,498,539
T00701,11,357,392
T00702,12,345,363
T00703,13,270,311
T00704,14,370,422
T00705,15,602,648
T00706,16,235,253
T00707,17,276,302
T00708,18,59,111
T00709,19,609,645
T00710,20,235,259
T00711,21,106,154
T00712,22,591,620
T00713,23,109,164
T00714,24,372,429
T00715,25,255,271
T00716,26,335,391
T00717,27,524,584
T00718,28,390,427
T00719,29,270,318
T00720,30,214,242
T00721,1,685,731
T00722,2,576,592
T00723,3,436,481
T00724,4,112,164
T00725,5,107,152
T00726,6,292,317
T00727,7,373,392
T00728,8,526,582
T00729,9,437,490
T00730,10,478,513
T00731,11,683,723
T00732,12,388,444
T00733,13,486,506
T00734,14,463,518
T00735,15,374,434
T00736,16,129,162
T00737,17,690,706
T00738,18,629,672
T00739,19,360,407
T00740,20,386,406
T00741,21,253,308
T00742,22,578,606
T00743,23,281,325
T00744,24,267,323
T00745,25,681,732
T00746,26,373,389
T00747,27,50,83
T00748,28,314,332
T00749,29,553,589
T00750,30,648,665
T00751,1,10,51
T00752,2,38,64
T00753,3,9,54
T00754,4,672,731
T00755,5,610,657
T00756,6,315,344
T00757,7,386,414
T00758,8,284,331
T00759,9,410,429
T00760,10,331,391
T00761,11,439,473
T00762,12,559,605
T00763,13,485,537
T00764,14,198,230
T00765,15,32,86
T00766,16,263,312
T00767,17,403,455
T00768,18,255,303
T00769,19,271,289
T00770,20,205,249
T00771,21,17,59
T00772,22,535,579
T00773,23,30,58
T00774,24,675,701
T00775,25,53,72
T00776,26,287,305
T00777,27,115,161
T00778,28,154,192
T00779,29,647,664
T00780,30,442,500
T00781,1,45,83
T00782,2,541,565
T00783,3,83,127
T00784,4,635,677
T00785,5,430,461
T00786,6,660,699
T00787,7,512,527
T00788,8,352,397
T00789,9,306,330
T00790,10,1,37
T00791,11,34,89
T00792,12,63,111
T00793,13,39,53
T00794,14,38,56
T00795,15,542,597
T00796,16,156,196
T00797,17,5,63
T00798,18,409,434
T00799,19,64,85
T00800,20,125,178
T00801,21,618,632
T00802,22,393,441
T00803,23,572,616
T00804,24,5,65
T00805,25,622,638
T00806,26,597,614
T00807,27,316,340
T00808,28,252,275
T00809,29,419,473
T00810,30,424,452
T00811,1,288,324
T00812,2,411,444
T00813,3,347,363
T00814,4,650,704
T00815,5,272,288
T00816,6,491,542
T00817,7,697,729
T00818,8,151,206
T00819,9,360,412
T00820,10,145,167
T00821,11,16,40
T00822,12,65,93
T00823,13,640,695
T00824,14,335,357
T00825,15,27,71
T00826,16,424,454
T00827,17,698,727
T00828,18,352,402
T00829,19,222,245
T00830,20,375,415
T00831,21,126,181
T00832,22,522,548
T00833,23,482,498
T00834,24,128,163
T00835,25,465,509
T00836,26,314,347
T00837,27,88,142
T00838,28,432,473
T00839,29,156,177
T00840,30,294,352
T00841,1,334,394
T00842,2,578,624
T00843,3,314,371
T00844,4,671,718
T00845,5,642,673
T00846,6,492,547
T00847,7,82,123
T00848,8,656,711
T00849,9,587,645
T00850,10,229,269
T00851,11,101,146
T00852,12,693,727
T00853,13,385,434
T00854,14,175,232
T00855,15,652,691
T00856,16,548,566
T00857,17,265,321
T00858,18,120,157
T00859,19,337,393
T00860,20,31,50
T00861,21,651,683
T00862,22,344,387
T00863,23,15,29
T00864,24,289,346
T00865,25,17,37
T00866,26,497,523
T00867,27,657,685
T00868,28,469,504
T00869,29,600,619
T00870,30,106,160
T00871,1,175,222
T00872,2,641,681
T00873,3,80,108
T00874,4,123,170
T00875,5,529,556
T00876,6,626,661
T00877,7,338,380
T00878,8,37,56
T00879,9,431,446
T00880,10,100,141
T00881,11,89,145
T00882,12,625,678
T00883,13,379,429
T00884,14,305,329
T00885,15,356,414
T00886,16,256,290
T00887,17,141,178
T00888,18,243,285
T00889,19,15,68
T00890,20,308,331
T00891,21,30,89
T00892,22,398,434
T00893,23,639,690
T00894,24,601,635
T00895,25,668,724
T00896,26,288,319
T00897,27,4,53
T00898,28,13,73
T00899,29,600,651
T00900,30,325,374
T00901,1,621,644
T00902,2,671,727
T00903,3,531,553
T00904,4,119,174
T00905,5,343,376
T00906,6,594,649
T00907,7,437,463
T00908,8,12,58
T00909,9,241,293
T00910,10,491,535
T00911,11,141,197
T00912,12,348,369
T00913,13,555,601
T00914,14,235,261
T00915,15,575,629
T00916,16,605,640
T00917,17,250,283
T00918,18,601,620
T00919,19,35,60
T00920,20,398,426
T00921,21,612,660
T00922,22,428,460
T00923,23,607,635
T00924,24,377,409
T00925,25,265,316
T00926,26,634,689
T00927,27,498,512
T00928,28,459,494
T00929,29,327,359
T00930,30,371,397
T00931,1,547,595
T00932,2,175,198
T00933,3,247,302
T00934,4,279,294
T00935,5,579,600
T00936,6,457,473
T00937,7,515,573
T00938,8,580,614
T00939,9,497,530
T00940,10,218,265
T00941,11,148,189
T00942,12,510,557
T00943,13,154,203
T00944,14,163,205
T00945,15,362,413
T00946,16,532,574
T00947,17,386,433
T00948,18,46,89
T00949,19,589,638
T00950,20,71,87
T00951,21,365,386
T00952,22,237,257
T00953,23,315,356
T00954,24,597,621
T00955,25,596,649
T00956,26,225,252
T00957,27,643,689
T00958,28,386,443
T00959,29,222,252
T00960,30,367,413
T00961,1,498,522
T00962,2,230,268
T00963,3,255,310
T00964,4,385,408
T00965,5,538,573
T00966,6,515,547
T00967,7,662,713
T00968,8,558,576
T00969,9,109,163
T00970,10,265,302
T00971,11,499,536
T00972,12,541,601
T00973,13,471,499
T00974,14,545,585
T00975,15,559,606
T00976,16,31,68
T00977,17,50,108
T00978,18,470,503
T00979,19,321,341
T00980,20,127,162
T00981,21,183,215
T00982,22,474,492
T00983,23,540,582
T00984,24,87,102
T00985,25,670,686
T00986,26,25,51
T00987,27,2,19
T00988,28,252,287
T00989,29,676,698
T00990,30,675,719
T00991,1,333,353
T00992,2,475,529
T00993,3,177,224
T00994,4,403,431
T00995,5,132,163
T00996,6,640,673
T00997,7,564,609
T00998,8,517,546
T00999,9,435,451
T01000,10,690,706
T01001,11,152,204
T01002,12,518,551
T01003,13,660,718
T01004,14,378,433
T01005,15,368,428
T01006,16,558,583
T01007,17,517,535
T01008,18,303,342
T01009,19,645,665
T01010,20,477,501
T01011,21,481,496
T01012,22,86,135
T01013,23,584,605
T01014,24,215,261
T01015,25,572,617
T01016,26,129,150
T01017,27,497,554
T01018,28,135,192
T01019,29,555,584
T01020,30,413,427
T01021,1,445,497
T01022,2,390,431
T01023,3,552,598
T01024,4,280,310
T01025,5,559,604
T01026,6,600,632
T01027,7,625,654
T01028,8,90,132
T01029,9,199,225
T01030,10,138,160
T01031,11,30,70
T01032,12,180,211
T01033,13,567,582
T01034,14,475,499
T01035,15,468,500
T01036,16,223,258
T01037,17,523,580
T01038,18,373,411
T01039,19,585,612
T01040,20,131,177
T01041,21,501,531
T01042,22,252,284
T01043,23,141,158
T01044,24,339,354
T01045,25,167,199
T01046,26,57,108
T01047,27,6,42
T01048,28,43,92
T01049,29,646,673
T01050,30,292,328
T01051,1,59,85
T01052,2,463,491
T01053,3,382,396
T01054,4,623,648
T01055,5,668,706
T01056,6,582,607
T01057,7,352,410
T01058,8,662,686
T01059,9,437,455
T01060,10,484,521
T01061,11,86,123
T01062,12,262,281
T01063,13,536,584
T01064,14,667,689
T01065,15,183,240
T01066,16,520,562
T01067,17,33,50
T01068,18,147,165
T01069,19,223,264
T01070,20,667,686
T01071,21,222,274
T01072,22,593,643
T01073,23,175,202
T01074,24,159,186
T01075,25,601,658
T01076,26,517,576
T01077,27,455,514
T01078,28,287,344
T01079,29,660,692
T01080,30,337,357
T01081,1,165,188
T01082,2,479,519
T01083,3,667,724
T01084,4,676,690
T01085,5,462,510
T01086,6,430,471
T01087,7,8,50
T01088,8,414,446
T01089,9,296,351
T01090,10,686,708
T01091,11,4,47
T01092,12,39,84
T01093,13,501,521
T01094,14,237,292
T01095,15,380,437
T01096,16,587,640
T01097,17,160,220
T01098,18,241,270
T01099,19,91,116
T01100,20,561,614
T01101,21,598,644
T01102,22,324,345
T01103,23,91,137
T01104,24,441,498
T01105,25,3,39
T01106,26,276,298
T01107,27,205,223
T01108,28,104,159
T01109,29,169,207
T01110,30,144,180
T01111,1,461,492
T01112,2,526,578
T01113,3,288,327
T01114,4,412,471
T01115,5,507,540
T01116,6,396,455
T01117,7,334,369
T01118,8,25,62
T01119,9,463,497
T01120,10,673,691
T01121,11,583,614
T01122,12,238,268
T01123,13,131,166
T01124,14,284,330
T01125,15,145,199
T01126,16,327,383
T01127,17,10,58
T01128,18,374,392
T01129,19,82,119
T01130,20,314,364
T01131,21,272,314
T01132,22,383,397
T01133,23,304,345
T01134,24,380,407
T01135,25,263,287
T01136,26,350,383
T01137,27,670,693
T01138,28,155,201
T01139,29,576,591
T01140,30,670,698
T01141,1,157,197
T01142,2,3,27
T01143,3,584,628
T01144,4,663,721
T01145,5,297,346
T01146,6,25,59
T01147,7,468,520
T01148,8,435,493
T01149,9,652,701
T01150,10,461,517
T01151,11,203,230
T01152,12,353,377
T01153,13,37,57
T01154,14,533,582
T01155,15,620,663
T01156,16,405,424
T01157,17,88,105
T01158,18,614,656
T01159,19,444,470
T01160,20,40,64
T01161,21,531,572
T01162,22,435,495
T01163,23,660,715
T01164,24,353,382
T01165,25,374,432
T01166,26,675,724
T01167,27,79,128
T01168,28,593,642
T01169,29,363,406
T01170,30,634,654
T01171,1,674,716
T01172,2,163,182
T01173,3,272,319
T01174,4,410,459
T01175,5,549,573
T01176,6,652,681
T01177,7,570,629
T01178,8,366,402
T01179,9,124,180
T01180,10,354,374
T01181,11,30,86
T01182,12,599,628
T01183,13,259,298
T01184,14,434,476
T01185,15,242,259
T01186,16,519,567
T01187,17,7,37
T01188,18,556,612
T01189,19,5,52
T01190,20,95,120
T01191,21,497,519
T01192,22,505,563
T01193,23,285,326
T01194,24,15,31
T01195,25,83,104
T01196,26,92,129
T01197,27,446,486
T01198,28,242,296
T01199,29,124,142
T01200,30,27,87
T01201,1,522,553
T01202,2,558,595
T01203,3,350,393
T01204,4,622,677
T01205,5,197,249
T01206,6,230,277
T01207,7,104,127
T01208,8,257,272
T01209,9,107,139
T01210,10,503,542
T01211,11,396,447
T01212,12,408,439
T01213,13,562,592
T01214,14,442,461
T01215,15,340,393
T01216,16,109,124
T01217,17,117,150
T01218,18,328,352
T01219,19,588,630
T01220,20,672,692
T01221,21,467,523
T01222,22,208,222
T01223,23,281,307
T01224,24,690,710
T01225,25,72,98
T01226,26,517,559
T01227,27,332,346
T01228,28,578,604
T01229,29,75,129
T01230,30,3,63
T01231,1,421,480
T01232,2,108,152
T01233,3,232,267
T01234,4,354,410
T01235,5,634,687
T01236,6,502,523
T01237,7,490,534
T01238,8,453,477
T01239,9,117,158
T01240,10,392,424
T01241,11,61,80
T01242,12,399,424
T01243,13,329,379
T01244,14,351,377
T01245,15,262,299
T01246,16,276,319
T01247,17,627,671
T01248,18,143,191
T01249,19,693,708
T01250,20,514,566
T01251,21,200,245
T01252,22,159,193
T01253,23,590,626
T01254,24,440,460
T01255,25,402,462
T01256,26,548,600
T01257,27,576,602
T01258,28,509,565
T01259,29,324,339
T01260,30,109,142
T01261,1,567,588
T01262,2,690,706
T01263,3,174,219
T01264,4,29,86
T01265,5,245,284
T01266,6,284,343
T01267,7,416,452
T01268,8,488,527
T01269,9,70,124
T01270,10,45,82
T01271,11,144,189
T01272,12,178,204
T01273,13,700,745
T01274,14,354,387
T01275,15,202,236
T01276,16,314,358
T01277,17,494,543
T01278,18,58,79
T01279,19,327,352
T01280,20,442,498
T01281,21,12,57
T01282,22,304,352
T01283,23,395,445
T01284,24,636,663
T01285,25,345,391
T01286,26,535,561
T01287,27,585,630
T01288,28,566,597
T01289,29,459,511
T01290,30,115,174
T01291,1,414,453
T01292,2,331,381
T01293,3,658,677
T01294,4,291,324
T01295,5,266,302
T01296,6,18,46
T01297,7,184,243
T01298,8,201,222
T01299,9,153,183
T01300,10,650,696
T01301,11,659,719
T01302,12,580,601
T01303,13,262,286
T01304,14,501,531
T01305,15,132,189
T01306,16,337,383
T01307,17,578,598
T01308,18,369,421
T01309,19,390,424
T01310,20,307,342
T01311,21,696,744
T01312,22,155,199
T01313,23,223,266
T01314,24,189,204
T01315,25,265,286
T01316,26,447,493
T01317,27,601,627
T01318,28,624,682
T01319,29,274,298
T01320,30,273,294
T01321,1,537,571
T01322,2,19,51
T01323,3,538,589
T01324,4,61,75
T01325,5,397,412
T01326,6,405,450
T01327,7,14,61
T01328,8,507,546
T01329,9,130,161
T01330,10,32,78
T01331,11,131,180
T01332,12,221,248
T01333,13,648,665
T01334,14,32,89
T01335,15,592,617
T01336,16,481,508
T01337,17,237,284
T01338,18,330,353
T01339,19,572,624
T01340,20,183,217
T01341,21,506,521
T01342,22,146,205
T01343,23,410,467
T01344,24,509,533
T01345,25,69,117
T01346,26,172,208
T01347,27,502,520
T01348,28,369,411
T01349,29,503,531
T01350,30,126,170
T01351,1,337,366
T01352,2,416,444
T01353,3,624,666
T01354,4,552,590
T01355,5,672,724
T01356,6,44,72
T01357,7,403,424
T01358,8,540,571
T01359,9,246,299
T01360,10,419,467
T01361,11,170,194
T01362,12,599,645
T01363,13,671,697
T01364,14,213,253
T01365,15,598,616
T01366,16,601,636
T01367,17,452,472
T01368,18,488,537
T01369,19,213,227
T01370,20,53,111
T01371,21,199,214
T01372,22,645,682
T01373,23,389,422
T01374,24,258,277
T01375,25,330,379
T01376,26,609,648
T01377,27,562,613
T01378,28,497,530
T01379,29,534,557
T01380,30,673,721
T01381,1,465,499
T01382,2,660,708
T01383,3,214,271
T01384,4,700,726
T01385,5,100,148
T01386,6,671,700
T01387,7,688,741
T01388,8,19,41
T01389,9,89,123
T01390,10,504,533
T01391,11,653,676
T01392,12,7,55
T01393,13,215,273
T01394,14,421,441
