PRODUCT_ID,MANUFACTURER,DEPARTMENT,BRAND,COMMODITY_DESC,SUB_COMMODITY_DESC,CURR_SIZE_OF_PRODUCT
483348,232,BEVERAGES,STORE BRAND,YOGURT,CHOCOLATE CHIP,12 PK
891881,765,DELI,ORGANIC,FLUID MILK PRODUCTS,CHOCOLATE CHIP,100G
102859,476,BEAUTY,PRIVATE,FLUID MILK PRODUCTS,CORN,32 OZ
218539,906,PRODUCE,GENERIC,PASTA,CRACKERS,16 OZ
781969,349,PRODUCE,ORGANIC,VEGETABLES - CANNED,GROUND BEEF,100G
642875,161,MEAT,NATIONAL,BUTTER/MARGARINE,CORN,250G
670058,513,DELI,ORGANIC,BREAD/BAKED GOODS,SPAGHETTI,1 GAL
459222,996,BEAUTY,NATIONAL,FLUID MILK PRODUCTS,SALTED,250G
144790,412,SEAFOOD,STORE BRAND,CHICKEN,LASAGNA,6 PK
487812,291,MEAT,NATIONAL,PASTA,SALTED,32 OZ
359891,596,DELI,PREMIUM,VEGETABLES - CANNED,BONELESS,1 GAL
488688,719,SEAFOOD,PRIVATE,BUTTER/MARGARINE,CHEDDAR,32 OZ
382001,572,DAIRY,GENERIC,COOKIES,DIET,16 OZ
483497,841,PRODUCE,STORE BRAND,SOFT DRINKS,SALTED,2 LB
278579,654,PRODUCE,NATIONAL,FROZEN MEALS,GROUND,500ML
479572,517,GROCERY,STORE BRAND,VEGETABLES - CANNED,SALTED,32 OZ
481671,604,BAKERY,PRIVATE,SOFT DRINKS,POTATO,100G
313765,466,DELI,STORE BRAND,VEGETABLES - CANNED,POTATO,16 OZ
521754,680,PRODUCE,NATIONAL,CHIPS,CHOCOLATE CHIP,1 GAL
284846,565,DELI,PRIVATE,CHEESE,SPAGHETTI,12 PK
877285,104,BEAUTY,NATIONAL,BUTTER/MARGARINE,POTATO,12 PK
837301,848,DELI,PRIVATE,CHICKEN,SALTED,100G
980290,850,HOUSEHOLD,STORE BRAND,BREAD/BAKED GOODS,CHEDDAR,1 GAL
275126,126,BEVERAGES,STORE BRAND,FLUID MILK PRODUCTS,CORN,16 OZ
688897,835,BAKERY,GENERIC,BUTTER/MARGARINE,GREEK,250G
130109,151,GROCERY,PREMIUM,YOGURT,GROUND BEEF,100G
714894,54,BAKERY,STORE BRAND,PASTA,CHEDDAR,32 OZ
322197,258,HEALTH,NATIONAL,CHICKEN,DIET,12 PK
576285,241,HEALTH,PRIVATE,SOFT DRINKS,CHEDDAR,16 OZ
482674,576,DAIRY,GENERIC,BUTTER/MARGARINE,GREEK,100G
186937,561,DAIRY,ORGANIC,BUTTER/MARGARINE,BONELESS,1 LB
371698,89,BEAUTY,STORE BRAND,COFFEE,GROUND,500ML
201377,805,FLORAL,ORGANIC,SNACKS,CRACKERS,12 PK
998386,480,BEVERAGES,PRIVATE,YOGURT,SALTED,6 PK
110554,338,BEAUTY,PREMIUM,SOFT DRINKS,CHOCOLATE CHIP,500ML
432910,532,HOUSEHOLD,PRIVATE,BREAD/BAKED GOODS,BONELESS,500ML
861218,661,FLORAL,GENERIC,SOFT DRINKS,LASAGNA,6 PK
655891,458,PRODUCE,STORE BRAND,CHIPS,LASAGNA,6 PK
765385,377,DELI,STORE BRAND,BREAD/BAKED GOODS,WHOLE MILK,100G
769066,20,MEAT,NATIONAL,FROZEN MEALS,CORN,12 PK
791351,316,HOUSEHOLD,PREMIUM,YOGURT,GROUND,1 LB
614903,582,BAKERY,PREMIUM,SNACKS,SPAGHETTI,1 LB
270396,578,FROZEN,ORGANIC,BEEF,CRACKERS,16 OZ
483337,810,HOUSEHOLD,STORE BRAND,COOKIES,CORN,1 LB
380304,605,FROZEN,PREMIUM,YOGURT,DIET,500ML
281489,738,DAIRY,NATIONAL,BEEF,CORN,500ML
710400,902,BEVERAGES,PREMIUM,FROZEN MEALS,WHITE BREAD,1 GAL
143978,429,DAIRY,STORE BRAND,FLUID MILK PRODUCTS,CHEDDAR,32 OZ
904715,750,BEVERAGES,STORE BRAND,FLUID MILK PRODUCTS,GROUND BEEF,100G
589554,794,HOUSEHOLD,NATIONAL,BEEF,GROUND,12 PK
380368,322,BAKERY,NATIONAL,BEEF,WHITE BREAD,100G
349499,723,BEVERAGES,NATIONAL,COFFEE,CHEDDAR,1 GAL
333776,815,SEAFOOD,GENERIC,VEGETABLES - CANNED,BONELESS,6 PK
872152,45,FLORAL,GENERIC,CHEESE,GROUND,250G
862301,772,MEAT,PREMIUM,CHIPS,WHITE BREAD,2 LB
642001,68,HEALTH,ORGANIC,BREAD/BAKED GOODS,POTATO,12 PK
866160,690,FLORAL,NATIONAL,YOGURT,WHOLE MILK,1 GAL
759095,34,HEALTH,ORGANIC,FLUID MILK PRODUCTS,POTATO,1 LB
938329,511,PRODUCE,NATIONAL,SNACKS,DIET,100G
724193,921,MEAT,PREMIUM,PASTA,GREEK,1 LB
231430,689,BAKERY,STORE BRAND,FROZEN MEALS,LASAGNA,32 OZ
934089,507,FLORAL,GENERIC,VEGETABLES - CANNED,SPAGHETTI,32 OZ
512729,283,MEAT,PRIVATE,CHEESE,CHEDDAR,1 GAL
432372,301,PRODUCE,NATIONAL,COFFEE,WHOLE MILK,500ML
777788,946,DAIRY,ORGANIC,CHIPS,CHEDDAR,1 GAL
501153,100,BAKERY,NATIONAL,BEEF,WHITE BREAD,100G
280579,870,HEALTH,PREMIUM,CHEESE,CHOCOLATE CHIP,6 PK
302789,706,DELI,STORE BRAND,BREAD/BAKED GOODS,GROUND,100G
225508,31,HEALTH,PRIVATE,BREAD/BAKED GOODS,GROUND,100G
710956,88,GROCERY,GENERIC,YOGURT,GREEK,12 PK
311203,668,FROZEN,GENERIC,PASTA,GROUND,32 OZ
711161,158,GROCERY,GENERIC,YOGURT,GROUND BEEF,1 LB
747111,766,SEAFOOD,ORGANIC,VEGETABLES - CANNED,DIET,250G
260383,425,HOUSEHOLD,GENERIC,PASTA,POTATO,1 GAL
883673,178,BAKERY,PREMIUM,FLUID MILK PRODUCTS,WHITE BREAD,1 LB
100327,324,HEALTH,STORE BRAND,SOFT DRINKS,CHEDDAR,6 PK
169679,711,MEAT,STORE BRAND,FLUID MILK PRODUCTS,WHOLE MILK,6 PK
446754,664,PRODUCE,STORE BRAND,COFFEE,DIET,250G
865554,663,BAKERY,STORE BRAND,YOGURT,WHOLE MILK,250G
857025,653,BEAUTY,ORGANIC,COOKIES,CHEDDAR,16 OZ
156319,264,HOUSEHOLD,PRIVATE,COOKIES,CHEDDAR,12 PK
766725,192,DELI,PRIVATE,FROZEN MEALS,BONELESS,500ML
831432,730,BAKERY,PRIVATE,CHICKEN,CHEDDAR,12 PK
376762,350,BAKERY,GENERIC,SOFT DRINKS,GREEK,2 LB
186246,457,MEAT,ORGANIC,COFFEE,CHEDDAR,250G
242596,278,MEAT,PREMIUM,FLUID MILK PRODUCTS,GROUND BEEF,1 LB
821236,796,FLORAL,NATIONAL,VEGETABLES - CANNED,WHOLE MILK,100G
195363,819,BEAUTY,GENERIC,PASTA,GROUND BEEF,16 OZ
455966,308,BAKERY,GENERIC,CHEESE,SPAGHETTI,1 GAL
123446,871,DAIRY,NATIONAL,FLUID MILK PRODUCTS,CORN,12 PK
526183,322,SEAFOOD,STORE BRAND,SNACKS,WHOLE MILK,1 LB
933285,350,FLORAL,PRIVATE,VEGETABLES - CANNED,GROUND BEEF,2 LB
670994,918,FLORAL,PRIVATE,VEGETABLES - CANNED,DIET,500ML
397547,585,DAIRY,NATIONAL,SOFT DRINKS,SPAGHETTI,1 LB
879911,239,HEALTH,NATIONAL,SOFT DRINKS,WHOLE MILK,1 LB
703260,23,PRODUCE,PRIVATE,CHEESE,BONELESS,1 GAL
688249,457,FROZEN,GENERIC,BEEF,SALTED,32 OZ
265801,860,SEAFOOD,STORE BRAND,YOGURT,GROUND,6 PK
828647,117,DELI,NATIONAL,YOGURT,WHOLE MILK,1 LB
930155,379,GROCERY,STORE BRAND,COOKIES,GROUND BEEF,250G
847942,578,SEAFOOD,ORGANIC,COFFEE,CRACKERS,16 OZ
932138,328,SEAFOOD,ORGANIC,SNACKS,POTATO,16 OZ
778497,9,DAIRY,PREMIUM,COOKIES,SALTED,1 GAL
929792,326,HOUSEHOLD,PREMIUM,YOGURT,GREEK,6 PK
796536,68,FROZEN,STORE BRAND,BUTTER/MARGARINE,GROUND,500ML
204613,781,HOUSEHOLD,PRIVATE,CHIPS,WHOLE MILK,6 PK
424040,304,GROCERY,PREMIUM,CHIPS,GREEK,1 LB
709920,192,DELI,GENERIC,CHIPS,CHOCOLATE CHIP,500ML
880750,250,DAIRY,NATIONAL,BEEF,POTATO,1 LB
490642,27,MEAT,STORE BRAND,PASTA,GROUND,32 OZ
224316,531,BAKERY,GENERIC,VEGETABLES - CANNED,WHITE BREAD,16 OZ
963930,616,HOUSEHOLD,PRIVATE,SOFT DRINKS,CORN,2 LB
296585,437,DAIRY,ORGANIC,CHIPS,GROUND,1 GAL
721886,780,DAIRY,ORGANIC,BEEF,CHEDDAR,1 LB
378043,573,DAIRY,GENERIC,BREAD/BAKED GOODS,LASAGNA,1 GAL
931275,190,BAKERY,STORE BRAND,FROZEN MEALS,GREEK,1 GAL
847170,417,DAIRY,ORGANIC,VEGETABLES - CANNED,WHOLE MILK,32 OZ
866211,883,BAKERY,ORGANIC,YOGURT,WHOLE MILK,100G
771459,258,DELI,PREMIUM,BREAD/BAKED GOODS,BONELESS,100G
285935,127,DAIRY,PREMIUM,COFFEE,WHITE BREAD,1 LB
263681,183,GROCERY,PRIVATE,CHIPS,SPAGHETTI,500ML
526673,1,DAIRY,PREMIUM,YOGURT,WHITE BREAD,1 GAL
536691,403,MEAT,NATIONAL,CHICKEN,SALTED,12 PK
912177,503,BAKERY,GENERIC,BUTTER/MARGARINE,DIET,250G
702259,26,FROZEN,GENERIC,COOKIES,WHITE BREAD,12 PK
818366,315,BEAUTY,PREMIUM,VEGETABLES - CANNED,SPAGHETTI,1 GAL
780943,515,FROZEN,GENERIC,CHIPS,CORN,250G
216487,833,SEAFOOD,NATIONAL,VEGETABLES - CANNED,WHOLE MILK,1 GAL
707259,465,BAKERY,NATIONAL,CHIPS,LASAGNA,250G
968733,514,BEAUTY,NATIONAL,SOFT DRINKS,SPAGHETTI,250G
626581,132,BEAUTY,PREMIUM,BUTTER/MARGARINE,POTATO,1 GAL
522745,656,GROCERY,NATIONAL,FLUID MILK PRODUCTS,GROUND,100G
276327,316,GROCERY,ORGANIC,YOGURT,GREEK,6 PK
533889,859,BAKERY,NATIONAL,BREAD/BAKED GOODS,LASAGNA,6 PK
369419,279,HEALTH,PREMIUM,BUTTER/MARGARINE,CHEDDAR,6 PK
110382,675,PRODUCE,PRIVATE,FROZEN MEALS,WHITE BREAD,250G
447239,736,HOUSEHOLD,ORGANIC,VEGETABLES - CANNED,CORN,250G
786050,560,SEAFOOD,GENERIC,COFFEE,WHOLE MILK,2 LB
806993,435,FROZEN,STORE BRAND,SNACKS,DIET,1 GAL
737965,762,BEVERAGES,PREMIUM,BREAD/BAKED GOODS,BONELESS,1 GAL
243000,737,MEAT,GENERIC,PASTA,CORN,16 OZ
639165,509,BAKERY,NATIONAL,SNACKS,DIET,16 OZ
277471,188,MEAT,ORGANIC,BUTTER/MARGARINE,BONELESS,12 PK
529463,69,MEAT,PREMIUM,VEGETABLES - CANNED,DIET,6 PK
446111,465,BEVERAGES,PREMIUM,CHICKEN,GREEK,500ML
428206,893,DAIRY,NATIONAL,CHEESE,CHOCOLATE CHIP,2 LB
878946,109,GROCERY,GENERIC,BUTTER/MARGARINE,CHEDDAR,100G
146540,314,BEVERAGES,ORGANIC,FLUID MILK PRODUCTS,SALTED,1 LB
995707,269,HOUSEHOLD,PRIVATE,PASTA,SPAGHETTI,16 OZ
789720,593,BAKERY,GENERIC,COOKIES,WHOLE MILK,100G
692273,899,FROZEN,GENERIC,PASTA,CHEDDAR,12 PK
348746,173,DAIRY,PREMIUM,SOFT DRINKS,CHEDDAR,1 GAL
934643,959,HOUSEHOLD,ORGANIC,CHICKEN,CHOCOLATE CHIP,1 LB
390623,513,HOUSEHOLD,GENERIC,CHEESE,GROUND,6 PK
642012,932,FROZEN,GENERIC,SOFT DRINKS,CHEDDAR,1 GAL
986198,717,BEAUTY,NATIONAL,YOGURT,WHITE BREAD,100G
650059,420,DAIRY,GENERIC,CHIPS,GREEK,16 OZ
251525,286,HOUSEHOLD,STORE BRAND,BREAD/BAKED GOODS,CORN,500ML
602137,614,DELI,GENERIC,CHIPS,GROUND,250G
219179,824,MEAT,PREMIUM,SNACKS,BONELESS,500ML
631234,258,HOUSEHOLD,STORE BRAND,BUTTER/MARGARINE,BONELESS,16 OZ
426905,649,SEAFOOD,GENERIC,CHEESE,GROUND BEEF,16 OZ
525361,364,MEAT,NATIONAL,CHIPS,LASAGNA,12 PK
759368,518,HOUSEHOLD,STORE BRAND,CHEESE,DIET,1 LB
618643,42,GROCERY,PRIVATE,BEEF,GROUND,100G
157734,709,FLORAL,GENERIC,CHIPS,CRACKERS,1 LB
618419,396,DAIRY,PRIVATE,COOKIES,CORN,1 LB
791522,225,FLORAL,STORE BRAND,SOFT DRINKS,CRACKERS,12 PK
252043,21,SEAFOOD,GENERIC,COFFEE,WHOLE MILK,16 OZ
567153,894,BAKERY,ORGANIC,PASTA,WHOLE MILK,32 OZ
258634,737,DAIRY,GENERIC,YOGURT,WHITE BREAD,1 GAL
966919,583,GROCERY,PRIVATE,FLUID MILK PRODUCTS,LASAGNA,250G
733329,815,DAIRY,NATIONAL,COFFEE,DIET,16 OZ
917961,809,BEVERAGES,GENERIC,SOFT DRINKS,DIET,1 LB
859125,912,BEAUTY,NATIONAL,CHIPS,CORN,12 PK
609455,323,HOUSEHOLD,NATIONAL,BUTTER/MARGARINE,CRACKERS,100G
424238,214,DAIRY,ORGANIC,VEGETABLES - CANNED,CRACKERS,32 OZ
784144,403,DELI,PREMIUM,FLUID MILK PRODUCTS,SPAGHETTI,2 LB
404156,120,BAKERY,ORGANIC,BREAD/BAKED GOODS,GROUND,100G
158544,853,BEVERAGES,PREMIUM,SOFT DRINKS,CHOCOLATE CHIP,16 OZ
992602,326,HEALTH,ORGANIC,CHICKEN,GROUND,100G
178677,31,HEALTH,STORE BRAND,FLUID MILK PRODUCTS,WHITE BREAD,12 PK
284162,561,GROCERY,NATIONAL,FLUID MILK PRODUCTS,WHOLE MILK,12 PK
803651,923,GROCERY,ORGANIC,BREAD/BAKED GOODS,CHEDDAR,2 LB
171688,341,GROCERY,PREMIUM,BUTTER/MARGARINE,WHOLE MILK,2 LB
555374,683,FROZEN,PREMIUM,CHEESE,WHOLE MILK,32 OZ
166128,503,SEAFOOD,PREMIUM,PASTA,CORN,2 LB
110214,414,MEAT,STORE BRAND,CHIPS,GROUND BEEF,250G
516788,327,DELI,ORGANIC,COFFEE,CORN,2 LB
118749,989,GROCERY,PRIVATE,CHEESE,CHOCOLATE CHIP,2 LB
811506,118,DAIRY,NATIONAL,COFFEE,POTATO,32 OZ
554302,700,MEAT,PREMIUM,CHICKEN,WHITE BREAD,100G
458991,130,BEAUTY,GENERIC,COOKIES,WHITE BREAD,250G
460043,804,DAIRY,PRIVATE,BUTTER/MARGARINE,GREEK,32 OZ
661845,818,HOUSEHOLD,STORE BRAND,PASTA,LASAGNA,250G
718338,586,MEAT,PRIVATE,BUTTER/MARGARINE,LASAGNA,250G
813487,229,BAKERY,GENERIC,BREAD/BAKED GOODS,WHOLE MILK,1 LB
650056,218,SEAFOOD,STORE BRAND,BEEF,GROUND,16 OZ
636273,643,DELI,PREMIUM,CHIPS,GREEK,250G
865435,817,BEVERAGES,PRIVATE,COOKIES,CORN,250G
847844,887,BAKERY,STORE BRAND,BREAD/BAKED GOODS,GROUND BEEF,16 OZ
392408,4,BEAUTY,NATIONAL,SOFT DRINKS,SPAGHETTI,250G
104333,634,HEALTH,STORE BRAND,YOGURT,WHOLE MILK,16 OZ
880584,112,FROZEN,ORGANIC,BEEF,GROUND BEEF,2 LB
890737,680,BEAUTY,PRIVATE,FROZEN MEALS,CRACKERS,500ML
502198,783,HOUSEHOLD,NATIONAL,PASTA,CHEDDAR,32 OZ
700849,732,PRODUCE,GENERIC,VEGETABLES - CANNED,GROUND BEEF,2 LB
977375,479,MEAT,NATIONAL,BUTTER/MARGARINE,POTATO,16 OZ
786239,846,HEALTH,NATIONAL,COOKIES,CRACKERS,500ML
933485,565,GROCERY,ORGANIC,SNACKS,LASAGNA,32 OZ
387152,370,FROZEN,ORGANIC,BUTTER/MARGARINE,DIET,6 PK
263205,563,DELI,GENERIC,PASTA,CRACKERS,500ML
857037,44,FROZEN,STORE BRAND,BEEF,WHITE BREAD,500ML
277184,347,BAKERY,STORE BRAND,YOGURT,POTATO,12 PK
177902,645,PRODUCE,PRIVATE,BREAD/BAKED GOODS,CHEDDAR,250G
659695,262,DAIRY,STORE BRAND,SOFT DRINKS,CHOCOLATE CHIP,1 GAL
182005,371,FLORAL,ORGANIC,BUTTER/MARGARINE,WHOLE MILK,1 GAL
335884,604,HEALTH,PREMIUM,FROZEN MEALS,GROUND BEEF,250G
366448,491,FROZEN,ORGANIC,YOGURT,GROUND BEEF,1 GAL
166933,943,GROCERY,NATIONAL,BREAD/BAKED GOODS,GREEK,500ML
112064,199,PRODUCE,NATIONAL,COOKIES,BONELESS,6 PK
439762,369,HOUSEHOLD,ORGANIC,COOKIES,LASAGNA,32 OZ
727142,869,DAIRY,STORE BRAND,COFFEE,CRACKERS,500ML
613864,633,DELI,GENERIC,COFFEE,CHEDDAR,12 PK
127027,281,PRODUCE,ORGANIC,SNACKS,WHITE BREAD,100G
656449,656,BEVERAGES,PREMIUM,CHICKEN,GROUND BEEF,12 PK
653949,41,HEALTH,ORGANIC,FLUID MILK PRODUCTS,BONELESS,2 LB
181625,28,BEAUTY,STORE BRAND,PASTA,CORN,2 LB
279558,81,PRODUCE,PREMIUM,VEGETABLES - CANNED,DIET,12 PK
329071,495,HEALTH,ORGANIC,FROZEN MEALS,LASAGNA,250G
766128,518,BAKERY,PREMIUM,COFFEE,CHOCOLATE CHIP,1 GAL
913779,721,SEAFOOD,STORE BRAND,SNACKS,CORN,100G
530664,976,MEAT,NATIONAL,FROZEN MEALS,SALTED,16 OZ
294393,785,DELI,NATIONAL,FLUID MILK PRODUCTS,WHITE BREAD,2 LB
914816,930,DELI,ORGANIC,CHICKEN,DIET,500ML
803098,867,HEALTH,GENERIC,SOFT DRINKS,LASAGNA,100G
409218,135,DAIRY,NATIONAL,CHICKEN,WHITE BREAD,1 GAL
478263,805,FROZEN,NATIONAL,SNACKS,CHOCOLATE CHIP,250G
235944,685,FROZEN,GENERIC,COFFEE,POTATO,12 PK
571638,356,SEAFOOD,GENERIC,SOFT DRINKS,BONELESS,16 OZ
990343,814,BEVERAGES,GENERIC,BREAD/BAKED GOODS,WHITE BREAD,2 LB
885342,134,DAIRY,NATIONAL,CHIPS,POTATO,1 GAL
895846,587,BEAUTY,ORGANIC,BUTTER/MARGARINE,GREEK,32 OZ
555126,176,BEVERAGES,ORGANIC,VEGETABLES - CANNED,GROUND BEEF,250G
171401,615,FLORAL,GENERIC,YOGURT,POTATO,16 OZ
118072,190,DELI,PREMIUM,CHICKEN,BONELESS,12 PK
513791,844,PRODUCE,PRIVATE,CHICKEN,DIET,6 PK
780704,904,DAIRY,GENERIC,CHEESE,CHEDDAR,500ML
444516,94,SEAFOOD,STORE BRAND,PASTA,GREEK,6 PK
130846,286,DELI,GENERIC,CHEESE,GROUND BEEF,1 LB
991960,643,HEALTH,PREMIUM,COOKIES,CHOCOLATE CHIP,500ML
806027,842,PRODUCE,PRIVATE,BREAD/BAKED GOODS,LASAGNA,12 PK
642773,943,BEAUTY,PRIVATE,CHICKEN,GROUND BEEF,1 GAL
616962,869,DAIRY,ORGANIC,YOGURT,LASAGNA,32 OZ
239372,383,GROCERY,ORGANIC,COFFEE,BONELESS,6 PK
644863,439,MEAT,ORGANIC,COFFEE,WHITE BREAD,250G
159810,136,BEVERAGES,STORE BRAND,CHICKEN,DIET,32 OZ
930190,631,DAIRY,PRIVATE,COFFEE,WHOLE MILK,12 PK
102144,650,BEVERAGES,GENERIC,FROZEN MEALS,SALTED,32 OZ
688780,687,FLORAL,GENERIC,BREAD/BAKED GOODS,CORN,6 PK
649753,239,HEALTH,ORGANIC,COFFEE,GROUND,100G
834220,118,GROCERY,ORGANIC,VEGETABLES - CANNED,GROUND BEEF,500ML
320860,511,HEALTH,PREMIUM,COOKIES,GROUND,100G
719506,25,HOUSEHOLD,NATIONAL,COFFEE,SPAGHETTI,100G
973737,342,SEAFOOD,PREMIUM,FROZEN MEALS,CORN,100G
870497,248,GROCERY,PREMIUM,CHIPS,SALTED,1 GAL
754620,868,HOUSEHOLD,STORE BRAND,FROZEN MEALS,POTATO,6 PK
303540,687,HEALTH,GENERIC,YOGURT,DIET,12 PK
407718,173,FLORAL,ORGANIC,BREAD/BAKED GOODS,SALTED,1 GAL
841423,396,BEVERAGES,ORGANIC,CHEESE,GREEK,1 LB
792597,249,SEAFOOD,NATIONAL,COFFEE,CHOCOLATE CHIP,6 PK
408153,450,MEAT,GENERIC,SNACKS,SPAGHETTI,1 LB
823528,794,FROZEN,ORGANIC,CHICKEN,SALTED,250G
601238,183,BEAUTY,NATIONAL,COOKIES,GREEK,12 PK
854112,321,DAIRY,NATIONAL,PASTA,CHOCOLATE CHIP,32 OZ
295554,344,SEAFOOD,NATIONAL,CHICKEN,WHOLE MILK,100G
729071,184,DAIRY,STORE BRAND,PASTA,BONELESS,500ML
826809,260,DELI,PRIVATE,CHICKEN,WHOLE MILK,16 OZ
704725,559,FROZEN,ORGANIC,FROZEN MEALS,WHOLE MILK,12 PK
749150,40,SEAFOOD,GENERIC,BREAD/BAKED GOODS,CHOCOLATE CHIP,1 LB
258334,24,FROZEN,STORE BRAND,PASTA,CORN,1 GAL
307981,836,BEAUTY,ORGANIC,BREAD/BAKED GOODS,GROUND,16 OZ
310372,113,FROZEN,PREMIUM,VEGETABLES - CANNED,GROUND,32 OZ
914316,924,DELI,STORE BRAND,COOKIES,LASAGNA,250G
447779,269,DELI,PRIVATE,BEEF,SALTED,2 LB
308756,957,FROZEN,PRIVATE,COFFEE,LASAGNA,6 PK
503775,340,FROZEN,ORGANIC,SOFT DRINKS,SALTED,32 OZ
375129,388,DELI,ORGANIC,PASTA,SPAGHETTI,1 LB
346878,811,HOUSEHOLD,NATIONAL,BEEF,WHOLE MILK,2 LB
645530,68,HOUSEHOLD,GENERIC,PASTA,POTATO,32 OZ
982555,148,BAKERY,GENERIC,CHEESE,GROUND BEEF,16 OZ
533659,722,DELI,GENERIC,FLUID MILK PRODUCTS,CHOCOLATE CHIP,250G
191436,873,FROZEN,ORGANIC,CHIPS,GREEK,1 LB
957751,997,FLORAL,PRIVATE,VEGETABLES - CANNED,SPAGHETTI,32 OZ
140765,10,SEAFOOD,NATIONAL,CHIPS,CHEDDAR,250G
840325,294,DAIRY,PRIVATE,CHEESE,CHEDDAR,250G
353775,362,BEAUTY,STORE BRAND,SOFT DRINKS,WHITE BREAD,32 OZ
270569,17,DELI,PRIVATE,CHIPS,CHEDDAR,12 PK
982451,522,SEAFOOD,PRIVATE,FLUID MILK PRODUCTS,SALTED,250G
289254,746,BEVERAGES,ORGANIC,BREAD/BAKED GOODS,POTATO,12 PK
441031,900,PRODUCE,PRIVATE,COOKIES,CORN,250G
529624,442,HEALTH,NATIONAL,PASTA,LASAGNA,250G
891061,673,BEVERAGES,STORE BRAND,SOFT DRINKS,DIET,6 PK
409987,111,HEALTH,NATIONAL,YOGURT,CORN,6 PK
642425,391,HEALTH,STORE BRAND,CHICKEN,SPAGHETTI,1 LB
838667,100,SEAFOOD,NATIONAL,BREAD/BAKED GOODS,CHEDDAR,32 OZ
314593,892,HOUSEHOLD,GENERIC,CHIPS,WHOLE MILK,100G
518952,667,BAKERY,STORE BRAND,BUTTER/MARGARINE,WHITE BREAD,1 GAL
656567,129,HEALTH,PREMIUM,CHEESE,WHITE BREAD,32 OZ
390568,861,FLORAL,ORGANIC,VEGETABLES - CANNED,GROUND BEEF,1 LB
327057,74,FLORAL,ORGANIC,FROZEN MEALS,SALTED,1 LB
602734,181,GROCERY,NATIONAL,BEEF,GROUND BEEF,12 PK
176563,997,HEALTH,GENERIC,FLUID MILK PRODUCTS,POTATO,100G
822572,845,HEALTH,NATIONAL,YOGURT,CHEDDAR,32 OZ
