household_key,DAY,COUPON_UPC,CAMPAIGN
5117,629,49302343,28
709,230,21761101,30
8416,415,88089400,29
8608,53,27285051,17
676,214,70139240,6
6656,223,83671462,20
6869,403,31306938,19
1451,197,85614741,10
5326,511,46944261,26
4553,646,35482953,6
9525,50,82378504,22
9030,329,41862094,26
9113,180,87375775,24
9152,642,52632375,9
782,253,66719806,2
8356,462,78244214,22
7821,345,72727195,3
6527,255,50292998,3
5489,316,64060268,6
969,477,58084875,9
1639,194,26310361,30
9955,574,67128245,9
1156,698,94310674,4
1736,543,51274737,12
293,183,50158729,23
4610,399,68763171,19
521,367,62257868,28
2328,622,16545445,23
2143,567,59797715,10
8823,52,99796727,9
2180,706,44660596,2
9994,89,94811987,23
3566,563,79767510,6
6499,427,19193523,21
7163,542,90279615,3
2575,121,52933013,14
6587,558,44098596,7
8866,562,68504609,3
9060,286,88721565,5
3836,261,93966848,12
1033,670,12595599,1
2966,84,25585771,23
5633,36,63429354,13
7184,535,54391699,9
6209,603,40899495,5
8327,622,14164068,11
729,423,53771289,1
4968,628,38323834,29
6138,572,34554375,16
4025,93,30488055,26
9777,124,19811644,21
2770,161,50446455,25
2869,349,24967549,27
5488,360,61345984,28
3062,465,58475022,3
35,8,37919171,8
9443,68,37372875,8
6180,691,38431650,18
5217,40,48614080,8
6890,568,52978270,26
7000,366,41229706,25
3575,404,84435309,23
5436,652,96734398,16
9246,326,54055331,23
9633,372,42801579,28
4009,158,85049093,29
7506,117,55919893,9
1122,361,73523078,11
1186,616,84951500,22
7710,398,72201141,12
3068,380,95433541,23
421,611,89426616,13
1735,492,19010962,16
4399,54,80762542,13
6712,689,14359021,18
7749,123,87296872,28
1635,565,41907302,18
1140,479,29668380,25
7653,89,79220635,8
6859,453,89682057,17
5677,667,87972982,28
3962,368,90116441,26
691,286,21931940,23
7624,14,17432574,18
9314,156,33435297,28
4291,330,68625787,21
2521,81,71529597,8
1302,237,76258883,7
7704,29,10796742,25
2915,573,75756803,20
181,98,20050852,12
4565,469,95995182,11
7187,392,36279279,3
8148,436,24405010,22
222,646,46075893,10
8886,388,68349827,16
9750,445,62511704,26
8299,190,32679881,4
766,655,50856440,30
822,373,27563829,25
5796,628,90049557,7
5352,101,91711744,5
4389,209,60785611,9
9612,499,15132972,7
6815,323,50008131,4
4122,637,31624498,7
5167,529,29302842,17
4378,488,93003565,13
4001,178,88424965,26
8070,293,36561008,2
2890,130,77624282,22
8705,153,73008710,30
598,67,73488751,12
2842,523,73480072,27
636,609,82495096,17
4429,675,57350169,20
1459,684,13495250,15
8034,70,38038859,30
5637,47,84423736,23
2212,14,72404249,10
5604,343,72334301,22
5944,692,72460987,20
7770,108,88439210,2
4594,516,39424705,29
8869,173,11253972,14
7880,385,54055331,20
7963,198,90495566,12
6694,84,58052578,21
9255,293,86675697,28
1997,96,82522246,22
7452,553,96630093,4
6566,269,50796252,29
138,158,46915055,10
2332,643,15418914,4
1086,477,50045673,22
4629,707,49195167,6
6985,171,28900371,11
2588,63,95713888,12
6784,449,87449577,25
1260,113,60964174,24
4545,651,82142616,1
3978,102,36697554,28
6259,474,54446249,9
4441,128,53140550,28
7376,327,28351116,16
1971,92,69047384,12
9442,101,53312998,2
852,655,65518265,20
9822,67,84088933,24
3679,202,66926692,11
1592,145,99215056,6
7824,280,27260906,24
4468,668,74389908,18
7608,484,20530304,13
3663,249,18575642,14
1190,411,41069042,27
5682,665,49401405,19
5238,128,45219592,14
6686,588,85610748,8
4284,665,34653746,16
6863,137,27395139,21
4206,65,52980289,7
3848,603,19897053,8
3471,582,63190700,1
1325,329,27015108,29
3787,145,43555693,26
562,354,33360721,16
3283,661,52980289,27
4227,390,12005494,23
886,191,58052578,23
754,600,68020023,26
5781,204,73259125,27
889,404,47335392,5
9255,252,36650609,6
6256,461,21738366,28
9591,235,31012434,23
6464,233,77782016,9
9289,263,59057529,27
7584,500,85452869,26
1528,346,52030999,17
9271,347,95615119,18
8366,399,59247859,16
4145,339,29603557,18
526,414,87335785,22
2066,576,59227331,1
3592,384,36271153,4
5996,519,70601505,18
1434,35,29655425,9
5512,505,93821511,29
9833,645,41050276,10
8075,29,92652594,26
1068,500,42096520,1
4970,586,46361372,26
8118,9,23663009,1
4233,337,11764403,9
9586,459,74432417,2
1159,515,18306938,7
101,444,77744165,23
5886,87,18223459,9
8103,322,79002878,14
5859,94,93092826,25
9042,470,25325927,30
5316,95,72004513,15
176,143,72291184,19
7824,458,47711513,19
3006,19,66179097,9
5139,119,37377957,14
7641,97,15937717,4
71,637,82942574,17
5818,533,57029774,28
5469,665,57160192,17
6456,592,44827541,22
5429,550,19564249,12
3851,547,67571162,15
4604,241,82364279,20
6571,267,38241209,16
9231,226,97633861,18
5693,525,46067388,29
6194,195,16805003,18
4511,158,78394237,2
7974,370,81525733,11
4508,364,88699062,17
2575,479,14451455,7
8050,550,30020767,12
4536,117,49965648,21
1690,425,72703668,9
4891,323,37047020,20
8649,192,72109315,30
7355,553,44210368,29
1156,529,69409252,18
1847,403,30749099,18
6931,625,26609778,22
481,259,20890232,22
6744,430,52978270,19
4432,379,87356733,22
2964,293,52750299,18
4556,32,53560040,29
4802,266,69962538,10
8112,349,12311622,1
7881,9,37918454,6
3941,259,41406751,10
3712,25,57234295,27
4652,104,70966752,16
4977,568,50128679,20
8888,241,51916139,5
9550,325,92597404,29
1829,537,81004854,21
8695,214,38376243,29
439,497,44346631,9
9656,610,43951012,8
1383,618,47247769,12
8447,615,45774563,28
2557,619,48089931,19
5161,219,86173880,16
5640,690,84543212,29
2633,440,40162530,6
3010,447,46199282,26
9789,233,54155544,22
8029,342,79284754,10
2814,226,57015263,24
6568,240,55442750,11
3015,108,63812792,17
334,270,22913506,19
6853,528,59058191,26
4224,317,21569415,15
8023,566,16465713,18
9014,540,26517958,29
8557,347,27899445,30
4751,203,94202877,27
1114,143,40845214,19
5484,505,86559326,14
3036,481,27975954,27
3170,607,29475975,22
427,690,86981864,18
2769,111,86375015,5
3004,543,56755509,7
6599,541,84361783,1
161,196,36744774,21
2776,138,38575750,17
7634,518,80485229,13
1064,691,96635908,4
2934,391,14718709,7
9177,224,92111035,1
3926,165,77070550,23
3785,554,76858550,13
362,555,81004854,5
25,415,73737118,27
1888,287,92792855,29
8204,405,12667025,7
3564,370,93674661,9
7995,364,96246100,20
2048,395,25054043,5
2426,640,25461723,22
6307,119,92031491,28
9065,453,56382792,12
6024,673,13497158,15
8335,105,59511176,29
2099,496,76960911,11
6291,505,70765586,11
5799,533,14447269,15
9339,652,18355096,19
2918,671,26776817,1
8446,193,97780424,19
3770,2,25236932,17
6871,503,41983605,15
1620,570,35369893,4
3532,398,49722702,23
2617,66,39725728,30
4186,391,64061602,10
5244,249,17878121,18
6499,97,43332389,22
4520,414,22602422,9
4352,508,26553930,7
1043,705,68254589,7
1765,261,98801286,11
2925,408,49826379,24
1860,355,42251776,26
8008,523,84719863,11
7465,105,31573963,28
9857,320,16081188,2
191,30,21097474,3
8059,569,75545861,20
2581,540,45612772,26
2094,272,75552882,20
4417,549,23181111,19
8397,29,59476416,5
3193,348,92031491,6
8538,676,41734933,20
342,117,11613584,23
7350,487,84439713,1
2944,602,63536643,26
2615,187,73384106,27
2210,561,80670948,7
1989,289,38546710,18
3577,100,69682051,18
3899,539,20521959,2
3685,370,66218315,7
2099,488,75570472,25
9637,186,27907118,4
5612,155,22039615,25
7949,541,44085691,24
696,279,60960076,15
5324,613,43197127,21
8044,176,16617133,10
4045,648,51856713,13
9191,298,73832379,26
8720,514,32041799,26
4378,57,91086438,18
8936,691,55662192,6
5760,31,87779822,14
9351,524,19922286,9
6052,38,13210882,25
7543,243,21287655,6
1173,244,48988638,2
6701,599,42840341,24
2794,698,16996935,25
1056,652,25828498,23
8694,119,91345470,8
8682,468,39960351,5
2994,168,80740701,20
2415,655,90312813,19
6492,240,43538538,18
7696,399,26800733,11
6278,149,48942670,2
3543,213,87644268,16
9981,336,16590660,18
8745,173,99080543,11
5103,370,43984498,30
9677,114,48176648,7
2531,357,71493742,5
9750,185,42848106,5
6794,222,63587917,26
6302,273,63429354,30
662,356,41329544,24
3830,430,31365608,2
2738,541,30094593,24
2484,393,18338297,27
3312,621,42114004,21
1937,147,33585629,26
5842,623,23598670,29
2089,328,77104735,4
9295,341,16708327,19
2677,25,24059429,6
9579,576,15794778,4
8411,23,57900645,3
6502,113,47702900,22
6246,519,19542760,3
6947,186,24873183,13
7568,580,72188315,2
2540,42,97177755,20
3104,393,89139962,11
3118,386,72004513,13
7641,537,49051236,7
7142,556,15562122,4
3061,6,85787361,30
4288,266,32156816,14
3107,237,53968085,7
1949,416,42231499,23
4337,215,54641950,23
8835,128,56383035,4
9525,445,92495725,17
6932,278,70365648,5
6877,507,16851812,12
9490,368,84336080,15
5958,56,78981647,6
8846,313,76867755,5
7302,92,93194012,20
9392,571,82095406,25
4652,458,30695971,1
219,86,31321575,2
2896,508,93301793,26
996,483,42142180,14
8957,197,15873394,29
4678,201,87433429,4
9777,559,15508624,16
9263,244,40610732,22
2068,321,93455318,24
8019,613,51361485,15
6446,543,16081188,15
2628,356,33023938,8
7906,313,10177889,6
7508,29,43269476,30
6227,534,91246144,26
2157,452,75685557,23
5005,267,99598378,25
7021,116,28117617,30
375,284,45219592,22
7986,401,82037812,23
8076,631,26949132,29
6094,35,70737014,8
1418,18,24323451,10
9223,174,90962591,18
7573,549,71702835,4
2414,77,50158729,6
7490,71,73807874,1
4207,198,31044513,27
3046,361,18774880,17
6156,574,78536033,12
6262,98,45703721,28
6433,561,12026684,7
6203,29,63831528,4
8224,61,97580735,20
8442,708,37387531,3
8049,379,43593200,2
3660,15,20204222,10
7442,362,71073644,13
6697,350,85052912,2
3290,225,52225539,8
811,247,86343944,15
4095,559,97330542,10
7259,418,71511873,24
9398,113,42654461,26
1018,651,21749344,3
5334,415,68833658,30
1468,129,24027108,16
9551,682,50399190,24
8897,253,69228019,28
7601,119,87614627,14
6089,185,35485192,18
6215,129,23372120,5
380,261,44603875,26
8775,324,71926853,20
3780,117,97014283,27
375,382,38481088,29
2516,289,15571248,18
6279,667,36081675,21
9702,540,30014584,20
7199,623,99493182,21
6663,434,96899446,29
1643,337,95102749,7
566,412,98928865,14
3014,375,66972073,16
745,297,71810333,1
314,488,69115350,28
5734,234,77149595,26
2571,219,66142968,16
5589,652,19967752,1
8037,525,57254276,3
2224,284,64530616,3
5024,293,44852650,12
4851,524,60112476,8
8779,156,12253672,15
998,511,15008728,11
1833,66,70025780,24
8040,305,90476662,22
2210,127,70823687,21
1315,280,68646549,3
4266,491,53406644,26
7944,513,47348913,18
1980,664,85018129,1
8559,519,22285147,17
5179,387,17950317,28
6175,501,21048693,20
758,691,23256535,13
8378,498,58311771,12
3479,113,34424836,15
4915,198,16425658,22
4436,432,40495686,7
1953,706,83634845,10
4311,586,67059894,9
2409,349,62661849,26
2580,166,56573410,5
7900,82,93312275,28
5123,25,15507313,2
9341,25,19993230,13
2561,513,42635604,14
8857,446,98086511,5
6723,533,87092289,10
3405,368,24059429,26
4486,52,41963250,9
2599,223,77273133,28
892,135,10414205,11
6298,499,52470805,19
4330,256,88405586,19
5467,232,76064331,5
6206,12,36732061,22
4053,230,69990326,25
837,213,72397161,15
8718,618,14696497,5
4512,297,36859761,30
4331,183,71635220,21
6296,225,55700144,9
6647,212,44158107,13
6082,108,48329651,2
1595,677,26051638,13
6921,693,50489799,26
9966,26,24921811,29
3893,169,76501187,10
2629,639,16240732,1
6675,288,75536039,11
9642,459,47575682,25
9937,684,28929394,10
2826,687,34543925,28
3613,622,78839190,22
5222,223,18639314,10
3008,517,13735714,28
3202,421,49999736,15
3009,667,10522670,8
6244,421,75756803,4
3592,9,41043146,20
6784,68,94953002,21
7132,132,23344832,8
2770,544,58891553,23
8494,161,69873036,30
5284,525,96139686,19
1564,484,81809974,19
9621,353,22184706,19
1346,343,71887793,4
8525,410,75799830,11
4513,264,18046884,1
3534,401,68862989,17
3668,227,47609739,18
3666,419,87957928,17
5669,85,86336189,15
413,51,49461291,3
5785,540,85673594,11
1431,628,93194012,8
8932,530,58824194,20
1484,5,69108124,19
2966,429,12283320,28
779,610,11775996,6
1272,140,27834609,23
9211,432,68664951,9
6873,405,93837170,29
5325,154,42799994,5
1922,338,81112758,22
9587,463,70207209,15
1051,247,14634123,17
9569,604,72941617,14
1036,397,26051638,28
5741,42,88679846,24
4825,350,36561008,26
5004,370,24317818,11
4785,62,72592334,9
4550,19,26735022,1
5825,373,52505762,27
1796,502,72516129,4
3606,677,73206987,3
2184,401,27397851,2
4461,241,28205250,8
5349,692,81839517,3
417,49,14180260,4
7157,403,53701745,23
4759,90,74341812,8
2927,511,99648938,1
7981,156,66154012,14
8003,482,80591463,3
7374,429,58919222,17
3971,598,13443823,29
4681,388,91823400,7
2405,4,11218024,11
1241,295,72887694,27
2673,7,17557525,22
7095,475,96545985,9
9675,107,60675857,28
9835,85,63315063,20
5181,661,87718313,17
6411,290,18713803,10
2063,208,66300301,24
1350,703,97650389,11
6363,63,36529091,24
996,305,52922524,16
7442,625,30438898,2
9860,264,50860758,29
884,472,18239591,17
2743,622,92900528,21
250,384,62173171,24
585,200,70345366,11
3219,458,18223459,25
1049,43,11536105,6
1852,574,12750403,16
7624,698,67925329,28
1601,261,41638166,6
7546,698,29508426,9
3384,606,23856020,15
5592,298,90237572,26
1983,279,26622446,7
9099,63,39033966,29
9760,95,78439090,14
9123,17,16418661,15
9987,611,75455226,12
5082,472,38502206,29
3755,11,44348345,24
7401,288,32330484,17
7015,454,19521275,6
4065,459,99626860,25
9589,706,28078846,24
4697,494,28144989,23
3120,361,34096032,2
627,70,96227946,29
3977,301,33971909,16
8368,224,63958662,19
6415,171,72962415,16
2871,542,93829089,7
3769,238,56112666,11
359,481,26833924,4
4728,147,74295106,21
1904,149,62661849,10
1670,567,77382868,29
6439,31,83444237,27
5053,500,87197153,19
3147,79,78244214,8
8144,547,61047005,27
5627,55,47869114,27
8363,626,20766564,3
65,671,23561291,4
8136,588,36159381,23
8768,159,24431875,17
3350,370,19974968,11
1871,575,10003790,10
6666,329,73966138,3
2639,14,17276556,26
1308,98,78809544,7
8444,470,58018240,2
7203,488,53382633,7
700,168,28104859,11
5258,382,65262895,4
4944,198,93752217,11
7349,338,44486431,26
7314,373,34045225,3
5389,67,25817261,22
7913,580,92142589,12
7369,599,43735755,8
601,707,37588904,29
8565,233,99604373,14
9120,28,27406605,16
5732,45,81062023,7
8325,466,65022738,29
7436,368,29290529,4
7645,21,27834609,21
1431,137,23489002,17
9743,316,75515389,4
6608,81,14451455,6
57,439,39739572,13
4586,94,15566643,20
9438,135,93699945,28
9892,543,54286301,8
3718,525,23584699,1
9253,266,99415352,25
5583,87,24854139,20
1328,608,29150643,17
7067,580,74317519,16
5106,103,87386709,20
5387,54,79037697,12
9362,508,26283035,5
6613,113,74004965,23
3478,204,25395756,4
627,99,20737491,12
6491,663,80000343,23
3613,260,45386237,17
9175,183,97958739,6
4205,666,53216923,16
8914,600,21312667,16
1690,432,80741447,9
808,140,89552553,6
6053,679,76281603,9
4343,546,84492087,19
1195,349,81004854,30
5188,286,27454555,25
4645,250,34166655,3
6270,103,88768110,22
8950,526,49401405,17
4754,88,56538436,27
7136,202,91034994,20
9876,138,90921273,30
9125,193,62015425,13
6734,162,84448573,9
8267,546,91755741,28
8363,685,10971209,13
2837,153,78759169,8
6549,247,70896032,14
3124,229,89386173,29
829,406,30743812,25
7221,89,80167274,18
1367,402,12061469,19
1195,224,57983957,21
9726,286,16675836,9
9370,579,83337550,28
6000,118,24873183,24
113,328,81107866,28
1841,670,22399329,9
6652,389,80775140,27
6362,186,85140267,26
2673,433,23663009,26
4921,155,26240975,30
2496,193,50519209,4
5784,328,16461831,19
635,543,50601865,12
7415,352,95352546,12
1415,696,69191555,4
1233,54,84022753,2
468,161,97106489,2
1384,633,57875723,12
9710,693,84094460,7
9815,516,13394788,8
6884,662,94558206,20
9113,194,99644235,18
6464,155,94754787,13
6758,435,87692210,19
8602,554,77706508,26
5064,25,11394331,9
7132,464,96773908,10
5553,671,33065910,29
9402,659,99938735,15
9078,263,58038337,28
7714,401,60810706,21
3920,374,38926583,24
8514,21,91416447,27
4964,121,65484187,19
5512,461,80336931,20
6467,548,98230043,7
6834,178,14521517,22
8333,667,22649470,25
7199,122,72833117,4
1166,655,15954574,16
9121,501,52922524,2
6807,416,17897995,20
6162,436,10916096,11
6351,392,23818080,30
5296,608,11484379,5
8454,56,52002072,20
7549,267,11007694,25
5788,175,14787633,2
2536,604,53463328,8
2826,399,97997603,12
262,447,20526397,25
7759,626,97177257,17
7185,214,11622083,10
2749,256,38299201,11
9756,453,68845609,22
2668,385,78594743,28
6291,631,24575286,6
9325,573,97286810,28
4850,501,53965339,10
4132,427,51940305,5
8652,581,24739464,22
1374,392,81225128,12
7740,46,74196190,30
9815,482,67469121,28
2198,628,15269418,30
6272,476,63697260,12
1828,229,34195078,4
5573,495,51781710,16
4218,652,25859365,7
9378,313,84448573,16
6260,197,59389708,24
2057,242,16753708,6
3535,675,96607279,6
3541,467,53719305,17
9582,477,60575568,27
60,232,11551739,27
4168,218,80352674,2
8590,174,16514233,10
405,265,30779037,8
8442,332,26022336,1
6927,436,88721565,18
8413,486,95218494,30
2140,399,92840470,20
9054,486,91671093,15
2359,362,20294994,24
4141,143,70231000,21
2348,156,95402795,19
4503,130,33998186,16
9516,57,53716367,30
8834,702,73813041,18
6040,187,89404046,22
4782,566,21368082,22
6315,191,48832305,20
5820,598,64577423,7
981,216,21796516,3
1222,685,33065910,26
4043,103,14762545,30
4342,564,26798466,16
4659,381,44173662,29
1214,333,25731744,29
6755,231,43193228,14
7070,256,93024963,6
9643,429,55421930,14
1407,166,23150110,20
899,497,30650970,2
6938,84,40939138,10
9370,666,20483982,26
8667,119,32494520,21
7389,537,13515527,8
1571,287,44131392,12
5636,211,48275065,13
8548,448,92553679,2
7987,144,63843054,11
2863,378,23037214,29
317,338,97972027,25
516,467,81290948,18
4340,647,27336957,10
3845,72,96163472,11
7059,322,87828145,12
24,448,83873742,28
8078,90,14520650,6
7715,150,70736983,13
8650,216,98864445,7
9346,89,93350980,26
9721,496,42882515,24
8429,465,66190922,18
3802,500,23629336,16
395,645,49302343,18
2731,402,15538687,20
6098,558,68167117,27
5549,320,68204936,22
2544,393,50434628,27
436,286,99315990,1
3098,396,52667445,2
3043,73,23584699,13
4084,424,96120793,13
751,445,56058061,22
3783,244,91107543,20
687,663,46347787,18
1121,255,49650798,29
6026,362,81095565,21
2744,294,12473552,26
269,676,83873742,21
5874,135,65276204,18
5733,393,87115158,10
5192,424,45407694,5
1796,593,53371883,23
8954,70,60675857,10
4064,300,77785398,3
5646,265,20347805,14
9043,571,66907760,10
4632,115,94742714,14
6997,63,27914151,11
9503,440,86339009,30
3559,157,10701112,25
5318,270,69852924,25
6562,154,33702953,6
1278,49,33541352,14
8376,590,76389309,8
2095,651,97558574,3
4058,222,38839404,14
7784,678,61796760,4
8630,467,75578196,9
4355,317,26261124,17
8153,584,69655650,30
770,541,11809462,21
4798,617,94005198,20
3975,289,33850859,30
863,616,46316331,10
3188,12,29620327,28
3773,547,18682416,8
6166,107,77455720,11
5335,462,14476308,17
8659,457,37888947,7
3327,691,82154434,8
8347,686,87004447,27
7951,203,96691903,22
4751,478,31052479,12
382,445,78835492,16
8268,442,80849411,12
2438,294,52786126,18
1105,344,30641769,26
4315,493,53022884,4
935,403,13521576,9
8760,267,66644141,6
3894,78,43389808,8
4156,403,45458636,12
696,249,64905784,25
6716,654,98263226,25
3490,322,70736983,7
4661,117,71613924,21
7536,404,28564257,19
8811,476,25475983,8
3728,496,49450478,6
5670,260,37106039,29
8941,607,35952114,12
6765,540,62367906,12
9740,574,64854745,20
579,607,21985921,30
4797,531,30674617,14
7754,8,94741719,14
6315,99,86594532,16
9345,210,81859114,26
329,13,33810728,14
6726,363,42142180,4
3606,561,89997729,10
6366,102,90217150,29
7098,7,44210368,19
5770,564,97410648,17
9903,102,38052284,12
4176,63,21237603,7
7143,361,78882121,10
2710,678,26075093,3
342,586,85342628,19
9301,466,99882165,4
1356,260,39682144,26
3440,41,55021385,13
2085,96,42077538,21
4374,481,43981491,12
9641,107,88759659,30
147,397,49437739,24
3622,274,39744822,22
1829,501,16894346,29
538,220,11571830,19
6347,208,45665385,29
229,541,92518396,9
8389,312,64487057,26
9298,214,92318183,16
2144,630,23856553,29
8054,503,87166750,20
7163,417,29398289,29
116,470,73401454,19
3914,17,34697728,2
6451,627,22140757,20
6759,337,46375314,17
924,353,59227331,17
9743,221,26271953,28
214,580,55982434,13
5704,324,80713128,30
2490,160,35148292,17
9764,492,16240732,17
517,203,93039616,13
1858,19,81090558,17
