household_key,BASKET_ID,DAY,PRODUCT_ID,QUANTITY,SALES_VALUE,STORE_ID,RETAIL_DISC,TRANS_TIME,WEEK_NO,COUPON_DISC,COUPON_MATCH_DISC
6797,81804460,604,868444,3,140.52,102,0.57,1796,69,0.47,0.93
601,56888025,333,474765,1,41.08,126,0.55,1827,94,0.88,0.35
7806,77891002,491,428443,10,451.6,114,1.51,1176,81,1.84,0.67
7081,42950445,71,944604,7,69.72,140,2.77,603,40,1.53,0.1
5285,42557340,212,941712,3,107.58,231,0.53,2087,87,1.23,0.51
5661,77411496,563,944682,10,341.0,241,2.45,1306,18,0.12,0.07
5352,46772930,64,178267,4,123.48,292,3.77,2047,5,1.63,0.76
9153,61705539,3,553549,10,192.0,157,1.09,1460,98,0.9,0.96
4482,29177344,364,527117,7,267.75,223,0.9,1325,70,1.25,0.69
3346,99731622,152,587624,10,259.3,57,3.4,1419,3,0.53,0.32
1619,77012135,629,696019,3,56.1,328,1.37,1779,16,1.99,0.89
6301,57798665,432,952712,6,110.88,321,1.77,1319,91,1.72,0.17
3123,75723595,40,156094,7,308.42,500,2.24,1875,1,0.47,0.43
7358,80724214,663,707259,3,4.65,370,0.9,1231,1,1.95,0.72
8069,28905437,445,983699,3,128.1,481,2.35,1380,38,1.52,0.28
5516,43317572,554,654718,9,44.1,212,4.05,1758,101,1.04,0.58
8803,23538271,289,552303,1,20.98,478,0.3,1792,65,0.97,0.08
5741,50447643,424,312085,8,81.68,477,0.95,658,11,0.28,0.44
9217,21591186,706,556122,4,124.0,243,4.54,2026,14,0.05,0.3
5747,53043798,215,593394,2,27.8,147,4.04,676,89,1.38,0.7
453,89745828,266,368565,3,6.51,323,4.47,1417,1,0.6,0.74
685,21036657,272,134415,6,140.7,41,1.6,1692,14,1.66,0.37
6801,25233709,423,667785,8,249.84,494,0.57,1015,34,0.27,0.86
2626,27959980,104,415997,8,60.16,197,2.32,2114,77,0.22,0.18
7525,29030970,231,108930,10,188.5,240,0.17,794,28,0.95,0.9
6108,39114367,530,453250,7,324.94,59,1.31,1837,73,0.58,0.06
6637,65608106,222,641421,9,46.89,57,3.11,979,65,0.98,0.91
8654,27281100,213,877962,2,95.32,200,3.38,1040,46,0.15,0.46
9640,41630001,302,477785,1,23.64,190,4.96,1698,11,0.73,0.9
1679,59368784,217,152637,5,24.4,79,0.36,619,58,1.87,0.67
8666,89735073,668,270564,9,15.03,183,2.38,982,60,0.12,0.39
7781,69828877,280,887390,7,98.77,416,2.08,677,7,0.55,0.88
862,97546083,470,892657,1,22.46,435,4.62,1492,59,0.1,0.44
2595,36202978,323,274212,2,63.8,122,3.03,1359,96,1.52,0.88
1429,33428042,577,467945,10,336.1,353,4.2,2050,100,1.76,0.48
4780,19677359,115,156553,5,211.6,399,2.04,2082,41,0.09,0.64
9848,44579960,620,816609,4,65.28,400,2.04,2034,21,1.73,0.37
6840,54210928,223,717254,3,12.72,86,1.45,774,69,0.18,0.72
3335,45517799,604,190443,10,245.0,390,1.36,1385,98,2.0,0.59
2761,23365612,461,442283,10,333.6,264,2.14,1236,5,1.23,0.58
9568,71647406,57,594250,4,120.72,250,1.61,786,77,0.0,0.14
1102,20683735,542,509716,3,135.54,319,0.55,1215,62,0.73,0.86
1597,63117222,444,404156,10,461.7,422,4.35,1927,88,0.91,0.82
7742,69233086,527,121216,4,175.68,449,1.91,1158,94,0.67,0.1
9642,54284304,117,471551,1,24.77,497,3.47,1117,81,1.61,0.51
8513,29561150,503,885466,7,4.62,30,3.13,1924,42,0.79,0.39
4271,55992960,219,782217,10,197.9,347,2.78,1412,62,1.6,0.24
3446,82960289,542,777879,1,26.6,391,3.32,1477,70,1.89,0.49
1040,17214604,455,953869,2,51.08,177,1.43,1637,53,1.07,0.62
6713,59185570,321,182911,1,33.18,448,0.92,1788,6,0.0,0.23
2375,41630001,224,695778,10,71.4,305,3.46,1354,96,0.52,0.87
3913,76959626,124,355683,3,149.31,56,0.6,1489,55,1.1,0.82
8314,57798795,147,881604,10,233.9,185,2.84,1422,20,1.37,0.74
8983,75410757,639,254727,6,18.18,168,0.33,759,79,1.47,0.94
5160,89553730,567,341534,10,123.1,360,3.8,1979,91,0.96,0.63
5649,16224609,485,187876,9,299.61,211,2.21,1607,60,0.82,0.04
4545,98738798,562,684984,2,46.94,396,2.15,2148,49,0.15,0.27
7774,61214839,562,230594,2,55.28,405,2.19,1852,25,0.83,0.54
8964,39260096,662,134886,7,152.46,496,4.26,1578,39,0.02,0.24
9803,43769112,405,977723,9,59.4,432,3.81,1724,28,1.79,0.02
5301,47122065,385,567768,6,67.38,363,0.7,1272,18,1.65,0.53
4588,37000504,576,714555,4,35.52,254,0.31,697,84,0.88,0.74
2077,25472665,511,667348,5,126.6,92,0.17,1883,44,0.65,0.81
29,26017532,279,205453,3,112.62,22,4.78,1529,102,1.96,0.14
7135,91412794,47,447519,2,55.94,166,3.28,1215,35,0.45,0.06
4680,80430871,366,340452,7,80.92,24,1.58,652,23,1.63,0.78
3322,17644038,413,992319,4,139.76,139,2.96,1794,96,1.84,0.85
6370,20855745,599,694687,8,304.56,433,2.52,1402,74,1.89,0.95
4,60577450,324,979482,1,15.33,490,0.46,1286,7,0.19,0.75
1825,82887875,379,926956,4,181.36,8,0.91,1195,17,0.03,0.49
3649,87357230,534,947594,5,82.45,280,4.86,1672,56,0.98,0.76
9885,23071952,394,734396,3,13.98,115,1.61,2124,29,1.71,0.64
859,71080359,127,564881,3,24.75,49,4.06,870,71,0.98,0.16
3955,41242987,174,624187,10,287.0,409,2.66,1870,47,0.8,0.58
1092,73849055,126,970150,7,199.57,263,3.75,1816,17,1.49,0.04
6922,36279460,630,666544,7,90.44,37,3.62,1805,77,0.18,0.27
4033,47453621,483,744926,9,341.37,449,1.18,1257,49,0.14,0.14
4602,68733654,462,107948,3,115.77,315,4.96,827,98,0.63,0.42
9720,13824912,569,475636,4,61.56,499,2.24,1187,71,0.1,0.17
8637,30915689,158,901690,2,60.74,334,0.64,1392,9,0.99,0.27
970,21647538,423,906875,5,77.65,430,1.26,1685,34,1.06,0.82
7875,33815380,356,677959,8,28.8,360,1.55,1646,26,0.53,0.92
7947,24247935,418,149109,10,146.3,438,1.57,1483,25,1.8,0.7
7509,89569220,172,397898,2,26.12,316,2.36,1057,23,0.59,0.6
5956,30168410,85,465672,5,180.95,54,3.0,1917,18,1.7,0.59
9329,25303450,248,332342,1,45.72,325,3.0,1086,82,0.17,0.1
3939,85819336,657,119637,4,38.32,46,1.02,1177,51,1.52,0.31
8195,34213623,439,744926,2,53.18,69,2.25,1532,86,0.85,0.4
652,90972124,509,589259,4,98.2,385,0.6,1050,46,1.84,0.68
9553,39928988,645,616078,7,21.91,382,1.15,1826,24,1.12,1.0
1819,13359701,542,436306,3,134.19,149,1.31,2013,38,0.15,0.45
5550,82178215,695,412971,3,148.23,12,4.86,1740,22,1.52,0.82
2364,96781265,681,302189,3,82.38,171,2.21,1176,66,0.85,0.03
9701,19153597,224,571649,5,44.5,166,4.59,1293,4,1.1,0.21
5054,36073877,315,300707,5,206.1,335,3.26,719,94,1.74,0.77
4231,76909898,155,354629,1,0.74,138,4.61,1776,80,1.43,0.89
3182,84728457,589,648045,9,151.11,116,1.99,1921,69,0.87,0.66
5446,15648418,21,390792,2,89.7,350,1.04,1956,6,0.23,0.56
640,48809259,621,545404,1,24.17,369,0.32,1951,30,1.72,0.65
7107,73499884,22,226013,5,26.8,490,2.05,2093,58,0.79,0.5
3380,92696316,688,513567,8,75.2,255,2.41,797,102,1.67,0.81
8912,20158481,135,445876,3,16.92,471,0.51,918,53,0.56,0.38
1560,30459006,422,149602,1,1.26,223,3.21,1390,3,1.59,0.84
3338,26139898,97,522229,3,72.9,68,1.86,1515,87,0.96,0.57
2458,47953560,509,656475,2,62.68,139,0.05,1267,87,1.84,0.69
6238,33668868,324,404916,2,31.96,243,0.49,1360,22,0.99,0.75
1961,27875908,23,823756,9,306.36,196,3.26,1694,77,0.47,0.2
466,21814284,605,423983,6,69.66,136,2.42,1500,71,1.96,0.66
3573,99798122,320,540007,8,266.32,338,2.69,693,5,0.46,0.99
3540,17885719,294,342566,3,4.32,237,2.82,685,1,0.8,0.31
4732,90382924,2,232185,6,79.62,357,1.8,657,29,0.9,0.02
4845,78134666,155,329817,8,166.96,152,2.76,720,4,0.74,0.73
8103,60028804,260,602322,5,186.35,300,4.03,2149,56,0.99,0.53
3362,21814284,672,826591,3,55.65,365,2.42,1122,72,1.64,0.65
2889,70462900,460,773339,9,298.8,236,0.59,1951,21,0.01,0.44
1098,78878536,464,866498,10,418.4,12,4.71,1194,1,0.27,0.1
2012,90724184,131,102717,5,147.35,467,2.33,1619,51,0.19,0.23
5019,77079179,694,354737,6,181.26,12,4.32,1557,91,0.28,0.68
2885,59939531,338,587337,9,257.94,249,3.85,607,49,1.38,0.3
1867,69615598,647,461429,4,178.64,123,0.52,973,43,1.26,0.21
426,63567453,34,223861,3,131.04,66,3.32,758,8,0.81,0.75
9857,21146593,427,244981,6,204.78,107,2.03,2114,18,0.76,0.86
4847,32995451,454,297897,8,358.48,365,4.36,1581,2,1.66,0.18
7473,96781265,689,700493,4,195.12,260,1.96,1706,78,0.24,0.52
629,11536764,168,606146,10,459.4,318,4.78,1616,69,0.33,0.42
3381,71031190,608,723161,10,187.2,436,2.22,1583,96,1.97,0.37
7858,30228581,593,656691,9,369.0,393,3.96,634,102,0.83,0.63
1335,80008260,324,248103,9,238.86,284,0.3,683,90,0.14,0.1
2340,93760514,356,785765,10,478.0,168,2.25,1402,51,0.1,0.93
8663,52061992,474,256713,9,363.69,190,0.1,1238,74,0.43,0.76
7698,61368710,475,568959,10,382.9,25,3.51,1111,8,1.01,0.14
8953,97941106,604,572618,5,77.95,482,3.45,1553,60,1.01,0.07
5828,28343480,201,295218,1,0.72,4,2.81,1403,20,1.15,0.69
2187,18160263,652,459480,7,128.73,432,0.65,1839,51,0.21,0.45
9991,46581521,278,497872,6,163.98,112,1.95,1507,96,1.36,0.33
1344,86054648,534,975280,5,78.65,434,1.91,1322,75,1.41,0.98
347,34213623,76,461767,1,4.6,156,0.61,1395,92,0.28,0.36
9655,59204766,181,572298,3,111.45,187,3.19,852,32,0.42,0.15
739,42835397,131,684811,3,37.2,262,2.84,1435,33,1.28,0.07
4273,15515668,224,823336,7,114.87,91,1.48,1974,5,0.37,0.23
346,49836114,483,556416,9,48.33,73,2.31,1528,72,0.86,0.9
2215,38327844,73,515603,8,253.52,338,1.83,902,84,0.7,0.04
3572,74448761,190,636461,10,83.3,21,2.87,2090,67,1.76,0.04
8181,98131045,661,819249,3,132.87,25,0.84,2028,49,0.99,0.18
3292,72274056,625,568387,7,313.25,434,4.17,700,57,0.76,0.14
67,38014904,350,245992,5,4.75,344,4.57,1288,20,0.4,0.27
861,12133178,706,109075,7,314.09,300,4.54,1516,81,0.13,0.19
6417,98537859,149,192703,6,186.96,81,2.91,1192,15,1.84,0.71
9893,53512753,617,934089,9,66.42,364,3.73,634,76,1.81,0.64
2061,54105606,320,825776,3,34.47,116,4.82,627,102,1.86,0.43
4301,19152991,328,547196,1,28.81,292,4.1,1887,63,1.18,0.3
8223,61718728,541,120541,2,92.4,105,1.6,980,26,1.31,0.31
5595,44937196,44,762139,2,95.7,219,4.01,1418,44,1.58,0.84
1670,37538734,166,150953,2,83.0,21,4.73,808,58,1.51,0.89
6766,78287886,48,300676,4,129.88,496,0.6,1068,39,0.79,0.8
1212,38627568,164,312773,4,174.84,61,3.21,759,50,1.32,0.87
5606,30127413,659,445422,4,23.24,365,0.7,2094,83,1.79,0.92
6147,78878536,490,907355,2,52.8,5,1.22,797,50,1.1,0.18
281,13878888,547,505792,2,80.0,98,4.97,991,56,0.82,0.2
1338,22715147,696,268188,6,275.7,254,3.24,775,53,1.46,0.83
5023,21080521,186,304774,1,12.28,130,0.42,1450,13,0.86,0.76
2425,26351094,491,843839,1,10.16,29,1.3,922,75,1.57,0.28
1711,91052401,104,468282,7,203.07,334,0.83,2051,50,0.48,0.61
3973,51403927,314,940623,2,69.3,439,3.67,1492,53,1.88,0.03
5923,47267497,564,128098,9,426.33,219,1.51,978,67,1.38,0.93
8821,59432103,361,491925,3,13.38,105,3.56,1421,51,1.46,0.81
1950,95772043,78,862953,4,157.0,335,4.87,1470,92,0.3,0.32
1580,88754509,515,944130,2,80.46,24,1.4,1943,27,0.63,0.57
3031,96283280,470,448617,4,130.72,195,4.77,665,13,1.5,0.83
3797,92134098,681,309553,8,322.64,416,1.94,1768,76,1.58,0.8
8379,94540098,594,118444,7,232.19,116,0.63,1100,49,0.54,0.68
9284,33973761,299,262955,1,9.63,274,4.32,2097,83,0.94,0.69
8645,45178465,310,636026,9,192.15,274,4.9,2080,98,1.37,0.75
3291,39351962,426,462029,6,231.42,56,2.76,837,89,0.96,0.45
5779,36537640,116,878232,2,28.04,47,3.82,2126,2,1.42,0.26
2741,88870275,243,198005,1,8.14,242,1.89,1147,67,0.05,0.27
7502,47233052,507,783185,2,71.54,174,0.28,1680,101,0.41,0.28
3030,49266717,204,378112,6,36.24,163,0.68,1781,82,0.27,0.37
2303,49224798,288,698055,10,316.6,291,1.48,1120,13,0.06,0.92
9748,34849164,295,893510,4,162.56,218,3.83,2031,94,0.9,0.33
8974,12779740,309,499028,7,319.62,101,0.71,1952,16,1.39,0.03
1203,38327844,314,429477,6,5.46,5,0.02,1931,12,0.27,0.66
3198,52143922,465,371045,5,171.45,98,1.31,1194,3,1.6,0.28
8635,62222578,26,145734,6,133.44,71,1.59,806,22,1.24,0.98
7838,76381115,160,317925,7,98.56,305,0.92,2117,26,0.36,0.02
4426,59865391,78,650536,1,35.01,235,4.45,2002,97,0.41,0.67
889,47600517,64,895566,2,63.26,48,3.02,1819,39,0.52,0.74
6915,10928154,382,340251,1,40.78,403,4.03,1152,71,1.7,0.95
1880,85520902,76,638705,7,291.48,447,1.27,1192,85,0.33,0.06
7642,75136971,370,782217,2,19.04,189,2.18,1929,53,0.97,0.29
2915,32323107,505,324652,1,38.78,51,1.23,1184,100,1.91,0.54
6088,97678094,4,412793,4,30.6,133,4.87,926,82,0.65,0.06
7366,32288911,79,625917,6,149.94,433,1.62,1866,87,1.75,0.16
5472,33964494,296,796523,2,4.08,363,1.98,1077,40,1.47,0.71
861,11970148,531,370212,2,51.3,305,4.24,703,74,1.4,0.45
8472,52673550,410,398766,6,181.08,499,3.64,617,79,1.73,0.91
6560,67549156,365,966893,1,21.01,212,0.65,1443,55,1.63,0.13
5949,63123760,24,170079,5,150.35,496,4.37,1321,85,1.74,0.43
3777,90780707,617,498997,10,453.3,15,2.14,839,47,1.81,0.93
2669,90384374,105,216036,5,234.25,432,3.85,1804,30,0.8,0.01
9149,33857901,59,791351,3,51.51,258,1.54,717,47,0.25,0.77
1354,67748340,174,911680,1,5.51,270,3.29,1110,48,1.0,0.95
4863,66735802,119,290189,1,34.1,152,0.7,1008,99,1.72,0.39
9794,71438064,202,257871,1,45.37,291,3.46,1011,46,0.51,0.32
3859,46831580,327,254347,3,80.64,489,3.7,1883,50,0.49,0.13
4094,56517197,624,667501,3,94.26,180,3.37,826,102,0.8,0.37
6278,81689769,571,427857,10,316.6,357,3.11,701,79,0.47,0.71
7495,99498156,505,800063,3,133.14,20,4.46,702,46,1.47,0.94
1610,54238798,77,977967,9,27.45,329,1.47,1378,43,1.59,0.77
9976,15434311,663,586531,6,74.58,452,4.45,2006,8,0.18,0.07
7422,45927050,183,531015,9,378.36,144,1.36,810,5,1.94,0.86
1699,15791829,415,723161,6,239.76,57,4.71,1316,21,0.31,0.15
1741,13091164,163,450127,4,65.48,105,0.93,1261,27,1.06,0.37
8334,85390183,35,442039,5,84.3,1,1.47,797,47,1.13,0.64
8484,30717333,366,334078,7,55.65,16,2.71,1533,28,1.48,0.53
1892,35144751,421,720141,3,72.27,97,2.4,1884,43,1.52,0.63
3736,35772492,46,725731,1,7.79,273,1.24,2016,41,1.35,0.01
7371,39858578,193,823971,10,166.6,439,0.9,740,90,0.01,0.74
7161,54794105,285,725587,10,282.2,499,2.04,920,70,0.56,0.73
3494,54210928,543,211966,10,273.3,156,2.64,1843,69,0.41,0.53
6153,36726650,359,574346,9,323.46,126,1.18,1770,31,1.63,0.97
4436,15648418,227,127522,3,103.05,386,2.58,2147,8,1.25,0.3
246,95280531,76,183372,4,6.72,88,0.63,926,34,1.66,0.14
1860,44200090,37,196185,2,35.26,193,0.47,1952,3,1.47,0.39
4246,99200580,230,312652,5,47.95,68,0.12,1921,78,0.83,0.45
6529,89395585,482,398644,7,59.85,441,2.39,2019,57,1.41,0.75
6213,66347786,82,536137,2,71.74,340,1.43,1193,77,0.19,0.12
5431,57740174,499,804768,1,44.61,327,4.48,1677,47,0.1,0.31
5415,44076350,520,729846,5,100.4,340,2.45,1269,43,0.12,0.35
9381,13538132,89,425711,7,107.87,2,2.15,1898,62,0.13,0.89
8771,21474017,681,801530,3,82.86,206,4.26,1728,62,1.71,0.6
8606,31393407,138,601696,10,459.8,47,1.71,1495,80,0.19,0.6
3429,79553978,147,553819,7,185.01,367,0.1,1517,89,0.95,0.03
364,77597285,605,430027,1,17.72,378,0.36,919,100,0.49,0.18
8825,87237713,122,345339,7,226.87,396,3.34,1277,44,0.55,0.52
9285,51763505,396,373916,5,219.85,441,4.04,1695,56,1.76,0.58
8426,37876720,112,774619,8,355.36,290,1.08,834,93,1.91,0.99
2504,95450100,657,921578,6,222.72,45,1.45,1358,31,0.91,0.66
6975,78315070,234,596654,9,96.75,392,2.13,1020,19,1.93,0.13
2614,70790644,569,722508,7,105.7,124,1.09,1415,32,0.89,0.21
6693,10018346,705,815306,1,19.48,186,2.49,1772,59,0.21,0.12
6610,27879383,541,181861,10,55.2,341,2.86,2057,95,0.64,0.37
1108,74110516,570,754347,4,51.24,107,0.57,952,40,1.72,0.1
3219,78918999,236,424087,1,38.73,97,4.35,1060,54,0.37,0.14
490,90538255,401,871409,5,92.05,84,1.68,2005,50,1.74,0.54
3969,91178306,380,425541,10,299.1,35,1.19,1895,61,0.32,0.69
4348,27714968,455,795597,2,24.62,221,1.86,629,85,0.09,0.5
711,43794460,402,704381,7,246.96,424,3.82,1438,81,1.26,0.75
2189,43120692,491,809262,9,56.07,467,0.33,1500,53,0.47,0.88
6685,69335832,658,483348,9,66.87,499,1.94,745,13,0.97,0.22
4455,30127413,42,361714,7,267.61,189,4.37,1357,86,1.41,0.05
9676,28362018,523,275195,3,110.13,57,3.99,1525,68,1.02,0.78
2819,31605425,210,689662,2,23.3,276,0.47,1188,16,1.74,0.6
3320,99152498,605,144898,8,362.0,85,3.81,2087,85,0.3,0.89
6875,65741601,406,371311,7,262.64,65,3.94,975,27,1.46,0.76
3492,68893511,169,772025,9,362.7,454,4.25,1529,61,0.65,0.63
5671,67561154,344,818614,4,188.36,413,2.56,733,11,0.81,0.89
57,57775957,564,706479,4,15.16,83,3.49,2200,84,1.7,0.49
93,63883724,349,764652,3,79.62,396,0.87,875,97,1.88,0.41
1821,99566642,367,471805,2,81.62,25,2.7,2092,46,1.19,0.71
1949,24775293,293,427013,5,79.0,233,0.43,1233,93,0.25,0.58
5594,67770192,184,805579,2,15.14,109,1.48,1605,86,1.64,0.18
4784,98117803,173,210087,5,105.25,140,4.87,1084,8,1.38,0.84
1866,86037041,504,657178,10,393.1,484,2.77,1478,98,0.43,0.01
3727,55914283,184,460156,10,257.6,458,4.18,1071,4,1.48,0.02
758,66212366,322,582080,1,40.0,152,0.56,1059,61,0.68,0.66
922,51369868,470,171985,4,110.76,336,4.24,749,69,1.46,0.21
2805,94997625,601,437799,3,46.53,343,0.75,1247,7,1.25,0.64
5285,81992838,571,973819,5,174.05,217,3.29,1338,53,1.91,0.92
8676,97777087,386,245166,7,141.61,260,4.01,1669,40,0.62,0.48
2808,13938978,414,108930,10,442.1,274,2.22,1559,46,0.05,0.87
2701,41630001,407,378387,6,238.68,142,3.45,680,89,1.22,0.85
4164,19288271,170,761039,7,270.76,372,3.72,1650,97,1.97,0.4
8521,30795705,514,106972,6,28.08,137,0.82,1549,72,1.33,0.25
8355,20317503,184,501257,5,176.4,407,0.6,1163,87,0.49,0.42
9848,97546083,506,838298,7,307.3,394,4.17,1191,10,1.58,0.07
