DESCRIPTION,household_key,CAMPAIGN
T00015,7508,15
T00029,4213,29
T00011,5206,11
T00027,8645,27
T00010,9168,10
T00024,9637,24
T00004,1347,4
T00014,6208,14
T00004,7924,4
T00008,4513,8
T00023,8075,23
T00010,2920,10
T00006,1208,6
T00019,9865,19
T00003,4728,3
T00007,1608,7
T00012,18,12
T00022,9351,22
T00015,755,15
T00016,1767,16
T00021,735,21
T00005,647,5
T00025,2560,25
T00021,3556,21
T00010,9949,10
T00006,5967,6
T00002,6598,2
T00003,8993,3
T00008,293,8
T00008,8354,8
T00014,2848,14
T00018,9528,18
T00018,1948,18
T00028,9197,28
T00020,9992,20
T00020,3791,20
T00006,8919,6
T00030,4206,30
T00028,700,28
T00027,901,27
T00027,7587,27
T00017,2274,17
T00014,9938,14
T00007,1224,7
T00022,3551,22
T00006,4232,6
T00026,1714,26
T00030,9658,30
T00026,1598,26
T00002,848,2
T00022,2905,22
T00005,5654,5
T00019,1594,19
T00014,3680,14
T00007,4261,7
T00011,3457,11
T00024,4891,24
T00006,1807,6
T00001,6127,1
T00012,8875,12
T00023,9840,23
T00028,1779,28
T00003,8719,3
T00008,2005,8
T00002,3727,2
T00002,5847,2
T00005,7413,5
T00001,3317,1
T00009,4190,9
T00024,1146,24
T00018,4485,18
T00010,929,10
T00023,4924,23
T00007,8361,7
T00023,120,23
T00016,5813,16
T00012,4477,12
T00024,589,24
T00011,5931,11
T00022,5215,22
T00018,6150,18
T00027,4988,27
T00009,5184,9
T00005,6566,5
T00010,6415,10
T00012,398,12
T00016,2697,16
T00025,3389,25
T00003,4091,3
T00029,4467,29
T00004,1610,4
T00021,7130,21
T00005,9211,5
T00017,4882,17
T00009,8816,9
T00008,6083,8
T00028,8010,28
T00025,5505,25
T00008,1080,8
T00010,9067,10
T00025,74,25
T00017,1607,17
T00002,2623,2
T00026,6575,26
T00005,3831,5
T00021,3772,21
T00007,2323,7
T00020,6691,20
T00003,9721,3
T00024,3990,24
T00030,334,30
T00001,2160,1
T00002,7302,2
T00020,144,20
T00013,4808,13
T00015,3395,15
T00028,9899,28
T00024,5219,24
T00023,8666,23
T00002,384,2
T00024,8916,24
T00024,1620,24
T00024,7780,24
T00009,5000,9
T00003,1484,3
T00015,682,15
T00025,7647,25
T00006,3951,6
T00029,387,29
T00023,8880,23
T00026,9769,26
T00010,6602,10
T00013,7158,13
T00006,8412,6
T00003,9623,3
T00027,9732,27
T00015,8379,15
T00017,3097,17
T00012,8356,12
T00021,4497,21
T00007,4514,7
T00021,1523,21
T00016,7096,16
T00025,5627,25
T00002,4022,2
T00014,257,14
T00006,9830,6
T00003,9888,3
T00007,350,7
T00012,1983,12
T00005,7629,5
T00003,9858,3
T00017,1275,17
T00002,9591,2
T00025,8441,25
T00025,4300,25
T00026,4335,26
T00026,6672,26
T00011,2214,11
T00010,8658,10
T00018,2164,18
T00014,5805,14
T00005,3285,5
T00009,3501,9
T00002,5022,2
T00002,6308,2
T00028,3593,28
T00005,5698,5
T00024,2373,24
T00019,6073,19
T00013,9709,13
T00030,1408,30
T00001,3210,1
T00012,2618,12
T00010,1681,10
T00012,4643,12
T00010,7432,10
T00020,9416,20
T00011,8529,11
T00003,8893,3
T00011,101,11
T00004,2681,4
T00001,8599,1
T00007,8432,7
T00019,2804,19
T00004,1119,4
T00014,3199,14
T00009,8105,9
T00001,1937,1
T00028,6534,28
T00025,5975,25
T00009,1972,9
T00017,3906,17
T00022,8435,22
T00009,2168,9
T00020,3468,20
T00021,6850,21
T00026,3491,26
T00004,7772,4
T00022,6664,22
T00021,1442,21
T00019,7795,19
T00007,174,7
T00004,4994,4
T00021,1152,21
T00004,1565,4
T00030,743,30
T00027,4828,27
T00022,9745,22
T00017,9382,17
T00020,116,20
T00022,5410,22
T00014,7748,14
T00020,8985,20
T00011,8264,11
T00029,6735,29
T00009,9921,9
T00002,8162,2
T00020,6397,20
T00004,8802,4
T00010,858,10
T00009,3047,9
T00021,1626,21
T00027,1511,27
T00014,3439,14
T00007,4482,7
T00022,963,22
T00004,7064,4
T00013,4065,13
T00007,1577,7
T00008,9810,8
T00007,3609,7
T00025,7777,25
T00007,6589,7
T00003,8116,3
T00019,8951,19
T00010,4293,10
T00021,8731,21
T00019,9891,19
T00030,8242,30
T00026,3323,26
T00012,8886,12
T00029,8019,29
T00010,4402,10
T00017,5572,17
T00007,1979,7
T00028,2274,28
T00009,1034,9
T00016,6132,16
T00020,1756,20
T00026,6847,26
T00010,9195,10
T00028,9993,28
T00027,7590,27
T00021,394,21
T00010,7085,10
T00023,4983,23
T00024,303,24
T00027,883,27
T00004,4517,4
T00029,9662,29
T00003,3271,3
T00008,7993,8
T00002,9310,2
T00021,4393,21
T00015,2717,15
T00013,2284,13
T00004,6350,4
T00027,3870,27
T00003,5541,3
T00015,7567,15
T00025,6901,25
T00003,5770,3
T00015,4723,15
T00028,3642,28
T00012,5364,12
T00021,1770,21
T00008,6253,8
T00009,9811,9
T00008,270,8
T00004,6295,4
T00026,4626,26
T00024,6089,24
T00029,2299,29
T00019,7044,19
T00015,2668,15
T00010,3882,10
T00010,8035,10
T00028,516,28
T00003,5072,3
T00020,2810,20
T00015,9390,15
T00004,825,4
T00026,2668,26
T00024,6166,24
T00020,8182,20
T00026,5099,26
T00029,2417,29
T00017,378,17
T00013,6510,13
T00019,536,19
T00009,6746,9
T00008,7107,8
T00010,3401,10
T00002,4222,2
T00009,7659,9
T00025,9967,25
T00014,8163,14
T00030,7484,30
T00021,1540,21
T00029,5177,29
T00015,6321,15
T00002,6681,2
T00016,101,16
T00001,1485,1
T00006,9008,6
T00001,358,1
T00005,4910,5
T00007,1133,7
T00028,9114,28
T00027,1370,27
T00002,250,2
T00020,8295,20
T00006,5978,6
T00023,3546,23
T00007,5120,7
T00008,6554,8
T00011,4692,11
T00015,201,15
T00006,9212,6
T00004,6659,4
T00006,3835,6
T00013,5434,13
T00027,9309,27
T00024,5467,24
T00014,7572,14
T00023,9393,23
T00028,7838,28
T00003,4565,3
T00023,7136,23
T00017,6086,17
T00015,4398,15
T00026,9456,26
T00010,5522,10
T00006,8493,6
T00018,2599,18
T00011,778,11
T00029,8933,29
T00025,3618,25
T00028,3334,28
T00021,6509,21
T00015,8488,15
T00002,9293,2
T00005,2709,5
T00028,7628,28
T00029,3140,29
T00012,5645,12
T00018,7443,18
T00019,7713,19
T00015,2398,15
T00030,8442,30
T00027,8248,27
T00015,2468,15
T00011,6745,11
T00019,3098,19
T00026,7878,26
T00010,6778,10
T00018,6190,18
T00008,9501,8
T00028,8235,28
T00009,593,9
T00012,5175,12
T00007,7969,7
T00006,8254,6
T00012,8625,12
T00007,9311,7
T00008,1210,8
T00030,3515,30
T00010,11,10
T00008,6527,8
T00002,7761,2
T00022,3269,22
T00021,7975,21
T00015,1297,15
T00011,784,11
T00013,1204,13
T00008,8659,8
T00002,6280,2
T00030,4426,30
T00020,732,20
T00002,2995,2
T00017,8588,17
T00021,17,21
T00016,3235,16
T00007,8866,7
T00008,857,8
T00010,794,10
T00010,8075,10
T00020,4977,20
T00024,1447,24
T00014,1818,14
T00005,3719,5
T00014,6092,14
T00006,8842,6
T00020,3245,20
T00025,3182,25
T00008,5342,8
T00016,5227,16
T00024,7346,24
T00030,4181,30
T00029,4806,29
T00012,8839,12
T00006,5771,6
T00021,7426,21
T00029,4395,29
T00006,3659,6
T00016,7400,16
T00006,503,6
T00009,3844,9
T00019,3568,19
T00009,5403,9
T00007,262,7
T00008,6059,8
T00004,9470,4
T00009,6400,9
T00030,8803,30
T00016,8582,16
T00029,7587,29
T00023,1854,23
T00008,5739,8
T00030,468,30
T00008,8553,8
T00012,4389,12
T00007,3211,7
T00014,6443,14
T00012,8469,12
T00021,1180,21
T00020,4033,20
T00006,20,6
T00020,6385,20
T00014,7438,14
T00029,2958,29
T00004,6962,4
T00006,5121,6
T00022,7041,22
T00018,5575,18
T00015,8802,15
T00018,4220,18
T00007,4893,7
T00015,5385,15
T00018,5791,18
T00001,8982,1
T00029,801,29
T00017,7030,17
T00003,634,3
T00011,7647,11
T00005,6808,5
T00021,5353,21
T00027,2386,27
T00017,4202,17
T00013,1306,13
T00011,9550,11
T00013,5256,13
T00010,3732,10
T00019,1967,19
T00024,342,24
T00012,1346,12
T00001,7026,1
T00012,6825,12
T00028,8464,28
T00018,6206,18
T00030,7199,30
T00008,8550,8
T00029,2264,29
T00006,6331,6
T00011,5838,11
T00030,9251,30
T00020,9977,20
T00029,3450,29
T00007,1732,7
T00027,2185,27
T00020,4033,20
T00004,5827,4
T00006,4009,6
T00030,147,30
T00022,355,22
T00011,1375,11
T00014,6724,14
T00021,5801,21
T00005,3418,5
T00030,4853,30
T00026,3819,26
T00003,9340,3
T00009,6179,9
T00011,7458,11
T00010,8471,10
T00003,6873,3
T00027,4771,27
T00022,8326,22
T00010,6474,10
T00030,3055,30
T00009,3600,9
T00023,1944,23
T00010,3270,10
T00011,7127,11
T00001,3935,1
T00009,1228,9
T00003,4491,3
T00014,2979,14
T00012,9393,12
T00026,5447,26
T00025,4566,25
T00004,2438,4
T00026,8211,26
T00001,9876,1
T00009,3223,9
T00001,5568,1
T00022,5236,22
T00007,4528,7
T00002,492,2
T00019,5003,19
T00014,7437,14
T00010,8617,10
T00001,4500,1
T00004,1447,4
T00010,5218,10
T00015,6033,15
T00026,3482,26
T00008,9707,8
T00011,1062,11
T00012,7456,12
T00009,7010,9
T00001,6813,1
T00027,7603,27
T00029,8229,29
T00001,8875,1
T00007,1528,7
T00006,4205,6
T00014,5858,14
T00007,56,7
T00016,2523,16
T00024,2863,24
T00019,9351,19
T00029,5945,29
T00011,2395,11
T00003,5149,3
T00015,2814,15
T00030,3820,30
T00004,4238,4
T00018,9020,18
T00019,7259,19
T00021,5526,21
T00012,6000,12
T00019,6801,19
T00017,4270,17
T00004,3095,4
T00018,9305,18
T00023,2128,23
T00028,8628,28
T00018,9108,18
T00015,5499,15
T00013,9700,13
T00023,9998,23
T00001,9088,1
T00024,5137,24
T00025,6429,25
T00020,2090,20
T00002,2518,2
T00018,3184,18
T00011,2189,11
T00025,8320,25
T00015,6178,15
T00027,7877,27
T00025,5389,25
T00013,7087,13
T00016,3551,16
T00021,1658,21
T00012,8902,12
T00024,4403,24
T00004,7637,4
T00004,4494,4
T00026,7614,26
T00020,6246,20
T00018,5255,18
T00003,9796,3
T00029,9763,29
T00001,7633,1
T00013,5912,13
T00004,6135,4
T00029,2325,29
T00001,3479,1
T00011,533,11
T00017,3615,17
T00025,6460,25
T00017,6709,17
T00001,7116,1
T00016,8639,16
T00009,5082,9
T00019,6820,19
T00009,1404,9
T00004,3901,4
T00012,8701,12
T00021,9669,21
T00006,7918,6
T00022,99,22
T00001,6229,1
T00020,9161,20
T00026,2463,26
T00003,9828,3
T00005,9947,5
T00002,2491,2
T00010,5198,10
T00001,7204,1
T00013,2950,13
T00010,8709,10
T00013,4434,13
T00009,9413,9
T00025,9691,25
T00018,1735,18
T00028,5688,28
T00019,5597,19
T00004,7492,4
T00016,4418,16
T00008,4677,8
T00002,2325,2
T00003,8068,3
T00026,1020,26
T00029,2781,29
T00001,6798,1
T00030,3610,30
T00029,4386,29
T00017,3330,17
T00006,3652,6
T00010,8394,10
T00014,3197,14
T00009,1414,9
T00012,2667,12
T00004,3437,4
T00018,6901,18
T00016,5114,16
T00004,7210,4
T00028,1867,28
T00009,4973,9
T00017,5769,17
T00024,129,24
T00026,7624,26
T00003,4002,3
T00018,4098,18
T00011,6446,11
T00017,4608,17
T00012,9088,12
T00013,1453,13
T00014,2619,14
T00030,4576,30
T00028,8244,28
T00009,3594,9
T00026,9030,26
T00017,3566,17
T00024,3802,24
T00023,678,23
T00021,4113,21
T00010,9256,10
T00024,8946,24
T00003,8559,3
T00023,5220,23
T00027,8466,27
T00004,2324,4
T00007,8367,7
T00022,6420,22
T00015,3596,15
T00019,7569,19
T00020,6317,20
T00001,435,1
T00017,6848,17
T00024,6,24
T00021,7973,21
T00017,542,17
T00010,9391,10
T00019,590,19
T00007,3414,7
T00006,6249,6
T00007,1682,7
T00006,5446,6
T00021,1692,21
T00025,7672,25
T00015,6963,15
T00020,8700,20
T00007,6664,7
T00028,7772,28
T00022,1970,22
T00030,3922,30
T00019,311,19
T00029,9064,29
T00018,5905,18
T00028,919,28
T00017,5340,17
T00009,2512,9
T00009,702,9
T00004,2420,4
T00025,8274,25
T00006,7896,6
T00007,1423,7
T00012,4797,12
T00005,1434,5
T00027,2147,27
T00012,8444,12
T00018,7651,18
T00002,6644,2
T00011,7584,11
T00026,863,26
T00006,4257,6
T00009,6003,9
T00005,922,5
T00019,8645,19
T00004,4836,4
T00017,1919,17
T00018,6100,18
T00010,8800,10
T00002,5994,2
T00022,187,22
T00002,8486,2
T00011,1517,11
T00014,8228,14
T00012,251,12
T00011,2269,11
T00025,9372,25
T00008,5448,8
T00009,2045,9
T00001,7425,1
T00029,3664,29
T00015,2454,15
T00002,8657,2
T00027,8352,27
T00005,2979,5
T00012,7326,12
T00009,6381,9
T00030,5135,30
T00021,4547,21
T00021,4146,21
T00017,648,17
T00014,3247,14
T00028,4312,28
T00027,4846,27
T00024,6469,24
T00017,659,17
T00006,3904,6
T00010,411,10
T00016,373,16
T00006,6736,6
T00030,7178,30
T00024,2210,24
T00025,7034,25
T00002,1774,2
T00017,8754,17
T00025,152,25
T00027,3850,27
T00017,1909,17
T00010,5172,10
T00020,211,20
T00028,9884,28
T00030,8094,30
T00001,7540,1
T00021,8619,21
T00005,4786,5
T00024,9034,24
T00023,1335,23
T00010,9345,10
T00010,4626,10
T00004,1194,4
T00004,6514,4
T00025,4291,25
T00019,6773,19
T00009,9701,9
T00028,4598,28
T00021,8939,21
T00019,7684,19
T00022,677,22
T00020,6817,20
T00023,4971,23
T00019,6223,19
T00011,4253,11
T00012,881,12
T00002,346,2
T00021,8303,21
T00001,8016,1
T00008,6028,8
T00002,1510,2
T00011,3581,11
T00009,8653,9
T00010,2290,10
T00019,9150,19
T00003,5002,3
T00018,9541,18
T00016,8606,16
T00008,9629,8
T00001,50,1
T00019,451,19
T00015,1871,15
T00015,551,15
T00005,9849,5
T00001,2904,1
T00024,8438,24
T00002,1880,2
T00008,3986,8
T00028,2186,28
T00016,8538,16
T00001,9971,1
T00004,1430,4
T00029,9300,29
T00026,1786,26
T00028,4887,28
T00017,9077,17
T00007,7591,7
T00016,3344,16
T00026,5715,26
T00028,6958,28
T00030,8145,30
T00003,4831,3
T00020,5562,20
T00030,5529,30
T00014,9005,14
T00006,1307,6
T00024,16,24
T00014,9984,14
T00002,8780,2
T00018,4894,18
T00029,429,29
T00007,8916,7
T00016,5229,16
T00007,5946,7
T00027,9346,27
T00013,6180,13
T00005,3203,5
T00022,5170,22
T00010,6346,10
T00015,5840,15
T00026,3588,26
T00025,8850,25
T00007,7225,7
T00016,9730,16
T00005,9295,5
T00011,7760,11
T00010,600,10
T00025,5368,25
T00015,9543,15
T00007,7501,7
T00013,85,13
T00026,2417,26
T00018,8885,18
T00012,6023,12
T00023,2307,23
T00019,8375,19
T00001,659,1
T00005,4185,5
T00026,6458,26
T00003,4744,3
T00003,2399,3
T00005,5566,5
T00018,127,18
T00009,8323,9
T00029,4310,29
T00027,9286,27
T00012,1861,12
T00004,49,4
T00012,5971,12
T00019,6461,19
T00026,7978,26
T00024,2190,24
T00023,8504,23
T00016,8766,16
T00009,1274,9
T00026,8674,26
T00030,5934,30
T00013,7575,13
T00026,8700,26
T00017,6643,17
T00024,3526,24
T00006,1756,6
T00013,2750,13
T00007,9592,7
T00005,6890,5
T00012,8037,12
T00025,3028,25
T00025,4137,25
T00028,4200,28
T00009,3108,9
T00017,877,17
T00015,7293,15
T00027,4618,27
T00009,2963,9
T00003,4819,3
T00020,5450,20
T00027,735,27
T00010,7386,10
T00020,4241,20
T00027,7634,27
T00022,6702,22
T00010,5048,10
T00021,1611,21
T00012,882,12
T00023,7947,23
T00020,5398,20
T00030,8526,30
T00011,3212,11
T00005,7143,5
T00029,6329,29
T00005,5725,5
T00025,2832,25
T00026,9111,26
T00016,1520,16
T00014,9878,14
T00023,4743,23
T00009,4198,9
T00006,4221,6
T00020,9115,20
T00016,9408,16
T00014,3876,14
T00011,7939,11
T00017,4688,17
T00013,1048,13
T00004,3256,4
T00017,4260,17
T00011,1448,11
T00023,3097,23
T00029,89,29
T00029,2182,29
T00020,9434,20
T00001,3846,1
T00001,3348,1
T00024,7819,24
T00005,430,5
T00020,5977,20
T00014,2566,14
T00012,484,12
T00028,5760,28
T00016,5997,16
T00021,2323,21
T00004,4277,4
T00019,7847,19
T00009,2240,9
T00030,1030,30
T00002,6924,2
T00022,6978,22
T00009,6396,9
T00015,7033,15
T00008,7185,8
T00027,6484,27
T00002,7679,2
T00013,272,13
T00014,4799,14
T00005,1016,5
T00023,2181,23
T00005,3007,5
T00021,5650,21
T00026,8819,26
T00017,6041,17
T00005,3785,5
T00018,4508,18
T00004,6166,4
T00023,4694,23
T00019,7348,19
T00019,9039,19
T00021,5035,21
T00016,4203,16
T00001,1875,1
T00018,1001,18
T00016,6697,16
T00017,1874,17
T00008,320,8
T00023,1128,23
T00029,70,29
T00008,5351,8
T00013,1394,13
T00009,9818,9
T00028,4150,28
T00024,9866,24
T00006,3113,6
T00030,6531,30
T00004,1986,4
T00029,6972,29
T00015,7956,15
T00026,4257,26
T00015,7656,15
T00007,1154,7
T00008,3513,8
T00009,1537,9
T00004,7890,4
T00026,752,26
T00005,7654,5
T00005,9264,5
T00024,4092,24
T00011,5739,11
T00019,7749,19
T00008,2535,8
T00025,8301,25
T00025,6509,25
T00018,7926,18
T00003,7742,3
T00021,8172,21
T00011,938,11
T00006,4391,6
T00017,3175,17
T00020,9649,20
T00004,2318,4
T00002,6551,2
T00022,1250,22
T00022,5532,22
T00011,9923,11
T00017,9569,17
T00024,3066,24
T00030,8607,30
T00007,7426,7
T00024,7644,24
T00028,5816,28
T00006,2451,6
T00030,3155,30
T00028,5705,28
T00013,5855,13
T00029,5688,29
T00003,5178,3
T00030,2015,30
T00019,2326,19
T00016,5407,16
T00025,4603,25
T00004,35,4
T00014,7940,14
T00012,8423,12
T00012,8484,12
T00025,8698,25
T00025,3752,25
T00009,6232,9
T00005,5371,5
T00023,8721,23
T00002,4792,2
T00004,9562,4
T00025,1175,25
T00003,1835,3
T00025,6579,25
T00017,9145,17
T00001,2989,1
T00025,8236,25
T00004,2881,4
T00011,9585,11
T00012,4388,12
T00006,5895,6
T00002,4463,2
T00021,4012,21
T00010,4826,10
T00005,6955,5
T00022,2050,22
T00001,4468,1
T00016,1487,16
T00024,4731,24
T00028,8815,28
T00019,538,19
T00017,732,17
T00009,9557,9
T00010,7469,10
T00019,5980,19
T00007,4869,7
T00008,3873,8
T00002,6175,2
T00013,6923,13
T00013,664,13
T00009,5555,9
T00025,2475,25
T00025,3785,25
T00014,9427,14
T00005,3579,5
T00030,8722,30
T00006,2694,6
T00002,6090,2
T00001,2993,1
T00012,8778,12
T00002,2465,2
T00018,4296,18
T00014,9000,14
T00007,511,7
T00026,5484,26
T00008,7782,8
T00027,8735,27
T00020,5079,20
T00027,292,27
T00019,8611,19
T00027,6922,27
T00014,8271,14
T00004,9908,4
T00018,6358,18
T00009,8561,9
T00026,6997,26
T00026,4573,26
T00022,7078,22
T00014,5122,14
T00019,3265,19
T00012,2632,12
T00030,4070,30
T00017,5970,17
T00016,1635,16
T00028,2670,28
T00004,2548,4
T00006,7951,6
T00029,93,29
T00004,1643,4
T00019,2266,19
T00021,3691,21
T00025,5557,25
T00015,3898,15
T00016,3453,16
T00020,3801,20
T00029,3060,29
T00012,639,12
T00003,9978,3
T00006,2584,6
T00016,1553,16
T00030,9417,30
T00014,7728,14
T00027,218,27
T00008,1965,8
T00001,5352,1
T00026,3306,26
T00024,8098,24
T00004,8670,4
T00002,9698,2
T00017,2416,17
T00001,5148,1
T00028,4060,28
T00022,3174,22
T00015,8082,15
T00011,3597,11
T00003,2546,3
T00017,4518,17
T00027,7322,27
T00024,9739,24
T00009,4024,9
T00008,1353,8
T00012,2327,12
T00003,6629,3
T00014,4216,14
T00022,4160,22
T00024,4684,24
T00027,5543,27
T00024,185,24
T00021,7638,21
T00022,4214,22
T00006,1237,6
T00016,8467,16
T00016,8500,16
T00024,3718,24
T00001,813,1
T00012,7727,12
T00012,2808,12
T00026,5492,26
T00016,6025,16
T00030,8392,30
T00007,6227,7
T00030,4650,30
T00020,2204,20
T00018,9916,18
T00013,6600,13
T00029,9141,29
T00003,133,3
T00028,7095,28
T00021,3752,21
T00001,285,1
T00030,7879,30
T00026,2691,26
T00004,9158,4
T00028,2796,28
T00025,6465,25
T00023,5638,23
T00008,5500,8
T00028,3730,28
T00018,2643,18
T00004,8478,4
T00004,463,4
T00018,9215,18
T00014,4695,14
T00005,4467,5
T00022,3819,22
T00006,1296,6
T00027,4327,27
T00015,4782,15
T00019,3736,19
T00024,5362,24
